source_doc_id,level,heading_text
comune_comunali_2025_page,h1,Seguici su
comune_comunali_2025_page,h1,Elezioni comunali del 25 e 26 maggio 2025
comune_comunali_2025_page,h3,Elezioni
comune_comunali_2025_page,h3,Pagine correlate
comune_comunali_2025_page,h2,Quanto sono chiare le informazioni su questa pagina?
comune_comunali_2025_page,h1,"Grazie, il tuo parere ci aiuterà a migliorare il servizio!"
comune_comunali_2025_page,h1,1/2
comune_comunali_2025_page,h1,1/2
comune_comunali_2025_page,h1,2/2
comune_comunali_2025_page,h2,Contatta il comune
comune_comunali_2025_page,h2,Problemi in città
comune_comunali_2025_page,h1,Seguici su
comune_comunali_2025_page,h1,Amministrazione
comune_comunali_2025_page,h1,Categorie di Servizio
comune_comunali_2025_page,h1,Novità
comune_comunali_2025_page,h1,Vivere il Comune
comune_comunali_2025_page,h1,Contatti
comune_comunali_2025_page,h1,Cerca
