source_doc_id,level,heading_text
comune_elezioni_index,h1,Seguici su
comune_elezioni_index,h1,Elezioni
comune_elezioni_index,h4,Condividi:
comune_elezioni_index,h3,Area Tematiche
comune_elezioni_index,h2,Esplora Elezioni
comune_elezioni_index,h2,Quanto sono chiare le informazioni su questa pagina?
comune_elezioni_index,h1,"Grazie, il tuo parere ci aiuterà a migliorare il servizio!"
comune_elezioni_index,h1,1/2
comune_elezioni_index,h1,1/2
comune_elezioni_index,h1,2/2
comune_elezioni_index,h2,Contatta il comune
comune_elezioni_index,h2,Problemi in città
comune_elezioni_index,h1,Seguici su
comune_elezioni_index,h1,Amministrazione
comune_elezioni_index,h1,Categorie di Servizio
comune_elezioni_index,h1,Novità
comune_elezioni_index,h1,Vivere il Comune
comune_elezioni_index,h1,Contatti
comune_elezioni_index,h1,Cerca
