source_doc_id,level,heading_text
comune_rinnovazione_2021_page,h1,Seguici su
comune_rinnovazione_2021_page,h1,Rinnovazione elezioni comunali nelle sezioni 2-44-73-78 del 3 - 4 ottobre 2021
comune_rinnovazione_2021_page,h4,Condividi:
comune_rinnovazione_2021_page,h3,Elezioni
comune_rinnovazione_2021_page,h3,Pagine correlate
comune_rinnovazione_2021_page,h2,Quanto sono chiare le informazioni su questa pagina?
comune_rinnovazione_2021_page,h1,"Grazie, il tuo parere ci aiuterà a migliorare il servizio!"
comune_rinnovazione_2021_page,h1,1/2
comune_rinnovazione_2021_page,h1,1/2
comune_rinnovazione_2021_page,h1,2/2
comune_rinnovazione_2021_page,h2,Contatta il comune
comune_rinnovazione_2021_page,h2,Problemi in città
comune_rinnovazione_2021_page,h1,Seguici su
comune_rinnovazione_2021_page,h1,Amministrazione
comune_rinnovazione_2021_page,h1,Categorie di Servizio
comune_rinnovazione_2021_page,h1,Novità
comune_rinnovazione_2021_page,h1,Vivere il Comune
comune_rinnovazione_2021_page,h1,Contatti
comune_rinnovazione_2021_page,h1,Cerca
