source_doc_id,link_text,href
comune_rinnovazione_2021_page,Salta al contenuto principale,#main-content
comune_rinnovazione_2021_page,Regione Calabria,https://www.regione.calabria.it
comune_rinnovazione_2021_page,Accedi all'area personale,https://www.comune.lamezia-terme.cz.it/it/private
comune_rinnovazione_2021_page,Città di Lamezia Terme,/
comune_rinnovazione_2021_page,,https://m.facebook.com/Citt%C3%A0-di-Lamezia-Terme-105957904391479/
comune_rinnovazione_2021_page,,https://whatsapp.com/channel/0029VbCB3OjHwXb2zzlKer2m
comune_rinnovazione_2021_page,,#
comune_rinnovazione_2021_page,Amministrazione,https://www.comune.lamezia-terme.cz.it/it/menu/amministrazione-272555
comune_rinnovazione_2021_page,Novità,https://www.comune.lamezia-terme.cz.it/it/menu/news
comune_rinnovazione_2021_page,Servizi,https://www.comune.lamezia-terme.cz.it/it/menu/servizi
comune_rinnovazione_2021_page,Vivere il Comune,https://www.comune.lamezia-terme.cz.it/it/menu/vivere-il-comune
comune_rinnovazione_2021_page,Tutti gli argomenti,https://www.comune.lamezia-terme.cz.it/it/topics
comune_rinnovazione_2021_page,Accedi all'area personale,https://www.comune.lamezia-terme.cz.it/it/private
comune_rinnovazione_2021_page,,https://m.facebook.com/Citt%C3%A0-di-Lamezia-Terme-105957904391479/
comune_rinnovazione_2021_page,,https://whatsapp.com/channel/0029VbCB3OjHwXb2zzlKer2m
comune_rinnovazione_2021_page,Home,https://www.comune.lamezia-terme.cz.it/it
comune_rinnovazione_2021_page,Area Tematiche,https://www.comune.lamezia-terme.cz.it/it/menu/297014
comune_rinnovazione_2021_page,Elezioni,https://www.comune.lamezia-terme.cz.it/it/page/elezioni-144dbdad-1bf3-4270-a6cd-e255d168ca86?fromService=0
comune_rinnovazione_2021_page,ubicazione dei seggi,https://municipium-images-production.s3-eu-west-1.amazonaws.com/s3/3458/allegati/elezioni REGIONALI 2021/prospetto-ubicazione-seggi.pdf
comune_rinnovazione_2021_page,Circolare del Ministero della Salute in data 2 settembre 2021,https://municipium-images-production.s3-eu-west-1.amazonaws.com/s3/3458/allegati/elezioni REGIONALI 2021/circ-pre-n-67-202.pdf
comune_rinnovazione_2021_page,Ubicazione degli spazi,https://municipium-images-production.s3-eu-west-1.amazonaws.com/s3/3458/allegati/EL.COMUNALI/attopubblicato_2021_100_203.pdf
comune_rinnovazione_2021_page,Disposizioni prefettizie per la propaganda elettorale,https://municipium-images-production.s3-eu-west-1.amazonaws.com/s3/3458/allegati/elezioni REGIONALI 2021/circ-adempimenti-propaganda-elettorale.pdf
