election_id,list_number,list_name,council_candidate_number,candidate_name,source_doc_id
comunali_lamezia_2025,1,PARTITO DEMOCRATICO,1,ARICHETTA VALENTINA,maggioli_2025_preferences_section_l01_xml
comunali_lamezia_2025,1,PARTITO DEMOCRATICO,2,CARITO FRANCESCO,maggioli_2025_preferences_section_l01_xml
comunali_lamezia_2025,1,PARTITO DEMOCRATICO,3,CHIRICO DEBORAH,maggioli_2025_preferences_section_l01_xml
comunali_lamezia_2025,1,PARTITO DEMOCRATICO,4,CORRADO LUANA,maggioli_2025_preferences_section_l01_xml
comunali_lamezia_2025,1,PARTITO DEMOCRATICO,5,DAVOLI GIOVANNI,maggioli_2025_preferences_section_l01_xml
comunali_lamezia_2025,1,PARTITO DEMOCRATICO,6,FEROLETO MARIAFRANCESCA,maggioli_2025_preferences_section_l01_xml
comunali_lamezia_2025,1,PARTITO DEMOCRATICO,7,FERRARI SAVERIO,maggioli_2025_preferences_section_l01_xml
comunali_lamezia_2025,1,PARTITO DEMOCRATICO,8,GALLO GIOVANNI,maggioli_2025_preferences_section_l01_xml
comunali_lamezia_2025,1,PARTITO DEMOCRATICO,9,GIGLIOTTI GIUSEPPE detto GIOSY,maggioli_2025_preferences_section_l01_xml
comunali_lamezia_2025,1,PARTITO DEMOCRATICO,10,GIGLIOTTI LAURA,maggioli_2025_preferences_section_l01_xml
comunali_lamezia_2025,1,PARTITO DEMOCRATICO,11,GRANDINETTI DANIELA IMMACOLATA,maggioli_2025_preferences_section_l01_xml
comunali_lamezia_2025,1,PARTITO DEMOCRATICO,12,LIMARDI ROSAMARIA,maggioli_2025_preferences_section_l01_xml
comunali_lamezia_2025,1,PARTITO DEMOCRATICO,13,LIOTTA CARMELA MILENA,maggioli_2025_preferences_section_l01_xml
comunali_lamezia_2025,1,PARTITO DEMOCRATICO,14,MASI GENNARINO,maggioli_2025_preferences_section_l01_xml
comunali_lamezia_2025,1,PARTITO DEMOCRATICO,15,MASTROIANNI CHIARA,maggioli_2025_preferences_section_l01_xml
comunali_lamezia_2025,1,PARTITO DEMOCRATICO,16,MISCIMARRA SANTA PATRIZIA,maggioli_2025_preferences_section_l01_xml
comunali_lamezia_2025,1,PARTITO DEMOCRATICO,17,MURACA FABRIZIO,maggioli_2025_preferences_section_l01_xml
