election_id,list_number,list_name,mayor_candidate_number,source_doc_id
comunali_lamezia_2025,1,PARTITO DEMOCRATICO,1,maggioli_2025_totals_mayor_xml
comunali_lamezia_2025,2,MOVIMENTO 5 STELLE,1,maggioli_2025_totals_mayor_xml
comunali_lamezia_2025,3,AZIONE,1,maggioli_2025_totals_mayor_xml
comunali_lamezia_2025,4,PER VIVERE BENE,1,maggioli_2025_totals_mayor_xml
comunali_lamezia_2025,5,ERA ORA,1,maggioli_2025_totals_mayor_xml
comunali_lamezia_2025,6,GIANPAOLO BEVILACQUA SINDACO DEL POPOLO,2,maggioli_2025_totals_mayor_xml
comunali_lamezia_2025,7,L'ITALIA DEL MERIDIONE - LAMEZIA NEL CUORE,2,maggioli_2025_totals_mayor_xml
comunali_lamezia_2025,8,MOVIMENTO INDIPENDENZA,2,maggioli_2025_totals_mayor_xml
comunali_lamezia_2025,9,LAMEZIA DOMANI,3,maggioli_2025_totals_mayor_xml
comunali_lamezia_2025,10,NOI MODERATI,3,maggioli_2025_totals_mayor_xml
comunali_lamezia_2025,11,CALABRIA AZZURRA,3,maggioli_2025_totals_mayor_xml
comunali_lamezia_2025,12,FORZA ITALIA,3,maggioli_2025_totals_mayor_xml
comunali_lamezia_2025,13,LEGA SALVINI CALABRIA,3,maggioli_2025_totals_mayor_xml
comunali_lamezia_2025,14,FRATELLI D'ITALIA,3,maggioli_2025_totals_mayor_xml
