election_id,section_number,list_number,council_candidate_number,preference_votes,source_doc_id,validation_status,notes
comunali_lamezia_2025,1,1,1,0,maggioli_2025_preferences_section_l01_xml,extracted_pending_totals_validation,
comunali_lamezia_2025,1,1,2,1,maggioli_2025_preferences_section_l01_xml,extracted_pending_totals_validation,
comunali_lamezia_2025,1,1,3,10,maggioli_2025_preferences_section_l01_xml,extracted_pending_totals_validation,
comunali_lamezia_2025,1,1,4,0,maggioli_2025_preferences_section_l01_xml,extracted_pending_totals_validation,
comunali_lamezia_2025,1,1,5,4,maggioli_2025_preferences_section_l01_xml,extracted_pending_totals_validation,
comunali_lamezia_2025,1,1,6,0,maggioli_2025_preferences_section_l01_xml,extracted_pending_totals_validation,
comunali_lamezia_2025,1,1,7,6,maggioli_2025_preferences_section_l01_xml,extracted_pending_totals_validation,
comunali_lamezia_2025,1,1,8,0,maggioli_2025_preferences_section_l01_xml,extracted_pending_totals_validation,
comunali_lamezia_2025,1,1,9,4,maggioli_2025_preferences_section_l01_xml,extracted_pending_totals_validation,
comunali_lamezia_2025,1,1,10,4,maggioli_2025_preferences_section_l01_xml,extracted_pending_totals_validation,
comunali_lamezia_2025,1,1,11,10,maggioli_2025_preferences_section_l01_xml,extracted_pending_totals_validation,
comunali_lamezia_2025,1,1,12,0,maggioli_2025_preferences_section_l01_xml,extracted_pending_totals_validation,
comunali_lamezia_2025,1,1,13,3,maggioli_2025_preferences_section_l01_xml,extracted_pending_totals_validation,
comunali_lamezia_2025,1,1,14,3,maggioli_2025_preferences_section_l01_xml,extracted_pending_totals_validation,
comunali_lamezia_2025,1,1,15,2,maggioli_2025_preferences_section_l01_xml,extracted_pending_totals_validation,
comunali_lamezia_2025,1,1,16,0,maggioli_2025_preferences_section_l01_xml,extracted_pending_totals_validation,
comunali_lamezia_2025,1,1,17,9,maggioli_2025_preferences_section_l01_xml,extracted_pending_totals_validation,
comunali_lamezia_2025,1,1,18,11,maggioli_2025_preferences_section_l01_xml,extracted_pending_totals_validation,
comunali_lamezia_2025,1,1,19,0,maggioli_2025_preferences_section_l01_xml,extracted_pending_totals_validation,
comunali_lamezia_2025,1,1,20,10,maggioli_2025_preferences_section_l01_xml,extracted_pending_totals_validation,
comunali_lamezia_2025,1,1,21,0,maggioli_2025_preferences_section_l01_xml,extracted_pending_totals_validation,
comunali_lamezia_2025,1,1,22,0,maggioli_2025_preferences_section_l01_xml,extracted_pending_totals_validation,
comunali_lamezia_2025,1,1,23,1,maggioli_2025_preferences_section_l01_xml,extracted_pending_totals_validation,
comunali_lamezia_2025,1,1,24,6,maggioli_2025_preferences_section_l01_xml,extracted_pending_totals_validation,
comunali_lamezia_2025,2,1,1,0,maggioli_2025_preferences_section_l01_xml,extracted_pending_totals_validation,
comunali_lamezia_2025,2,1,2,0,maggioli_2025_preferences_section_l01_xml,extracted_pending_totals_validation,
comunali_lamezia_2025,2,1,3,19,maggioli_2025_preferences_section_l01_xml,extracted_pending_totals_validation,
comunali_lamezia_2025,2,1,4,0,maggioli_2025_preferences_section_l01_xml,extracted_pending_totals_validation,
comunali_lamezia_2025,2,1,5,0,maggioli_2025_preferences_section_l01_xml,extracted_pending_totals_validation,
comunali_lamezia_2025,2,1,6,1,maggioli_2025_preferences_section_l01_xml,extracted_pending_totals_validation,
comunali_lamezia_2025,2,1,7,10,maggioli_2025_preferences_section_l01_xml,extracted_pending_totals_validation,
comunali_lamezia_2025,2,1,8,1,maggioli_2025_preferences_section_l01_xml,extracted_pending_totals_validation,
comunali_lamezia_2025,2,1,9,0,maggioli_2025_preferences_section_l01_xml,extracted_pending_totals_validation,
comunali_lamezia_2025,2,1,10,3,maggioli_2025_preferences_section_l01_xml,extracted_pending_totals_validation,
comunali_lamezia_2025,2,1,11,2,maggioli_2025_preferences_section_l01_xml,extracted_pending_totals_validation,
comunali_lamezia_2025,2,1,12,2,maggioli_2025_preferences_section_l01_xml,extracted_pending_totals_validation,
comunali_lamezia_2025,2,1,13,10,maggioli_2025_preferences_section_l01_xml,extracted_pending_totals_validation,
comunali_lamezia_2025,2,1,14,16,maggioli_2025_preferences_section_l01_xml,extracted_pending_totals_validation,
comunali_lamezia_2025,2,1,15,0,maggioli_2025_preferences_section_l01_xml,extracted_pending_totals_validation,
comunali_lamezia_2025,2,1,16,0,maggioli_2025_preferences_section_l01_xml,extracted_pending_totals_validation,
comunali_lamezia_2025,2,1,17,15,maggioli_2025_preferences_section_l01_xml,extracted_pending_totals_validation,
comunali_lamezia_2025,2,1,18,4,maggioli_2025_preferences_section_l01_xml,extracted_pending_totals_validation,
comunali_lamezia_2025,2,1,19,0,maggioli_2025_preferences_section_l01_xml,extracted_pending_totals_validation,
comunali_lamezia_2025,2,1,20,7,maggioli_2025_preferences_section_l01_xml,extracted_pending_totals_validation,
comunali_lamezia_2025,2,1,21,0,maggioli_2025_preferences_section_l01_xml,extracted_pending_totals_validation,
