election_id,section_number,section_label,polling_place,polling_place_address,source_doc_id,notes
comunali_lamezia_2025,1,SEZIONE 1,"EDIFICIO SCOLASTICO ""MAGGIORE PE CORSO NICOTERA GIOVANNI,",,maggioli_2025_sections_mayor_xml,polling_place copied from Maggioli UBICAZIONE attribute; verify against municipal stradario
comunali_lamezia_2025,2,SEZIONE 2,"EDIFICIO SCOLASTICO ""MAGGIORE PE CORSO NICOTERA GIOVANNI,",,maggioli_2025_sections_mayor_xml,polling_place copied from Maggioli UBICAZIONE attribute; verify against municipal stradario
comunali_lamezia_2025,3,SEZIONE 3,"EDIFICIO SCOLASTICO ""MAGGIORE PE CORSO NICOTERA GIOVANNI,",,maggioli_2025_sections_mayor_xml,polling_place copied from Maggioli UBICAZIONE attribute; verify against municipal stradario
comunali_lamezia_2025,4,SEZIONE 4,"EDIFICIO SCOLASTICO ""MAGGIORE PE CORSO NICOTERA GIOVANNI,",,maggioli_2025_sections_mayor_xml,polling_place copied from Maggioli UBICAZIONE attribute; verify against municipal stradario
comunali_lamezia_2025,5,SEZIONE 5,"EDIFICIO SCOLASTICO ""MAGGIORE PE CORSO NICOTERA GIOVANNI,",,maggioli_2025_sections_mayor_xml,polling_place copied from Maggioli UBICAZIONE attribute; verify against municipal stradario
comunali_lamezia_2025,6,SEZIONE 6,"EDIFICIO SCOLASTICO ""MAGGIORE PE VIA PO,",,maggioli_2025_sections_mayor_xml,polling_place copied from Maggioli UBICAZIONE attribute; verify against municipal stradario
comunali_lamezia_2025,7,SEZIONE 7,"EDIFICIO SCOLASTICO ""MAGGIORE PE VIA PO,",,maggioli_2025_sections_mayor_xml,polling_place copied from Maggioli UBICAZIONE attribute; verify against municipal stradario
comunali_lamezia_2025,8,SEZIONE 8,"EDIFICIO SCOLASTICO ""MAGGIORE PE VIA PO,",,maggioli_2025_sections_mayor_xml,polling_place copied from Maggioli UBICAZIONE attribute; verify against municipal stradario
comunali_lamezia_2025,9,SEZIONE 9,"EDIFICIO SCOLASTICO ""MAGGIORE PE VIA ADIGE,",,maggioli_2025_sections_mayor_xml,polling_place copied from Maggioli UBICAZIONE attribute; verify against municipal stradario
comunali_lamezia_2025,10,SEZIONE 10,"EDIFICIO SCOLASTICO ""MAGGIORE PE VIA ADIGE,",,maggioli_2025_sections_mayor_xml,polling_place copied from Maggioli UBICAZIONE attribute; verify against municipal stradario
comunali_lamezia_2025,11,SEZIONE 11,"SCUOLA MEDIA STATALE ""PITAGORA"" VIALE I MAGGIO,",,maggioli_2025_sections_mayor_xml,polling_place copied from Maggioli UBICAZIONE attribute; verify against municipal stradario
comunali_lamezia_2025,12,SEZIONE 12,"SCUOLA MEDIA STATALE ""PITAGORA"" VIALE I MAGGIO,",,maggioli_2025_sections_mayor_xml,polling_place copied from Maggioli UBICAZIONE attribute; verify against municipal stradario
comunali_lamezia_2025,13,SEZIONE 13,"LICEO CLASSICO ""FIORENTINO"" VIA DA VINCI LEONARDO,",,maggioli_2025_sections_mayor_xml,polling_place copied from Maggioli UBICAZIONE attribute; verify against municipal stradario
comunali_lamezia_2025,14,SEZIONE 14,"LICEO CLASSICO ""FIORENTINO"" VIA DA VINCI LEONARDO,",,maggioli_2025_sections_mayor_xml,polling_place copied from Maggioli UBICAZIONE attribute; verify against municipal stradario
comunali_lamezia_2025,15,SEZIONE 15,"ITG - POLO TECN. PTIAA VIA MICELI SALVATORE,",,maggioli_2025_sections_mayor_xml,polling_place copied from Maggioli UBICAZIONE attribute; verify against municipal stradario
comunali_lamezia_2025,16,SEZIONE 16,"ITG - POLO TECN. PTIAA VIA MICELI SALVATORE,",,maggioli_2025_sections_mayor_xml,polling_place copied from Maggioli UBICAZIONE attribute; verify against municipal stradario
comunali_lamezia_2025,17,SEZIONE 17,"SCUOLA MEDIA STATALE ""A. MANZONI VIA FERLAINO FRANCESCO,",,maggioli_2025_sections_mayor_xml,polling_place copied from Maggioli UBICAZIONE attribute; verify against municipal stradario
comunali_lamezia_2025,18,SEZIONE 18,"SCUOLA MEDIA STATALE ""A. MANZONI VIA FERLAINO FRANCESCO,",,maggioli_2025_sections_mayor_xml,polling_place copied from Maggioli UBICAZIONE attribute; verify against municipal stradario
comunali_lamezia_2025,19,SEZIONE 19,"SCUOLA MEDIA STATALE ""A. MANZONI VIA FERLAINO FRANCESCO,",,maggioli_2025_sections_mayor_xml,polling_place copied from Maggioli UBICAZIONE attribute; verify against municipal stradario
comunali_lamezia_2025,20,SEZIONE 20,"SCUOLA MEDIA STATALE ""A. MANZONI VIA FERLAINO FRANCESCO,",,maggioli_2025_sections_mayor_xml,polling_place copied from Maggioli UBICAZIONE attribute; verify against municipal stradario
comunali_lamezia_2025,21,SEZIONE 21,"EDIFICIO SCOLASTICO ""FRAZ. BELLA VIA CALABRIA TRAVERSA I,",,maggioli_2025_sections_mayor_xml,polling_place copied from Maggioli UBICAZIONE attribute; verify against municipal stradario
comunali_lamezia_2025,22,SEZIONE 22,"EDIFICIO SCOLASTICO ""FRAZ. BELLA VIA CALABRIA TRAVERSA I,",,maggioli_2025_sections_mayor_xml,polling_place copied from Maggioli UBICAZIONE attribute; verify against municipal stradario
comunali_lamezia_2025,23,SEZIONE 23,"EDIFICIO SCOLASTICO ""FRAZ. BELLA VIA CALABRIA TRAVERSA I,",,maggioli_2025_sections_mayor_xml,polling_place copied from Maggioli UBICAZIONE attribute; verify against municipal stradario
comunali_lamezia_2025,24,SEZIONE 24,"EDIFICIO SCOLASTICO ""FRAZ. BELLA VIA CALABRIA TRAVERSA I,",,maggioli_2025_sections_mayor_xml,polling_place copied from Maggioli UBICAZIONE attribute; verify against municipal stradario
