source_doc_id,level,heading_text
maggioli_2025_trasparenza,h1,Comune di LAMEZIA TERME
maggioli_2025_trasparenza,h2,Elezioni Trasparenti - ELEZIONI COMUNALI del 25/05/2025
maggioli_2025_trasparenza,h2,Sindaci
maggioli_2025_trasparenza,h3,LO MORO DORIS
maggioli_2025_trasparenza,h3,BEVILACQUA GIANPAOLO
maggioli_2025_trasparenza,h3,MURONE MARIO
maggioli_2025_trasparenza,h2,Candidati al Consiglio comunale
maggioli_2025_trasparenza,h3,PARTITO DEMOCRATICO
maggioli_2025_trasparenza,h4,ARICHETTA VALENTINA
maggioli_2025_trasparenza,h4,CARITO FRANCESCO
maggioli_2025_trasparenza,h4,CHIRICO DEBORAH
maggioli_2025_trasparenza,h4,CORRADO LUANA
maggioli_2025_trasparenza,h4,DAVOLI GIOVANNI
maggioli_2025_trasparenza,h4,FEROLETO MARIAFRANCESCA
maggioli_2025_trasparenza,h4,FERRARI SAVERIO
maggioli_2025_trasparenza,h4,GALLO GIOVANNI
maggioli_2025_trasparenza,h4,GIGLIOTTI GIUSEPPE detto GIOSY
maggioli_2025_trasparenza,h4,GIGLIOTTI LAURA
maggioli_2025_trasparenza,h4,GRANDINETTI DANIELA IMMACOLATA
maggioli_2025_trasparenza,h4,LIMARDI ROSAMARIA
maggioli_2025_trasparenza,h4,LIOTTA CARMELA MILENA
maggioli_2025_trasparenza,h4,MASI GENNARINO
maggioli_2025_trasparenza,h4,MASTROIANNI CHIARA
maggioli_2025_trasparenza,h4,MISCIMARRA SANTA PATRIZIA
maggioli_2025_trasparenza,h4,MURACA FABRIZIO
maggioli_2025_trasparenza,h4,PANDOLFO ANTONIO
maggioli_2025_trasparenza,h4,PERRI CESARE
maggioli_2025_trasparenza,h4,PICCIONI ROSARIO
maggioli_2025_trasparenza,h4,PINO ALESSANDRO TIZIANO
maggioli_2025_trasparenza,h4,SIRIANNI ANTONIO
maggioli_2025_trasparenza,h4,TAVERNA DOMENICO
maggioli_2025_trasparenza,h4,VESCIO LIDIA
maggioli_2025_trasparenza,h3,MOVIMENTO 5 STELLE
maggioli_2025_trasparenza,h4,ADAMO GIOVANNA
maggioli_2025_trasparenza,h4,APA FRANCESCO
maggioli_2025_trasparenza,h4,ARENA NICOLA
maggioli_2025_trasparenza,h4,BEVACQUA VINCENZO
maggioli_2025_trasparenza,h4,CAPUTO CATERINA
maggioli_2025_trasparenza,h4,CORTESE MARIA detta MARIA VITTORIA
maggioli_2025_trasparenza,h4,DAVOLI MARA ANNA CARLA
maggioli_2025_trasparenza,h4,DE LUCA PASQUALE
maggioli_2025_trasparenza,h4,DE SENSI PAOLO
maggioli_2025_trasparenza,h4,DONATO GIOVANNI
maggioli_2025_trasparenza,h4,FRAGALE HYRYA
maggioli_2025_trasparenza,h4,GRANDINETTI ALESSIA
maggioli_2025_trasparenza,h4,IANNAZZO DANIELA FRANCESCA
maggioli_2025_trasparenza,h4,LAMPASI DANILO
maggioli_2025_trasparenza,h4,MARINELLI ANTONIO
maggioli_2025_trasparenza,h4,MARTELLO ROBERTO
maggioli_2025_trasparenza,h4,NOCITI GIOVANNI
maggioli_2025_trasparenza,h4,PERRI ANTONIO
maggioli_2025_trasparenza,h4,RONDINELLI ANNA MARIA
