election_id,round,section_number,registered_voters,voters,valid_votes,blank_ballots,null_ballots,contested_ballots,source_doc_id,validation_status,notes
comunali_lamezia_2025,1,1,722,450,438,0,12,0,maggioli_2025_sections_mayor_xml,extracted_pending_totals_validation,valid_votes uses VOTIVALIDI_C1; contested_ballots uses VCNAS_TOT
comunali_lamezia_2025,1,2,614,312,309,1,2,0,maggioli_2025_sections_mayor_xml,extracted_pending_totals_validation,valid_votes uses VOTIVALIDI_C1; contested_ballots uses VCNAS_TOT
comunali_lamezia_2025,1,3,658,364,360,1,3,0,maggioli_2025_sections_mayor_xml,extracted_pending_totals_validation,valid_votes uses VOTIVALIDI_C1; contested_ballots uses VCNAS_TOT
comunali_lamezia_2025,1,4,610,322,315,3,4,0,maggioli_2025_sections_mayor_xml,extracted_pending_totals_validation,valid_votes uses VOTIVALIDI_C1; contested_ballots uses VCNAS_TOT
comunali_lamezia_2025,1,5,575,339,331,3,5,0,maggioli_2025_sections_mayor_xml,extracted_pending_totals_validation,valid_votes uses VOTIVALIDI_C1; contested_ballots uses VCNAS_TOT
comunali_lamezia_2025,1,6,742,403,396,4,3,0,maggioli_2025_sections_mayor_xml,extracted_pending_totals_validation,valid_votes uses VOTIVALIDI_C1; contested_ballots uses VCNAS_TOT
comunali_lamezia_2025,1,7,587,248,244,0,4,0,maggioli_2025_sections_mayor_xml,extracted_pending_totals_validation,valid_votes uses VOTIVALIDI_C1; contested_ballots uses VCNAS_TOT
comunali_lamezia_2025,1,8,781,431,422,4,5,0,maggioli_2025_sections_mayor_xml,extracted_pending_totals_validation,valid_votes uses VOTIVALIDI_C1; contested_ballots uses VCNAS_TOT
comunali_lamezia_2025,1,9,602,348,339,1,8,0,maggioli_2025_sections_mayor_xml,extracted_pending_totals_validation,valid_votes uses VOTIVALIDI_C1; contested_ballots uses VCNAS_TOT
comunali_lamezia_2025,1,10,586,258,251,1,6,0,maggioli_2025_sections_mayor_xml,extracted_pending_totals_validation,valid_votes uses VOTIVALIDI_C1; contested_ballots uses VCNAS_TOT
comunali_lamezia_2025,1,11,707,449,435,2,12,0,maggioli_2025_sections_mayor_xml,extracted_pending_totals_validation,valid_votes uses VOTIVALIDI_C1; contested_ballots uses VCNAS_TOT
