street_name_normalised,electoral_street_name_raw,electoral_rule_count,electoral_section_numbers,anncsu_street_name_normalised,anncsu_odonimo,anncsu_progressivo_nazionale,anncsu_total_accesses,crosswalk_status,match_method,confidence,notes
CASE CIMINO,CASE CIMINO,1,50,,,,,unmatched,normalized_exact,review,no exact normalized ANNCSU odonym match
CASE RASO,CASE RASO,1,47,,,,,unmatched,normalized_exact,review,no exact normalized ANNCSU odonym match
CASE REALE,CASE REALE,1,49,,,,,unmatched,normalized_exact,review,no exact normalized ANNCSU odonym match
CONTRADA ACQUADAUZANO,C.DA ACQUADAUZANO,1,46,CONTRADA ACQUADAUZANO,CONTRADA ACQUADAUZANO,1244978,77,matched,normalized_exact,high,
CONTRADA ADDURI,C.DA ADDURI,1,29,,,,,unmatched,normalized_exact,review,no exact normalized ANNCSU odonym match
CONTRADA AGLI,C.DA AGLI,1,30,CONTRADA AGLI,CONTRADA AGLI,1244988,16,matched,normalized_exact,high,
CONTRADA ANNUNZIATA,C.DA ANNUNZIATA,1,24,CONTRADA ANNUNZIATA,CONTRADA ANNUNZIATA,1245003; 1245702,41,matched,normalized_exact,high,
CONTRADA ANTONELLI,C.DA ANTONELLI,1,50,,,,,unmatched,normalized_exact,review,no exact normalized ANNCSU odonym match
CONTRADA ANZARO,C.DA ANZARO,1,33,CONTRADA ANZARO,CONTRADA ANZARO,1245014,5,matched,normalized_exact,high,
CONTRADA ARENACCHIO,C.DA ARENACCHIO,1,73,,,,,unmatched,normalized_exact,review,no exact normalized ANNCSU odonym match
CONTRADA BARBUTO,C.DA BARBUTO,1,61,CONTRADA BARBUTO,CONTRADA BARBUTO,1245036,4,matched,normalized_exact,high,
CONTRADA BARISCO,C.DA BARISCO,1,28,CONTRADA BARISCO,CONTRADA BARISCO,1245037,0,matched,normalized_exact,high,
CONTRADA BARONE,C.DA BARONE,1,77,,,,,unmatched,normalized_exact,review,no exact normalized ANNCSU odonym match
CONTRADA BASTIA,C.DA BASTIA,1,28,CONTRADA BASTIA,CONTRADA BASTIA,1245042,0,matched,normalized_exact,high,
CONTRADA BENEFICIO,C.DA BENEFICIO,1,20,CONTRADA BENEFICIO,CONTRADA BENEFICIO,1245051,10,matched,normalized_exact,high,
