rule_id,election_id,section_number,polling_place,street_rule_raw,street_name_raw,street_name_normalised,civic_rule_raw,civic_from,civic_to,civic_parity,includes_snc,source_page,extraction_confidence,notes
electoral_2025_s01_001,comunali_lamezia_2025,1,"EDIFICIO SCOLASTICO ""MAGG. PERRI"" | Ubicato in CORSO G. NICOTERA 1 2",VIA SELE,VIA SELE,VIA SELE,,,,,false,1,high,
electoral_2025_s01_002,comunali_lamezia_2025,1,"EDIFICIO SCOLASTICO ""MAGG. PERRI"" | Ubicato in CORSO G. NICOTERA 1 2",VIA RENO,VIA RENO,VIA RENO,,,,,false,1,high,
electoral_2025_s01_003,comunali_lamezia_2025,1,"EDIFICIO SCOLASTICO ""MAGG. PERRI"" | Ubicato in CORSO G. NICOTERA 1 2",VIA CRATI,VIA CRATI,VIA CRATI,,,,,false,1,high,
electoral_2025_s01_004,comunali_lamezia_2025,1,"EDIFICIO SCOLASTICO ""MAGG. PERRI"" | Ubicato in CORSO G. NICOTERA 1 2",VIA ARNO,VIA ARNO,VIA ARNO,,,,,false,1,high,
electoral_2025_s01_005,comunali_lamezia_2025,1,"EDIFICIO SCOLASTICO ""MAGG. PERRI"" | Ubicato in CORSO G. NICOTERA 1 2",CORSO G. NICOTERA,CORSO G. NICOTERA,CORSO G NICOTERA,,,,,false,1,high,
electoral_2025_s02_001,comunali_lamezia_2025,2,"EDIFICIO SCOLASTICO ""MAGG. PERRI"" | Ubicato in CORSO G. NICOTERA 1 2",VIA SALV. AVERSA E L. PRECENZANO,VIA SALV. AVERSA E L. PRECENZANO,VIA SALV AVERSA E L PRECENZANO,,,,,false,1,high,
electoral_2025_s02_002,comunali_lamezia_2025,2,"EDIFICIO SCOLASTICO ""MAGG. PERRI"" | Ubicato in CORSO G. NICOTERA 1 2",VIA DEI CAMPIONI,VIA DEI CAMPIONI,VIA DEI CAMPIONI,,,,,false,1,high,
electoral_2025_s02_003,comunali_lamezia_2025,2,"EDIFICIO SCOLASTICO ""MAGG. PERRI"" | Ubicato in CORSO G. NICOTERA 1 2",VIA XX SETTEMBRE,VIA XX SETTEMBRE,VIA XX SETTEMBRE,,,,,false,1,high,
electoral_2025_s03_001,comunali_lamezia_2025,3,"EDIFICIO SCOLASTICO ""MAGG. PERRI"" | Ubicato in CORSO G. NICOTERA 1 2",VIA F. LLI PONZIO,VIA F. LLI PONZIO,VIA FRATELLI PONZIO,,,,,false,1,high,
electoral_2025_s03_002,comunali_lamezia_2025,3,"EDIFICIO SCOLASTICO ""MAGG. PERRI"" | Ubicato in CORSO G. NICOTERA 1 2",VIA FORTINA,VIA FORTINA,VIA FORTINA,,,,,false,1,high,
electoral_2025_s03_003,comunali_lamezia_2025,3,"EDIFICIO SCOLASTICO ""MAGG. PERRI"" | Ubicato in CORSO G. NICOTERA 1 2",VIA MONTELUNGO,VIA MONTELUNGO,VIA MONTELUNGO,,,,,false,1,high,
electoral_2025_s03_004,comunali_lamezia_2025,3,"EDIFICIO SCOLASTICO ""MAGG. PERRI"" | Ubicato in CORSO G. NICOTERA 1 2",PIAZZA G. AMENDOLA,PIAZZA G. AMENDOLA,PIAZZA G AMENDOLA,,,,,false,1,high,
electoral_2025_s03_005,comunali_lamezia_2025,3,"EDIFICIO SCOLASTICO ""MAGG. PERRI"" | Ubicato in CORSO G. NICOTERA 1 2",VIA P. GIULIANI,VIA P. GIULIANI,VIA P GIULIANI,,,,,false,1,high,
electoral_2025_s03_006,comunali_lamezia_2025,3,"EDIFICIO SCOLASTICO ""MAGG. PERRI"" | Ubicato in CORSO G. NICOTERA 1 2",VIA TEVERE,VIA TEVERE,VIA TEVERE,,,,,false,1,high,
electoral_2025_s03_007,comunali_lamezia_2025,3,"EDIFICIO SCOLASTICO ""MAGG. PERRI"" | Ubicato in CORSO G. NICOTERA 1 2",VIA TICINO,VIA TICINO,VIA TICINO,,,,,false,1,high,
electoral_2025_s03_008,comunali_lamezia_2025,3,"EDIFICIO SCOLASTICO ""MAGG. PERRI"" | Ubicato in CORSO G. NICOTERA 1 2",VIA F. TURATI,VIA F. TURATI,VIA F TURATI,,,,,false,1,high,
electoral_2025_s03_009,comunali_lamezia_2025,3,"EDIFICIO SCOLASTICO ""MAGG. PERRI"" | Ubicato in CORSO G. NICOTERA 1 2",LARGHETTO E VICHI BLASCHI,LARGHETTO E VICHI BLASCHI,LARGHETTO E VICHI BLASCHI,,,,,false,1,high,
electoral_2025_s03_010,comunali_lamezia_2025,3,"EDIFICIO SCOLASTICO ""MAGG. PERRI"" | Ubicato in CORSO G. NICOTERA 1 2",VIA F. D'IPPOLITO,VIA F. D'IPPOLITO,VIA F D IPPOLITO,,,,,false,1,high,
electoral_2025_s03_011,comunali_lamezia_2025,3,"EDIFICIO SCOLASTICO ""MAGG. PERRI"" | Ubicato in CORSO G. NICOTERA 1 2",VIA MONACI,VIA MONACI,VIA MONACI,,,,,false,1,high,
electoral_2025_s03_012,comunali_lamezia_2025,3,"EDIFICIO SCOLASTICO ""MAGG. PERRI"" | Ubicato in CORSO G. NICOTERA 1 2",PIAZZA P.ARDITO,PIAZZA P.ARDITO,PIAZZA P ARDITO,,,,,false,1,high,
electoral_2025_s03_013,comunali_lamezia_2025,3,"EDIFICIO SCOLASTICO ""MAGG. PERRI"" | Ubicato in CORSO G. NICOTERA 1 2",VIA E. R. DE MEDICI,VIA E. R. DE MEDICI,VIA E R DE MEDICI,,,,,false,1,high,
electoral_2025_s03_014,comunali_lamezia_2025,3,"EDIFICIO SCOLASTICO ""MAGG. PERRI"" | Ubicato in CORSO G. NICOTERA 1 2",VIA E. GRANDE,VIA E. GRANDE,VIA E GRANDE,,,,,false,1,high,
electoral_2025_s03_015,comunali_lamezia_2025,3,"EDIFICIO SCOLASTICO ""MAGG. PERRI"" | Ubicato in CORSO G. NICOTERA 1 2",VIA SAN DOMENICO,VIA SAN DOMENICO,VIA SAN DOMENICO,,,,,false,1,high,
electoral_2025_s03_016,comunali_lamezia_2025,3,"EDIFICIO SCOLASTICO ""MAGG. PERRI"" | Ubicato in CORSO G. NICOTERA 1 2",VIA C. LORIEDO,VIA C. LORIEDO,VIA C LORIEDO,,,,,false,1,high,
