access_id,provider,query,query_variant,candidate_rank,candidate_lon,candidate_lat,candidate_display_name,candidate_class,candidate_type,candidate_importance,candidate_place_rank,candidate_has_house_number,within_lamezia_bbox,distance_from_source_m,provider_confidence,candidate_status,provider_license,cache_key
3528477,nominatim,"VIA ABRUZZI 2, Lamezia Terme, Calabria, Italia",exact_civic,1,16.3067510,38.9723284,"Via Abruzzi, Bella, Sambiase, Lamezia Terme, Catanzaro, Calabria, 88046, Italia",highway,service,0.040060365453574415,27,false,true,8785.7,low_street_level,candidate_requires_human_review,OpenStreetMap/Nominatim result; verify provider terms before bulk reuse,d09a9db80a9ba4d580ab04f8e236ddb3b6475f299839b5fee9c2edf4c6c0a72f
3528479,nominatim,"VIA ABRUZZI 32, Lamezia Terme, Calabria, Italia",exact_civic,1,16.3067510,38.9723284,"Via Abruzzi, Bella, Sambiase, Lamezia Terme, Catanzaro, Calabria, 88046, Italia",highway,service,0.040060365453574415,27,false,true,2159.7,low_street_level,candidate_requires_human_review,OpenStreetMap/Nominatim result; verify provider terms before bulk reuse,bfd2bd0219f439fb2d188e4c2f1ed07fe145e359f612090bc98ef6eb29a4d875
3535126,nominatim,"VIA ACQUAFREDDA 228, Lamezia Terme, Calabria, Italia",all_variants,,,,,,,,,,,,,no_candidate_returned,OpenStreetMap/Nominatim result; verify provider terms before bulk reuse,6f2a5de6110552213011fc3b0f19da786ab8d230767cc029a6a1dbba6e4edb42
3535128,nominatim,"VIA ACQUAFREDDA 230, Lamezia Terme, Calabria, Italia",all_variants,,,,,,,,,,,,,no_candidate_returned,OpenStreetMap/Nominatim result; verify provider terms before bulk reuse,fdc09a9f79b9f4ddb756511b757a68f32e8e29fecc1cb57fcb85f84950cd50a6
3535135,nominatim,"VIA ACQUAFREDDA 239, Lamezia Terme, Calabria, Italia",all_variants,,,,,,,,,,,,,no_candidate_returned,OpenStreetMap/Nominatim result; verify provider terms before bulk reuse,76cd80855382462519a3d16373169972d28d0f821a4bdbef402bd2ac75875894
3535167,nominatim,"VIA ACQUAFREDDA 82, Lamezia Terme, Calabria, Italia",all_variants,,,,,,,,,,,,,no_candidate_returned,OpenStreetMap/Nominatim result; verify provider terms before bulk reuse,9d0bf66270f5f956b799f756079e50b70a6e2c92cb52cf6d2b3c8d7f4c846369
3530693,nominatim,"VIA ADIGE 11, Lamezia Terme, Calabria, Italia",exact_civic,1,16.3197462,38.9717824,"Via Adige, Magolà, Lamezia Terme, Catanzaro, Calabria, 88046, Italia",highway,residential,0.05339369878690772,26,false,true,3051.0,low_street_level,candidate_requires_human_review,OpenStreetMap/Nominatim result; verify provider terms before bulk reuse,766c9305888b5a4cc8e64ded63da74b5e5f788cf94ad278640446260ef8c84d1
3530706,nominatim,"VIA ADIGE 23, Lamezia Terme, Calabria, Italia",exact_civic,1,16.3197462,38.9717824,"Via Adige, Magolà, Lamezia Terme, Catanzaro, Calabria, 88046, Italia",highway,residential,0.05339369878690772,26,false,true,2916.6,low_street_level,candidate_requires_human_review,OpenStreetMap/Nominatim result; verify provider terms before bulk reuse,f4136af333a36f01cea5c3bb3ba1fd932f7968372202c0132571ae568719878a
3522563,nominatim,"VIA ALBERT EINSTEIN 1/A, Lamezia Terme, Calabria, Italia",exact_civic,1,16.2929582,38.9667021,"Via Albert Einstein, Sambiase, Gabella, Lamezia Terme, Catanzaro, Calabria, 88046, Italia",highway,residential,0.05339369878690772,26,false,true,3163.3,low_street_level,candidate_requires_human_review,OpenStreetMap/Nominatim result; verify provider terms before bulk reuse,5229454a26920588e27918944a661be3775b4ba40bb04ccee52226b182093daa
3535225,nominatim,"VIA ALDO MORO 40/S, Lamezia Terme, Calabria, Italia",exact_civic,1,16.3101938,38.9690244,"Via Aldo Moro, Lamezia Terme, Catanzaro, Calabria, 88046, Italia",highway,tertiary,0.05339369878690772,26,false,true,2638.6,low_street_level,candidate_requires_human_review,OpenStreetMap/Nominatim result; verify provider terms before bulk reuse,8dfaef5ef48532b709493734fb60270fa9ad846d78212aa3b53d282a69dde460
