access_id,priority,address_query,fallback_queries,street,civic,esponente,coordinate_quality_flag,source_diagnosis,recovery_action,source_lon,source_lat,request_status,request_notes
3517138,P2_external_candidate_useful,"CONTRADA ACQUADAUNZANO 366, Lamezia Terme, Calabria, Italia","CONTRADA ACQUADAUNZANO, Lamezia Terme, Calabria, Italia",CONTRADA ACQUADAUNZANO,366,,street_context_mismatch,suspect_coordinate_present_in_original_anncsu_raw,external_geocode_candidate_plus_human_review,"16,2674162","39,0009789",planned,execute with --execute after confirming provider terms/rate limits
3527350,P2_external_candidate_useful,"CONTRADA ACQUADAUZANO 72, Lamezia Terme, Calabria, Italia","CONTRADA ACQUADAUZANO, Lamezia Terme, Calabria, Italia",CONTRADA ACQUADAUZANO,72,,same_street_outlier,suspect_coordinate_present_in_original_anncsu_raw,external_geocode_candidate_plus_human_review,"16,270801","38,9968413",planned,execute with --execute after confirming provider terms/rate limits
3514822,P2_external_candidate_useful,"CONTRADA AGLI 60, Lamezia Terme, Calabria, Italia","CONTRADA AGLI, Lamezia Terme, Calabria, Italia",CONTRADA AGLI,60,,same_street_outlier,suspect_coordinate_present_in_original_anncsu_raw,external_geocode_candidate_plus_human_review,"16,3063895","38,9837248",planned,execute with --execute after confirming provider terms/rate limits
3525993,P2_external_candidate_useful,"CONTRADA ANNUNZIATA 23, Lamezia Terme, Calabria, Italia","CONTRADA ANNUNZIATA, Lamezia Terme, Calabria, Italia",CONTRADA ANNUNZIATA,23,,same_street_outlier,suspect_coordinate_present_in_original_anncsu_raw,external_geocode_candidate_plus_human_review,"16,2728997","38,9692101",planned,execute with --execute after confirming provider terms/rate limits
3526021,P2_external_candidate_useful,"CONTRADA ANNUNZIATA 77, Lamezia Terme, Calabria, Italia","CONTRADA ANNUNZIATA, Lamezia Terme, Calabria, Italia",CONTRADA ANNUNZIATA,77,,same_street_outlier,suspect_coordinate_present_in_original_anncsu_raw,external_geocode_candidate_plus_human_review,"16,2531719","38,9245916",planned,execute with --execute after confirming provider terms/rate limits
3526022,P2_external_candidate_useful,"CONTRADA ANNUNZIATA 79, Lamezia Terme, Calabria, Italia","CONTRADA ANNUNZIATA, Lamezia Terme, Calabria, Italia",CONTRADA ANNUNZIATA,79,,same_street_outlier,suspect_coordinate_present_in_original_anncsu_raw,external_geocode_candidate_plus_human_review,"16,3165232","38,9680609",planned,execute with --execute after confirming provider terms/rate limits
3593842,P2_external_candidate_useful,"CONTRADA BENEFICIO 8, Lamezia Terme, Calabria, Italia","CONTRADA BENEFICIO, Lamezia Terme, Calabria, Italia",CONTRADA BENEFICIO,8,,same_street_outlier,suspect_coordinate_present_in_original_anncsu_raw,external_geocode_candidate_plus_human_review,"16,2895937","38,988538",planned,execute with --execute after confirming provider terms/rate limits
3528313,P2_external_candidate_useful,"CONTRADA BUCOLIA DI SOTTO 20/A, Lamezia Terme, Calabria, Italia","CONTRADA BUCOLIA DI SOTTO, Lamezia Terme, Calabria, Italia",CONTRADA BUCOLIA DI SOTTO,20,A,street_context_mismatch,suspect_coordinate_present_in_original_anncsu_raw,external_geocode_candidate_plus_human_review,"16,251427","39,004828",planned,execute with --execute after confirming provider terms/rate limits
3528302,P2_external_candidate_useful,"CONTRADA BUCOLIA DI SOTTO 56, Lamezia Terme, Calabria, Italia","CONTRADA BUCOLIA DI SOTTO, Lamezia Terme, Calabria, Italia",CONTRADA BUCOLIA DI SOTTO,56,,same_street_outlier,suspect_coordinate_present_in_original_anncsu_raw,external_geocode_candidate_plus_human_review,"16,3198425","38,9806635",planned,execute with --execute after confirming provider terms/rate limits
3579202,P2_external_candidate_useful,"CONTRADA CANTARELLE 130, Lamezia Terme, Calabria, Italia","CONTRADA CANTARELLE, Lamezia Terme, Calabria, Italia",CONTRADA CANTARELLE,130,,same_street_outlier,suspect_coordinate_present_in_original_anncsu_raw,external_geocode_candidate_plus_human_review,"16,25283","39,007795",planned,execute with --execute after confirming provider terms/rate limits
3579209,P2_external_candidate_useful,"CONTRADA CANTARELLE 83, Lamezia Terme, Calabria, Italia","CONTRADA CANTARELLE, Lamezia Terme, Calabria, Italia",CONTRADA CANTARELLE,83,,same_street_outlier,suspect_coordinate_present_in_original_anncsu_raw,external_geocode_candidate_plus_human_review,"16,2592875","38,9719052",planned,execute with --execute after confirming provider terms/rate limits
3532859,P2_external_candidate_useful,"CONTRADA CARONTE 35, Lamezia Terme, Calabria, Italia","CONTRADA CARONTE, Lamezia Terme, Calabria, Italia",CONTRADA CARONTE,35,,same_street_outlier,suspect_coordinate_present_in_original_anncsu_raw,external_geocode_candidate_plus_human_review,"16,2591321","38,9760236",planned,execute with --execute after confirming provider terms/rate limits
3517116,P2_external_candidate_useful,"CONTRADA CARRA' VOLPE 68/1, Lamezia Terme, Calabria, Italia","CONTRADA CARRA' VOLPE, Lamezia Terme, Calabria, Italia",CONTRADA CARRA' VOLPE,68,1,same_street_outlier,suspect_coordinate_present_in_original_anncsu_raw,external_geocode_candidate_plus_human_review,"16,3277774","38,9478703",planned,execute with --execute after confirming provider terms/rate limits
3517115,P2_external_candidate_useful,"CONTRADA CARRA' VOLPE 70, Lamezia Terme, Calabria, Italia","CONTRADA CARRA' VOLPE, Lamezia Terme, Calabria, Italia",CONTRADA CARRA' VOLPE,70,,same_street_outlier,suspect_coordinate_present_in_original_anncsu_raw,external_geocode_candidate_plus_human_review,"16,2915104","38,9390382",planned,execute with --execute after confirming provider terms/rate limits
3515055,P2_external_candidate_useful,"CONTRADA CARRA' VOLPE 81/B, Lamezia Terme, Calabria, Italia","CONTRADA CARRA' VOLPE, Lamezia Terme, Calabria, Italia",CONTRADA CARRA' VOLPE,81,B,same_street_outlier,suspect_coordinate_present_in_original_anncsu_raw,external_geocode_candidate_plus_human_review,"16,2500567","38,8753757",planned,execute with --execute after confirming provider terms/rate limits
3520173,P2_external_candidate_useful,"CONTRADA CASTURI 3, Lamezia Terme, Calabria, Italia","CONTRADA CASTURI, Lamezia Terme, Calabria, Italia",CONTRADA CASTURI,3,,same_street_outlier,suspect_coordinate_present_in_original_anncsu_raw,external_geocode_candidate_plus_human_review,"16,2493873","38,8752814",planned,execute with --execute after confirming provider terms/rate limits
3523736,P2_external_candidate_useful,"CONTRADA CROZZANO INFERIORE 16/A, Lamezia Terme, Calabria, Italia","CONTRADA CROZZANO INFERIORE, Lamezia Terme, Calabria, Italia",CONTRADA CROZZANO INFERIORE,16,A,same_street_outlier,suspect_coordinate_present_in_original_anncsu_raw,external_geocode_candidate_plus_human_review,"16,3312092","38,9711303",planned,execute with --execute after confirming provider terms/rate limits
3523735,P2_external_candidate_useful,"CONTRADA CROZZANO INFERIORE 63/A, Lamezia Terme, Calabria, Italia","CONTRADA CROZZANO INFERIORE, Lamezia Terme, Calabria, Italia",CONTRADA CROZZANO INFERIORE,63,A,same_street_outlier,suspect_coordinate_present_in_original_anncsu_raw,external_geocode_candidate_plus_human_review,"16,3245016","38,9828973",planned,execute with --execute after confirming provider terms/rate limits
3530600,P2_external_candidate_useful,"CONTRADA CROZZANO SUPERIORE 9, Lamezia Terme, Calabria, Italia","CONTRADA CROZZANO SUPERIORE, Lamezia Terme, Calabria, Italia",CONTRADA CROZZANO SUPERIORE,9,,same_street_outlier,suspect_coordinate_present_in_original_anncsu_raw,external_geocode_candidate_plus_human_review,"16,245585","39,0134166",planned,execute with --execute after confirming provider terms/rate limits
3530601,P2_external_candidate_useful,"CONTRADA CROZZANO SUPERIORE 95, Lamezia Terme, Calabria, Italia","CONTRADA CROZZANO SUPERIORE, Lamezia Terme, Calabria, Italia",CONTRADA CROZZANO SUPERIORE,95,,same_street_outlier,suspect_coordinate_present_in_original_anncsu_raw,external_geocode_candidate_plus_human_review,"16,2477534","39,011431",planned,execute with --execute after confirming provider terms/rate limits
3523690,P2_external_candidate_useful,"CONTRADA FICARELLA 16, Lamezia Terme, Calabria, Italia","CONTRADA FICARELLA, Lamezia Terme, Calabria, Italia",CONTRADA FICARELLA,16,,same_street_outlier,suspect_coordinate_present_in_original_anncsu_raw,external_geocode_candidate_plus_human_review,"16,2748847","38,9846816",planned,execute with --execute after confirming provider terms/rate limits
3523695,P2_external_candidate_useful,"CONTRADA FICARELLA 36, Lamezia Terme, Calabria, Italia","CONTRADA FICARELLA, Lamezia Terme, Calabria, Italia",CONTRADA FICARELLA,36,,same_street_outlier,suspect_coordinate_present_in_original_anncsu_raw,external_geocode_candidate_plus_human_review,"16,2541053","39,0015425",planned,execute with --execute after confirming provider terms/rate limits
3517400,P2_external_candidate_useful,"CONTRADA FONTANELLA 2, Lamezia Terme, Calabria, Italia","CONTRADA FONTANELLA, Lamezia Terme, Calabria, Italia",CONTRADA FONTANELLA,2,,street_context_mismatch,suspect_coordinate_present_in_original_anncsu_raw,external_geocode_candidate_plus_human_review,"16,254892","39,0002016",planned,execute with --execute after confirming provider terms/rate limits
3517404,P2_external_candidate_useful,"CONTRADA FONTANELLA 4, Lamezia Terme, Calabria, Italia","CONTRADA FONTANELLA, Lamezia Terme, Calabria, Italia",CONTRADA FONTANELLA,4,,street_context_mismatch,suspect_coordinate_present_in_original_anncsu_raw,external_geocode_candidate_plus_human_review,"16,2542104","39,0019043",planned,execute with --execute after confirming provider terms/rate limits
3519818,P2_external_candidate_useful,"CONTRADA GABELLA 131, Lamezia Terme, Calabria, Italia","CONTRADA GABELLA, Lamezia Terme, Calabria, Italia",CONTRADA GABELLA,131,,same_street_outlier,suspect_coordinate_present_in_original_anncsu_raw,external_geocode_candidate_plus_human_review,"16,2863236","38,982073",planned,execute with --execute after confirming provider terms/rate limits
3519778,P2_external_candidate_useful,"CONTRADA GABELLA 271, Lamezia Terme, Calabria, Italia","CONTRADA GABELLA, Lamezia Terme, Calabria, Italia",CONTRADA GABELLA,271,,street_context_mismatch,suspect_coordinate_present_in_original_anncsu_raw,external_geocode_candidate_plus_human_review,"16,291892","38,9797429",planned,execute with --execute after confirming provider terms/rate limits
3519781,P2_external_candidate_useful,"CONTRADA GABELLA 290, Lamezia Terme, Calabria, Italia","CONTRADA GABELLA, Lamezia Terme, Calabria, Italia",CONTRADA GABELLA,290,,same_street_outlier,suspect_coordinate_present_in_original_anncsu_raw,external_geocode_candidate_plus_human_review,"16,2961929","38,982958",planned,execute with --execute after confirming provider terms/rate limits
3519783,P2_external_candidate_useful,"CONTRADA GABELLA 301, Lamezia Terme, Calabria, Italia","CONTRADA GABELLA, Lamezia Terme, Calabria, Italia",CONTRADA GABELLA,301,,same_street_outlier,suspect_coordinate_present_in_original_anncsu_raw,external_geocode_candidate_plus_human_review,"16,2932086","38,9828011",planned,execute with --execute after confirming provider terms/rate limits
3519786,P2_external_candidate_useful,"CONTRADA GABELLA 303, Lamezia Terme, Calabria, Italia","CONTRADA GABELLA, Lamezia Terme, Calabria, Italia",CONTRADA GABELLA,303,,same_street_outlier,suspect_coordinate_present_in_original_anncsu_raw,external_geocode_candidate_plus_human_review,"16,2949727","38,9851065",planned,execute with --execute after confirming provider terms/rate limits
3519792,P2_external_candidate_useful,"CONTRADA GABELLA 326, Lamezia Terme, Calabria, Italia","CONTRADA GABELLA, Lamezia Terme, Calabria, Italia",CONTRADA GABELLA,326,,street_context_mismatch,suspect_coordinate_present_in_original_anncsu_raw,external_geocode_candidate_plus_human_review,"16,3472668","38,9609987",planned,execute with --execute after confirming provider terms/rate limits
3519797,P2_external_candidate_useful,"CONTRADA GABELLA 369, Lamezia Terme, Calabria, Italia","CONTRADA GABELLA, Lamezia Terme, Calabria, Italia",CONTRADA GABELLA,369,,street_context_mismatch,suspect_coordinate_present_in_original_anncsu_raw,external_geocode_candidate_plus_human_review,"16,3547812","38,9594227",planned,execute with --execute after confirming provider terms/rate limits
3519808,P2_external_candidate_useful,"CONTRADA GABELLA 45, Lamezia Terme, Calabria, Italia","CONTRADA GABELLA, Lamezia Terme, Calabria, Italia",CONTRADA GABELLA,45,,same_street_outlier,suspect_coordinate_present_in_original_anncsu_raw,external_geocode_candidate_plus_human_review,"16,2455054","38,9976349",planned,execute with --execute after confirming provider terms/rate limits
3512670,P2_external_candidate_useful,"CONTRADA GABELLA CARDOLO 12, Lamezia Terme, Calabria, Italia","CONTRADA GABELLA CARDOLO, Lamezia Terme, Calabria, Italia",CONTRADA GABELLA CARDOLO,12,,street_context_mismatch,suspect_coordinate_present_in_original_anncsu_raw,external_geocode_candidate_plus_human_review,"16,3400628","38,9645178",planned,execute with --execute after confirming provider terms/rate limits
3528227,P2_external_candidate_useful,"CONTRADA GACCIA 9, Lamezia Terme, Calabria, Italia","CONTRADA GACCIA, Lamezia Terme, Calabria, Italia",CONTRADA GACCIA,9,,same_street_outlier,suspect_coordinate_present_in_original_anncsu_raw,external_geocode_candidate_plus_human_review,"16,306086","38,9725144",planned,execute with --execute after confirming provider terms/rate limits
3539275,P2_external_candidate_useful,"CONTRADA GUERRIERI SERRA 131/A, Lamezia Terme, Calabria, Italia","CONTRADA GUERRIERI SERRA, Lamezia Terme, Calabria, Italia",CONTRADA GUERRIERI SERRA,131,A,same_street_outlier,suspect_coordinate_present_in_original_anncsu_raw,external_geocode_candidate_plus_human_review,"16,2477534","39,011431",planned,execute with --execute after confirming provider terms/rate limits
3539286,P2_external_candidate_useful,"CONTRADA GUERRIERI SERRA 87, Lamezia Terme, Calabria, Italia","CONTRADA GUERRIERI SERRA, Lamezia Terme, Calabria, Italia",CONTRADA GUERRIERI SERRA,87,,same_street_outlier,suspect_coordinate_present_in_original_anncsu_raw,external_geocode_candidate_plus_human_review,"16,245585","39,0134166",planned,execute with --execute after confirming provider terms/rate limits
3515430,P2_external_candidate_useful,"CONTRADA MARSOMIGLIO 5, Lamezia Terme, Calabria, Italia","CONTRADA MARSOMIGLIO, Lamezia Terme, Calabria, Italia",CONTRADA MARSOMIGLIO,5,,street_context_mismatch,suspect_coordinate_present_in_original_anncsu_raw,external_geocode_candidate_plus_human_review,"16,2463872","38,9653402",planned,execute with --execute after confirming provider terms/rate limits
3539264,P2_external_candidate_useful,"CONTRADA MIGLIERINA 102, Lamezia Terme, Calabria, Italia","CONTRADA MIGLIERINA, Lamezia Terme, Calabria, Italia",CONTRADA MIGLIERINA,102,,same_street_outlier,suspect_coordinate_present_in_original_anncsu_raw,external_geocode_candidate_plus_human_review,"16,2508899","39,0181192",planned,execute with --execute after confirming provider terms/rate limits
3512549,P2_external_candidate_useful,"CONTRADA MISA' 11, Lamezia Terme, Calabria, Italia","CONTRADA MISA', Lamezia Terme, Calabria, Italia",CONTRADA MISA',11,,same_street_outlier,suspect_coordinate_present_in_original_anncsu_raw,external_geocode_candidate_plus_human_review,"16,240946","39,0171837",planned,execute with --execute after confirming provider terms/rate limits
3512554,P2_external_candidate_useful,"CONTRADA MISA' 25, Lamezia Terme, Calabria, Italia","CONTRADA MISA', Lamezia Terme, Calabria, Italia",CONTRADA MISA',25,,same_street_outlier,suspect_coordinate_present_in_original_anncsu_raw,external_geocode_candidate_plus_human_review,"16,3525418","38,9600919",planned,execute with --execute after confirming provider terms/rate limits
3517001,P2_external_candidate_useful,"CONTRADA MITOIO 127, Lamezia Terme, Calabria, Italia","CONTRADA MITOIO, Lamezia Terme, Calabria, Italia",CONTRADA MITOIO,127,,street_context_mismatch,suspect_coordinate_present_in_original_anncsu_raw,external_geocode_candidate_plus_human_review,"16,2484134","39,0124669",planned,execute with --execute after confirming provider terms/rate limits
3539351,P2_external_candidate_useful,"CONTRADA MURETTO 95, Lamezia Terme, Calabria, Italia","CONTRADA MURETTO, Lamezia Terme, Calabria, Italia",CONTRADA MURETTO,95,,same_street_outlier,suspect_coordinate_present_in_original_anncsu_raw,external_geocode_candidate_plus_human_review,"16,3162964","38,9839482",planned,execute with --execute after confirming provider terms/rate limits
3539361,P2_external_candidate_useful,"CONTRADA PAPAZZO 145, Lamezia Terme, Calabria, Italia","CONTRADA PAPAZZO, Lamezia Terme, Calabria, Italia",CONTRADA PAPAZZO,145,,same_street_outlier,suspect_coordinate_present_in_original_anncsu_raw,external_geocode_candidate_plus_human_review,"16,2951503","38,9208785",planned,execute with --execute after confirming provider terms/rate limits
3539362,P2_external_candidate_useful,"CONTRADA PAPAZZO 151, Lamezia Terme, Calabria, Italia","CONTRADA PAPAZZO, Lamezia Terme, Calabria, Italia",CONTRADA PAPAZZO,151,,same_street_outlier,suspect_coordinate_present_in_original_anncsu_raw,external_geocode_candidate_plus_human_review,"16,2273318","38,9713808",planned,execute with --execute after confirming provider terms/rate limits
3512781,P2_external_candidate_useful,"CONTRADA PIGNA MAZZEI 21, Lamezia Terme, Calabria, Italia","CONTRADA PIGNA MAZZEI, Lamezia Terme, Calabria, Italia",CONTRADA PIGNA MAZZEI,21,,same_street_outlier,suspect_coordinate_present_in_original_anncsu_raw,external_geocode_candidate_plus_human_review,"16,2848469","38,957859",planned,execute with --execute after confirming provider terms/rate limits
3530507,P2_external_candidate_useful,"CONTRADA PROCESSIONE STOCCO 55, Lamezia Terme, Calabria, Italia","CONTRADA PROCESSIONE STOCCO, Lamezia Terme, Calabria, Italia",CONTRADA PROCESSIONE STOCCO,55,,same_street_outlier,suspect_coordinate_present_in_original_anncsu_raw,external_geocode_candidate_plus_human_review,"16,3219329","38,9763846",planned,execute with --execute after confirming provider terms/rate limits
3521540,P2_external_candidate_useful,"CONTRADA QUATTROCCHI 23, Lamezia Terme, Calabria, Italia","CONTRADA QUATTROCCHI, Lamezia Terme, Calabria, Italia",CONTRADA QUATTROCCHI,23,,same_street_outlier,suspect_coordinate_present_in_original_anncsu_raw,external_geocode_candidate_plus_human_review,"16,35599","38,9622496",planned,execute with --execute after confirming provider terms/rate limits
3521541,P2_external_candidate_useful,"CONTRADA QUATTROCCHI 25, Lamezia Terme, Calabria, Italia","CONTRADA QUATTROCCHI, Lamezia Terme, Calabria, Italia",CONTRADA QUATTROCCHI,25,,same_street_outlier,suspect_coordinate_present_in_original_anncsu_raw,external_geocode_candidate_plus_human_review,"16,2238999","38,9667477",planned,execute with --execute after confirming provider terms/rate limits
3521543,P2_external_candidate_useful,"CONTRADA QUATTROCCHI 25/A, Lamezia Terme, Calabria, Italia","CONTRADA QUATTROCCHI, Lamezia Terme, Calabria, Italia",CONTRADA QUATTROCCHI,25,A,same_street_outlier,suspect_coordinate_present_in_original_anncsu_raw,external_geocode_candidate_plus_human_review,"16,355259","38,959743",planned,execute with --execute after confirming provider terms/rate limits
3521544,P2_external_candidate_useful,"CONTRADA QUATTROCCHI 25/B, Lamezia Terme, Calabria, Italia","CONTRADA QUATTROCCHI, Lamezia Terme, Calabria, Italia",CONTRADA QUATTROCCHI,25,B,same_street_outlier,suspect_coordinate_present_in_original_anncsu_raw,external_geocode_candidate_plus_human_review,"16,2216","38,96109",planned,execute with --execute after confirming provider terms/rate limits
3521560,P2_external_candidate_useful,"CONTRADA QUATTROCCHI 4, Lamezia Terme, Calabria, Italia","CONTRADA QUATTROCCHI, Lamezia Terme, Calabria, Italia",CONTRADA QUATTROCCHI,4,,same_street_outlier,suspect_coordinate_present_in_original_anncsu_raw,external_geocode_candidate_plus_human_review,"16,3040511","38,9190834",planned,execute with --execute after confirming provider terms/rate limits
3538129,P2_external_candidate_useful,"CONTRADA SORBELLO 10, Lamezia Terme, Calabria, Italia","CONTRADA SORBELLO, Lamezia Terme, Calabria, Italia",CONTRADA SORBELLO,10,,same_street_outlier,suspect_coordinate_present_in_original_anncsu_raw,external_geocode_candidate_plus_human_review,"16,2264519","38,967947",planned,execute with --execute after confirming provider terms/rate limits
3537146,P2_external_candidate_useful,"CONTRADA SPINETO 110, Lamezia Terme, Calabria, Italia","CONTRADA SPINETO, Lamezia Terme, Calabria, Italia",CONTRADA SPINETO,110,,same_street_outlier,suspect_coordinate_present_in_original_anncsu_raw,external_geocode_candidate_plus_human_review,"16,3158479","38,9809367",planned,execute with --execute after confirming provider terms/rate limits
3525975,P2_external_candidate_useful,"CONTRADA VALLE RICCIARDI INFERIORE 40/A, Lamezia Terme, Calabria, Italia","CONTRADA VALLE RICCIARDI INFERIORE, Lamezia Terme, Calabria, Italia",CONTRADA VALLE RICCIARDI INFERIORE,40,A,same_street_outlier,suspect_coordinate_present_in_original_anncsu_raw,external_geocode_candidate_plus_human_review,"16,3194083","38,9751664",planned,execute with --execute after confirming provider terms/rate limits
3519289,P2_external_candidate_useful,"CONTRADA VELATI 27, Lamezia Terme, Calabria, Italia","CONTRADA VELATI, Lamezia Terme, Calabria, Italia",CONTRADA VELATI,27,,same_street_outlier,suspect_coordinate_present_in_original_anncsu_raw,external_geocode_candidate_plus_human_review,"16,3201673","38,977266",planned,execute with --execute after confirming provider terms/rate limits
3512577,P2_external_candidate_useful,"CONTRADA VONIO 67, Lamezia Terme, Calabria, Italia","CONTRADA VONIO, Lamezia Terme, Calabria, Italia",CONTRADA VONIO,67,,same_street_outlier,suspect_coordinate_present_in_original_anncsu_raw,external_geocode_candidate_plus_human_review,"16,2497599","38,977077",planned,execute with --execute after confirming provider terms/rate limits
3535711,P2_external_candidate_useful,"CORSO DELLA REPUBBLICA 2, Lamezia Terme, Calabria, Italia","CORSO DELLA REPUBBLICA, Lamezia Terme, Calabria, Italia",CORSO DELLA REPUBBLICA,2,,same_street_outlier,suspect_coordinate_present_in_original_anncsu_raw,external_geocode_candidate_plus_human_review,"16,2870078","38,9668786",planned,execute with --execute after confirming provider terms/rate limits
3572084,P2_external_candidate_useful,"CORSO NUMISTRANO 37/B, Lamezia Terme, Calabria, Italia","CORSO NUMISTRANO, Lamezia Terme, Calabria, Italia",CORSO NUMISTRANO,37,B,same_street_outlier,suspect_coordinate_present_in_original_anncsu_raw,external_geocode_candidate_plus_human_review,"16,2588338","38,9582774",planned,execute with --execute after confirming provider terms/rate limits
3572086,P2_external_candidate_useful,"CORSO NUMISTRANO 41, Lamezia Terme, Calabria, Italia","CORSO NUMISTRANO, Lamezia Terme, Calabria, Italia",CORSO NUMISTRANO,41,,same_street_outlier,suspect_coordinate_present_in_original_anncsu_raw,external_geocode_candidate_plus_human_review,"16,2717747","38,9879341",planned,execute with --execute after confirming provider terms/rate limits
3572107,P2_external_candidate_useful,"CORSO NUMISTRANO 71, Lamezia Terme, Calabria, Italia","CORSO NUMISTRANO, Lamezia Terme, Calabria, Italia",CORSO NUMISTRANO,71,,same_street_outlier,suspect_coordinate_present_in_original_anncsu_raw,external_geocode_candidate_plus_human_review,"16,248277","38,8710094",planned,execute with --execute after confirming provider terms/rate limits
