access_id,provider,candidate_method,candidate_status,candidate_lon,candidate_lat,candidate_confidence,candidate_explanation,source_lon,source_lat,distance_from_source_m,street,civico,esponente,coordinate_quality_flag,anchor_count,numeric_anchor_count,lower_anchor_access_id,lower_anchor_civic,upper_anchor_access_id,upper_anchor_civic,nearest_anchor_access_id,nearest_anchor_civic,nearest_anchor_distance_m,notes
3527325,local_anncsu_anchor,same_street_same_civic_number_anchor,candidate_requires_human_review,16.305187,38.9865702,medium,1 same-street anchor(s) share civic number 375.,16.3049541,38.9870505,57.1,CONTRADA ACQUADAUZANO,375,,needs_manual_coordinate_review,75,75,,,,,3527324,375,57.1,Local ANNCSU anchor candidate only; do not apply without human review.
3527350,local_anncsu_anchor,same_street_civic_number_interpolation,candidate_requires_human_review,16.267343,39.001002,medium,Interpolated civic 72 between same-street anchors 65 and 73.,16.270801,38.9968413,550.8,CONTRADA ACQUADAUZANO,72,,same_street_outlier,75,75,3527367,65,3527351,73,3527332,400,538.9,Local ANNCSU anchor candidate only; do not apply without human review.
3514824,local_anncsu_anchor,same_street_civic_number_interpolation,candidate_requires_human_review,16.3454583,38.9755658,medium,Interpolated civic 18 between same-street anchors 17 and 19.,16.3030348,38.9905196,4026.3,CONTRADA AGLI,18,,outside_boundary,14,14,3514819,17,3514827,19,3514833,8,3956.9,Local ANNCSU anchor candidate only; do not apply without human review.
3514822,local_anncsu_anchor,nearest_same_street_numeric_anchor,candidate_requires_human_review,16.3445538,38.9755301,low,Only one-sided or sparse numeric same-street anchors were available.,16.3063895,38.9837248,3422.4,CONTRADA AGLI,60,,same_street_outlier,14,14,3514831,56,,,3514833,8,3422.4,Local ANNCSU anchor candidate only; do not apply without human review.
3526015,local_anncsu_anchor,same_street_civic_number_interpolation,candidate_requires_human_review,16.3007554,38.9827821,medium,Interpolated civic 105 between same-street anchors 103 and 109.,16.3030348,38.9905196,882.6,CONTRADA ANNUNZIATA,105,,outside_boundary,37,37,3526014,103,3525990,109,3526024,30,419.9,Local ANNCSU anchor candidate only; do not apply without human review.
3525993,local_anncsu_anchor,same_street_civic_number_interpolation,candidate_requires_human_review,16.305365,38.9856845,medium,Interpolated civic 23 between same-street anchors 19 and 28.,16.2728997,38.9692101,3351.3,CONTRADA ANNUNZIATA,23,,same_street_outlier,37,37,3526016,19,3526017,28,3526008,67,2402.4,Local ANNCSU anchor candidate only; do not apply without human review.
3526021,local_anncsu_anchor,same_street_civic_number_interpolation,candidate_requires_human_review,16.2645746,38.9454082,medium,Interpolated civic 77 between same-street anchors 75 and 81.,16.2531719,38.9245916,2516.1,CONTRADA ANNUNZIATA,77,,same_street_outlier,37,37,3526010,75,3526023,81,3526010,75,623.2,Local ANNCSU anchor candidate only; do not apply without human review.
3526022,local_anncsu_anchor,same_street_civic_number_interpolation,candidate_requires_human_review,16.2826334,38.9640819,medium,Interpolated civic 79 between same-street anchors 75 and 81.,16.3165232,38.9680609,2963.2,CONTRADA ANNUNZIATA,79,,same_street_outlier,37,37,3526010,75,3526023,81,3526007,63,1398.5,Local ANNCSU anchor candidate only; do not apply without human review.
3593842,local_anncsu_anchor,same_street_civic_number_interpolation,candidate_requires_human_review,16.3007163,38.965144,medium,Interpolated civic 8 between same-street anchors 2 and 9.,16.2895937,38.988538,2773.3,CONTRADA BENEFICIO,8,,same_street_outlier,9,9,3593833,2,3593829,9,3593829,9,2767.3,Local ANNCSU anchor candidate only; do not apply without human review.
3528313,local_anncsu_anchor,same_street_same_civic_number_anchor,candidate_requires_human_review,16.2897128,38.9885369,medium,1 same-street anchor(s) share civic number 20.,16.251427,39.004828,3772.1,CONTRADA BUCOLIA DI SOTTO,20,A,street_context_mismatch,40,40,,,,,3528326,8,163.7,Local ANNCSU anchor candidate only; do not apply without human review.
3528302,local_anncsu_anchor,same_street_same_civic_number_anchor,candidate_requires_human_review,16.2899066,38.988473,medium,2 same-street anchor(s) share civic number 56.,16.3198425,38.9806635,2729.3,CONTRADA BUCOLIA DI SOTTO,56,,same_street_outlier,40,40,,,,,3528330,114,2583.2,Local ANNCSU anchor candidate only; do not apply without human review.
3579202,local_anncsu_anchor,same_street_civic_number_interpolation,candidate_requires_human_review,16.257655,38.9683985,low,Interpolated civic 130 between same-street anchors 124 and 178.,16.25283,39.007795,4400.5,CONTRADA CANTARELLE,130,,same_street_outlier,26,26,3579201,124,3579203,178,3551169,65,338.0,Local ANNCSU anchor candidate only; do not apply without human review.
3579209,local_anncsu_anchor,same_street_civic_number_interpolation,candidate_requires_human_review,16.2529611,39.0040249,medium,Interpolated civic 83 between same-street anchors 80 and 86.,16.2592875,38.9719052,3613.2,CONTRADA CANTARELLE,83,,same_street_outlier,26,26,3579197,80,3551175,86,3579203,178,413.4,Local ANNCSU anchor candidate only; do not apply without human review.
3532859,local_anncsu_anchor,same_street_civic_number_interpolation,candidate_requires_human_review,16.257649,38.9683814,medium,Interpolated civic 35 between same-street anchors 34 and 36.,16.2591321,38.9760236,859.4,CONTRADA CARONTE,35,,same_street_outlier,68,68,3532858,34,3532860,36,3532856,28,458.1,Local ANNCSU anchor candidate only; do not apply without human review.
3532872,local_anncsu_anchor,same_street_civic_number_interpolation,candidate_requires_human_review,16.3093707,38.9812728,medium,Interpolated civic 5 between same-street anchors 4 and 6.,16.3097082,38.9836895,270.3,CONTRADA CARONTE,5,,needs_manual_coordinate_review,68,68,3532865,4,3532830,6,3532865,4,209.9,Local ANNCSU anchor candidate only; do not apply without human review.
3517116,local_anncsu_anchor,same_street_same_civic_number_anchor,candidate_requires_human_review,16.2414247,38.9856835,medium,2 same-street anchor(s) share civic number 68.,16.3277774,38.9478703,8568.2,CONTRADA CARRA' VOLPE,68,1,same_street_outlier,5,5,,,,,3515056,13,3640.3,Local ANNCSU anchor candidate only; do not apply without human review.
3517115,local_anncsu_anchor,nearest_same_street_numeric_anchor,candidate_requires_human_review,16.3240656,38.9804805,low,Only one-sided or sparse numeric same-street anchors were available.,16.2915104,38.9390382,5399.9,CONTRADA CARRA' VOLPE,70,,same_street_outlier,5,5,3517118,68,,,3515056,13,5399.9,Local ANNCSU anchor candidate only; do not apply without human review.
3515055,local_anncsu_anchor,nearest_same_street_numeric_anchor,candidate_requires_human_review,16.2414264,38.9856819,low,Only one-sided or sparse numeric same-street anchors were available.,16.2500567,38.8753757,12288.2,CONTRADA CARRA' VOLPE,81,B,same_street_outlier,5,5,3517118,68,,,3517118,68,12288.2,Local ANNCSU anchor candidate only; do not apply without human review.
3520173,local_anncsu_anchor,same_street_civic_number_interpolation,candidate_requires_human_review,16.3104878,38.9797181,medium,Interpolated civic 3 between same-street anchors 1 and 5.,16.2493873,38.8752814,12759.0,CONTRADA CASTURI,3,,same_street_outlier,27,27,3520160,1,3520177,5,3520164,111,11932.7,Local ANNCSU anchor candidate only; do not apply without human review.
3523736,local_anncsu_anchor,same_street_same_civic_number_anchor,candidate_requires_human_review,16.2828539,38.9877038,medium,1 same-street anchor(s) share civic number 16.,16.3312092,38.9711303,4568.1,CONTRADA CROZZANO INFERIORE,16,A,same_street_outlier,22,22,,,,,3523719,22,4561.1,Local ANNCSU anchor candidate only; do not apply without human review.
3523735,local_anncsu_anchor,same_street_same_civic_number_anchor,candidate_requires_human_review,16.2827535,38.9877062,medium,1 same-street anchor(s) share civic number 63.,16.3245016,38.9828973,3647.8,CONTRADA CROZZANO INFERIORE,63,A,same_street_outlier,22,22,,,,,3523719,22,3633.3,Local ANNCSU anchor candidate only; do not apply without human review.
3530600,local_anncsu_anchor,nearest_same_street_numeric_anchor,candidate_requires_human_review,16.282348,38.9899421,low,Only one-sided or sparse numeric same-street anchors were available.,16.245585,39.0134166,4111.6,CONTRADA CROZZANO SUPERIORE,9,,same_street_outlier,30,30,,,3530598,61,3530597,166,4111.6,Local ANNCSU anchor candidate only; do not apply without human review.
3530601,local_anncsu_anchor,same_street_same_civic_number_anchor,candidate_requires_human_review,16.2827353,38.9894781,medium,1 same-street anchor(s) share civic number 95.,16.2477534,39.011431,3885.5,CONTRADA CROZZANO SUPERIORE,95,,same_street_outlier,30,30,,,,,3530597,166,3827.1,Local ANNCSU anchor candidate only; do not apply without human review.
3523690,local_anncsu_anchor,same_street_civic_number_interpolation,candidate_requires_human_review,16.2487328,38.8754971,medium,Interpolated civic 16 between same-street anchors 6 and 17.,16.2748847,38.9846816,12349.7,CONTRADA FICARELLA,16,,same_street_outlier,5,5,3523696,6,3523691,17,3523691,17,12342.5,Local ANNCSU anchor candidate only; do not apply without human review.
3523695,local_anncsu_anchor,nearest_same_street_numeric_anchor,candidate_requires_human_review,16.2354937,38.876711,low,Only one-sided or sparse numeric same-street anchors were available.,16.2541053,39.0015425,13973.7,CONTRADA FICARELLA,36,,same_street_outlier,5,5,3523694,32,,,3523696,6,13973.7,Local ANNCSU anchor candidate only; do not apply without human review.
3517400,local_anncsu_anchor,nearest_same_street_numeric_anchor,candidate_requires_human_review,16.3200091,38.976621,low,Only one-sided or sparse numeric same-street anchors were available.,16.254892,39.0002016,6208.8,CONTRADA FONTANELLA,2,,street_context_mismatch,4,4,,,3517408,6,3517401,7,6208.8,Local ANNCSU anchor candidate only; do not apply without human review.
3517404,local_anncsu_anchor,nearest_same_street_numeric_anchor,candidate_requires_human_review,16.3200091,38.976621,low,Only one-sided or sparse numeric same-street anchors were available.,16.2542104,39.0019043,6343.8,CONTRADA FONTANELLA,4,,street_context_mismatch,4,4,,,3517408,6,3517401,7,6343.8,Local ANNCSU anchor candidate only; do not apply without human review.
3519818,local_anncsu_anchor,same_street_civic_number_interpolation,candidate_requires_human_review,16.274533,38.9834769,low,Interpolated civic 131 between same-street anchors 116 and 139.,16.2863236,38.982073,1031.0,CONTRADA GABELLA,131,,same_street_outlier,81,81,3519817,116,3519774,139,3519777,233,377.8,Local ANNCSU anchor candidate only; do not apply without human review.
3519778,local_anncsu_anchor,same_street_civic_number_interpolation,candidate_requires_human_review,16.2740308,38.9826273,medium,Interpolated civic 271 between same-street anchors 270 and 274.,16.291892,38.9797429,1576.8,CONTRADA GABELLA,271,,street_context_mismatch,81,81,3519831,270,3519832,274,3519828,250,135.1,Local ANNCSU anchor candidate only; do not apply without human review.
3519781,local_anncsu_anchor,same_street_same_civic_number_anchor,candidate_requires_human_review,16.3415815,38.9537039,medium,1 same-street anchor(s) share civic number 290.,16.2961929,38.982958,5097.0,CONTRADA GABELLA,290,,same_street_outlier,81,81,,,,,3519828,250,537.6,Local ANNCSU anchor candidate only; do not apply without human review.
3519783,local_anncsu_anchor,same_street_civic_number_interpolation,candidate_requires_human_review,16.307742,38.9681755,medium,Interpolated civic 301 between same-street anchors 300 and 302.,16.2932086,38.9828011,2055.0,CONTRADA GABELLA,301,,same_street_outlier,81,81,3519782,300,3519784,302,3519777,233,320.8,Local ANNCSU anchor candidate only; do not apply without human review.
3519786,local_anncsu_anchor,same_street_civic_number_interpolation,candidate_requires_human_review,16.273993,38.9826697,medium,Interpolated civic 303 between same-street anchors 302 and 304.,16.2949727,38.9851065,1833.5,CONTRADA GABELLA,303,,same_street_outlier,81,81,3519785,302,3519787,304,3519777,233,611.6,Local ANNCSU anchor candidate only; do not apply without human review.
