review_rank,access_id,address_label,coordinate_quality_flag,source_diagnosis,source_lon,source_lat,candidate_lon,candidate_lat,candidate_source,candidate_method,candidate_confidence,movement_from_source_m,evidence_agreement,review_track,workbench_filter,worksheet_reviewer_action,review_status,required_reviewer_fields,acceptance_rule,post_review_command
1,3520443,VIA DEI BIZANTINI 195 B,same_street_outlier,suspect_coordinate_present_in_original_anncsu_raw,16.2952975,38.9622472,16.3040313,38.9521376,local_anncsu_anchor,same_street_same_civic_number_anchor,medium,1354.2,local_anchor_only,review_medium_local_anchor,access_id:3520443,blank,awaiting_human_review,reviewer_action;coordinate_decision_confidence;reviewed_by;review_date;coordinate_reason,"Accept only after workbench inspection confirms ANNCSU label, same-street anchor context, and no visible contradiction.",python scripts/build_anncsu_coordinate_decisions_from_worksheet.py
2,3519808,CONTRADA GABELLA 45,same_street_outlier,suspect_coordinate_present_in_original_anncsu_raw,16.2455054,38.9976349,16.2744573,38.9825926,local_anncsu_anchor,same_street_same_civic_number_anchor,medium,3009.8,local_anchor_only,review_medium_local_anchor,access_id:3519808,blank,awaiting_human_review,reviewer_action;coordinate_decision_confidence;reviewed_by;review_date;coordinate_reason,"Accept only after workbench inspection confirms ANNCSU label, same-street anchor context, and no visible contradiction.",python scripts/build_anncsu_coordinate_decisions_from_worksheet.py
3,3519781,CONTRADA GABELLA 290,same_street_outlier,suspect_coordinate_present_in_original_anncsu_raw,16.2961929,38.982958,16.3415815,38.9537039,local_anncsu_anchor,same_street_same_civic_number_anchor,medium,5097.0,local_anchor_only,review_medium_local_anchor,access_id:3519781,blank,awaiting_human_review,reviewer_action;coordinate_decision_confidence;reviewed_by;review_date;coordinate_reason,"Accept only after workbench inspection confirms ANNCSU label, same-street anchor context, and no visible contradiction.",python scripts/build_anncsu_coordinate_decisions_from_worksheet.py
4,3535225,VIA ALDO MORO 40 S,same_street_outlier,suspect_coordinate_present_in_original_anncsu_raw,16.2800975,38.9650842,16.3348419,38.9487546,local_anncsu_anchor,same_street_same_civic_number_anchor,medium,5069.9,local_geocoder_conflict_over_500m,review_medium_local_anchor,access_id:3535225,blank,awaiting_human_review,reviewer_action;coordinate_decision_confidence;reviewed_by;review_date;coordinate_reason,"Accept only after workbench inspection confirms ANNCSU label, same-street anchor context, and no visible contradiction.",python scripts/build_anncsu_coordinate_decisions_from_worksheet.py
5,3526951,VIA BERNARDINO TELESIO 17 A,same_street_outlier,suspect_coordinate_present_in_original_anncsu_raw,16.2862562,38.9537183,16.2828543,38.9647079,local_anncsu_anchor,same_street_same_civic_number_anchor,medium,1256.9,local_anchor_only,review_medium_local_anchor,access_id:3526951,blank,awaiting_human_review,reviewer_action;coordinate_decision_confidence;reviewed_by;review_date;coordinate_reason,"Accept only after workbench inspection confirms ANNCSU label, same-street anchor context, and no visible contradiction.",python scripts/build_anncsu_coordinate_decisions_from_worksheet.py
6,3526973,VIA BERNARDINO TELESIO 54 C,same_street_outlier,suspect_coordinate_present_in_original_anncsu_raw,16.3244652,38.9828775,16.2829723,38.9642488,local_anncsu_anchor,same_street_same_civic_number_anchor,medium,4142.1,local_anchor_only,review_medium_local_anchor,access_id:3526973,blank,awaiting_human_review,reviewer_action;coordinate_decision_confidence;reviewed_by;review_date;coordinate_reason,"Accept only after workbench inspection confirms ANNCSU label, same-street anchor context, and no visible contradiction.",python scripts/build_anncsu_coordinate_decisions_from_worksheet.py
7,3572084,CORSO NUMISTRANO 37 B,same_street_outlier,suspect_coordinate_present_in_original_anncsu_raw,16.2588338,38.9582774,16.319956,38.9755782,local_anncsu_anchor,same_street_same_civic_number_anchor,medium,5623.6,local_anchor_only,review_medium_local_anchor,access_id:3572084,blank,awaiting_human_review,reviewer_action;coordinate_decision_confidence;reviewed_by;review_date;coordinate_reason,"Accept only after workbench inspection confirms ANNCSU label, same-street anchor context, and no visible contradiction.",python scripts/build_anncsu_coordinate_decisions_from_worksheet.py
8,3529347,VIA ANTONELLO DA MESSINA 54,same_street_outlier,suspect_coordinate_present_in_original_anncsu_raw,16.24053,38.9909267,16.2807241,38.9688659,local_anncsu_anchor,same_street_same_civic_number_anchor,medium,4253.1,local_geocoder_conflict_over_500m,review_medium_local_anchor,access_id:3529347,blank,awaiting_human_review,reviewer_action;coordinate_decision_confidence;reviewed_by;review_date;coordinate_reason,"Accept only after workbench inspection confirms ANNCSU label, same-street anchor context, and no visible contradiction.",python scripts/build_anncsu_coordinate_decisions_from_worksheet.py
9,3524776,VIA ANTONIO DE MEDICI 15 B,same_street_outlier,suspect_coordinate_present_in_original_anncsu_raw,16.3051329,38.956494,16.3070765,38.9720792,local_anncsu_anchor,same_street_same_civic_number_anchor,medium,1741.1,local_anchor_only,review_medium_local_anchor,access_id:3524776,blank,awaiting_human_review,reviewer_action;coordinate_decision_confidence;reviewed_by;review_date;coordinate_reason,"Accept only after workbench inspection confirms ANNCSU label, same-street anchor context, and no visible contradiction.",python scripts/build_anncsu_coordinate_decisions_from_worksheet.py
10,3528302,CONTRADA BUCOLIA DI SOTTO 56,same_street_outlier,suspect_coordinate_present_in_original_anncsu_raw,16.3198425,38.9806635,16.2899066,38.988473,local_anncsu_anchor,same_street_same_civic_number_anchor,medium,2729.3,local_anchor_only,review_medium_local_anchor,access_id:3528302,blank,awaiting_human_review,reviewer_action;coordinate_decision_confidence;reviewed_by;review_date;coordinate_reason,"Accept only after workbench inspection confirms ANNCSU label, same-street anchor context, and no visible contradiction.",python scripts/build_anncsu_coordinate_decisions_from_worksheet.py
