review_rank,access_id,street,civico,esponente,coordinate_quality_flag,source_diagnosis,recovery_action,source_lon,source_lat,local_candidate_status,local_candidate_method,local_candidate_confidence,local_candidate_lon,local_candidate_lat,local_distance_from_source_m,local_anchor_count,local_candidate_explanation,geocode_candidate_status,geocode_provider,geocode_provider_confidence,geocode_query_variant,geocode_candidate_has_house_number,geocode_lon,geocode_lat,geocode_distance_from_source_m,geocode_display_name,local_geocode_distance_m,evidence_agreement,recommended_review_track,recommended_candidate_source,review_candidate_lon,review_candidate_lat,decision_readiness,suggested_workbench_filter,reviewer_instruction,notes
1,3520443,VIA DEI BIZANTINI,195,B,same_street_outlier,suspect_coordinate_present_in_original_anncsu_raw,external_geocode_candidate_plus_human_review,16.2952975,38.9622472,candidate_requires_human_review,same_street_same_civic_number_anchor,medium,16.3040313,38.9521376,1354.2,357,6 same-street anchor(s) share civic number 195.,,,,,,,,,,,local_anchor_only,review_medium_local_anchor,local_anncsu_anchor,16.3040313,38.9521376,manual_review_ready,access_id:3520443,Open the access_id in the workbench and review the medium-confidence same-street ANNCSU anchor before exporting a manual override.,Do not apply without human confirmation.
2,3519808,CONTRADA GABELLA,45,,same_street_outlier,suspect_coordinate_present_in_original_anncsu_raw,external_geocode_candidate_plus_human_review,16.2455054,38.9976349,candidate_requires_human_review,same_street_same_civic_number_anchor,medium,16.2744573,38.9825926,3009.8,81,1 same-street anchor(s) share civic number 45.,,,,,,,,,,,local_anchor_only,review_medium_local_anchor,local_anncsu_anchor,16.2744573,38.9825926,manual_review_ready,access_id:3519808,Open the access_id in the workbench and review the medium-confidence same-street ANNCSU anchor before exporting a manual override.,Do not apply without human confirmation.
3,3519781,CONTRADA GABELLA,290,,same_street_outlier,suspect_coordinate_present_in_original_anncsu_raw,external_geocode_candidate_plus_human_review,16.2961929,38.982958,candidate_requires_human_review,same_street_same_civic_number_anchor,medium,16.3415815,38.9537039,5097.0,81,1 same-street anchor(s) share civic number 290.,,,,,,,,,,,local_anchor_only,review_medium_local_anchor,local_anncsu_anchor,16.3415815,38.9537039,manual_review_ready,access_id:3519781,Open the access_id in the workbench and review the medium-confidence same-street ANNCSU anchor before exporting a manual override.,Do not apply without human confirmation.
4,3535225,VIA ALDO MORO,40,S,same_street_outlier,suspect_coordinate_present_in_original_anncsu_raw,external_geocode_candidate_plus_human_review,16.2800975,38.9650842,candidate_requires_human_review,same_street_same_civic_number_anchor,medium,16.3348419,38.9487546,5069.9,68,15 same-street anchor(s) share civic number 40.,candidate_requires_human_review,nominatim,low_street_level,exact_civic,false,16.3101938,38.9690244,2638.6,"Via Aldo Moro, Lamezia Terme, Catanzaro, Calabria, 88046, Italia",3101.9,local_geocoder_conflict_over_500m,review_medium_local_anchor,local_anncsu_anchor,16.3348419,38.9487546,manual_review_ready,access_id:3535225,Open the access_id in the workbench and review the medium-confidence same-street ANNCSU anchor before exporting a manual override.,Do not apply without human confirmation.
5,3526951,VIA BERNARDINO TELESIO,17,A,same_street_outlier,suspect_coordinate_present_in_original_anncsu_raw,external_geocode_candidate_plus_human_review,16.2862562,38.9537183,candidate_requires_human_review,same_street_same_civic_number_anchor,medium,16.2828543,38.9647079,1256.9,57,1 same-street anchor(s) share civic number 17.,,,,,,,,,,,local_anchor_only,review_medium_local_anchor,local_anncsu_anchor,16.2828543,38.9647079,manual_review_ready,access_id:3526951,Open the access_id in the workbench and review the medium-confidence same-street ANNCSU anchor before exporting a manual override.,Do not apply without human confirmation.
6,3526973,VIA BERNARDINO TELESIO,54,C,same_street_outlier,suspect_coordinate_present_in_original_anncsu_raw,external_geocode_candidate_plus_human_review,16.3244652,38.9828775,candidate_requires_human_review,same_street_same_civic_number_anchor,medium,16.2829723,38.9642488,4142.1,57,4 same-street anchor(s) share civic number 54.,,,,,,,,,,,local_anchor_only,review_medium_local_anchor,local_anncsu_anchor,16.2829723,38.9642488,manual_review_ready,access_id:3526973,Open the access_id in the workbench and review the medium-confidence same-street ANNCSU anchor before exporting a manual override.,Do not apply without human confirmation.
7,3572084,CORSO NUMISTRANO,37,B,same_street_outlier,suspect_coordinate_present_in_original_anncsu_raw,external_geocode_candidate_plus_human_review,16.2588338,38.9582774,candidate_requires_human_review,same_street_same_civic_number_anchor,medium,16.319956,38.9755782,5623.6,53,1 same-street anchor(s) share civic number 37.,,,,,,,,,,,local_anchor_only,review_medium_local_anchor,local_anncsu_anchor,16.319956,38.9755782,manual_review_ready,access_id:3572084,Open the access_id in the workbench and review the medium-confidence same-street ANNCSU anchor before exporting a manual override.,Do not apply without human confirmation.
8,3529347,VIA ANTONELLO DA MESSINA,54,,same_street_outlier,suspect_coordinate_present_in_original_anncsu_raw,external_geocode_candidate_plus_human_review,16.24053,38.9909267,candidate_requires_human_review,same_street_same_civic_number_anchor,medium,16.2807241,38.9688659,4253.1,50,1 same-street anchor(s) share civic number 54.,candidate_requires_human_review,nominatim,low_street_level,exact_civic,false,16.2831627,38.9549091,5442.7,"Via Antonello da Messina, Sambiase, Lamezia Terme, Catanzaro, Calabria, 88046, Italia",1566.2,local_geocoder_conflict_over_500m,review_medium_local_anchor,local_anncsu_anchor,16.2807241,38.9688659,manual_review_ready,access_id:3529347,Open the access_id in the workbench and review the medium-confidence same-street ANNCSU anchor before exporting a manual override.,Do not apply without human confirmation.
9,3524776,VIA ANTONIO DE MEDICI,15,B,same_street_outlier,suspect_coordinate_present_in_original_anncsu_raw,external_geocode_candidate_plus_human_review,16.3051329,38.956494,candidate_requires_human_review,same_street_same_civic_number_anchor,medium,16.3070765,38.9720792,1741.1,45,2 same-street anchor(s) share civic number 15.,no_candidate_returned,nominatim,,all_variants,,,,,,,local_anchor_only,review_medium_local_anchor,local_anncsu_anchor,16.3070765,38.9720792,manual_review_ready,access_id:3524776,Open the access_id in the workbench and review the medium-confidence same-street ANNCSU anchor before exporting a manual override.,Do not apply without human confirmation.
10,3528302,CONTRADA BUCOLIA DI SOTTO,56,,same_street_outlier,suspect_coordinate_present_in_original_anncsu_raw,external_geocode_candidate_plus_human_review,16.3198425,38.9806635,candidate_requires_human_review,same_street_same_civic_number_anchor,medium,16.2899066,38.988473,2729.3,40,2 same-street anchor(s) share civic number 56.,,,,,,,,,,,local_anchor_only,review_medium_local_anchor,local_anncsu_anchor,16.2899066,38.988473,manual_review_ready,access_id:3528302,Open the access_id in the workbench and review the medium-confidence same-street ANNCSU anchor before exporting a manual override.,Do not apply without human confirmation.
