review_rank,access_id,street,civico,esponente,coordinate_quality_flag,source_diagnosis,source_lon,source_lat,recommended_candidate_source,review_candidate_lon,review_candidate_lat,recommended_review_track,decision_readiness,evidence_agreement,local_candidate_method,local_candidate_confidence,local_distance_from_source_m,geocode_provider_confidence,geocode_distance_from_source_m,local_geocode_distance_m,reviewer_action,reviewer_lon,reviewer_lat,coordinate_decision_confidence,reviewed_by,review_date,coordinate_reason,reviewer_notes,audit_expected_status
1,3520443,VIA DEI BIZANTINI,195,B,same_street_outlier,suspect_coordinate_present_in_original_anncsu_raw,16.2952975,38.9622472,local_anncsu_anchor,16.3040313,38.9521376,review_medium_local_anchor,manual_review_ready,local_anchor_only,same_street_same_civic_number_anchor,medium,1354.2,,,,,,,,,,,,not_reviewed
2,3519808,CONTRADA GABELLA,45,,same_street_outlier,suspect_coordinate_present_in_original_anncsu_raw,16.2455054,38.9976349,local_anncsu_anchor,16.2744573,38.9825926,review_medium_local_anchor,manual_review_ready,local_anchor_only,same_street_same_civic_number_anchor,medium,3009.8,,,,,,,,,,,,not_reviewed
3,3519781,CONTRADA GABELLA,290,,same_street_outlier,suspect_coordinate_present_in_original_anncsu_raw,16.2961929,38.982958,local_anncsu_anchor,16.3415815,38.9537039,review_medium_local_anchor,manual_review_ready,local_anchor_only,same_street_same_civic_number_anchor,medium,5097.0,,,,,,,,,,,,not_reviewed
4,3535225,VIA ALDO MORO,40,S,same_street_outlier,suspect_coordinate_present_in_original_anncsu_raw,16.2800975,38.9650842,local_anncsu_anchor,16.3348419,38.9487546,review_medium_local_anchor,manual_review_ready,local_anchor_only,same_street_same_civic_number_anchor,medium,5069.9,,,,,,,,,,,,not_reviewed
5,3526951,VIA BERNARDINO TELESIO,17,A,same_street_outlier,suspect_coordinate_present_in_original_anncsu_raw,16.2862562,38.9537183,local_anncsu_anchor,16.2828543,38.9647079,review_medium_local_anchor,manual_review_ready,local_anchor_only,same_street_same_civic_number_anchor,medium,1256.9,,,,,,,,,,,,not_reviewed
6,3526973,VIA BERNARDINO TELESIO,54,C,same_street_outlier,suspect_coordinate_present_in_original_anncsu_raw,16.3244652,38.9828775,local_anncsu_anchor,16.2829723,38.9642488,review_medium_local_anchor,manual_review_ready,local_anchor_only,same_street_same_civic_number_anchor,medium,4142.1,,,,,,,,,,,,not_reviewed
7,3572084,CORSO NUMISTRANO,37,B,same_street_outlier,suspect_coordinate_present_in_original_anncsu_raw,16.2588338,38.9582774,local_anncsu_anchor,16.319956,38.9755782,review_medium_local_anchor,manual_review_ready,local_anchor_only,same_street_same_civic_number_anchor,medium,5623.6,,,,,,,,,,,,not_reviewed
8,3529347,VIA ANTONELLO DA MESSINA,54,,same_street_outlier,suspect_coordinate_present_in_original_anncsu_raw,16.24053,38.9909267,local_anncsu_anchor,16.2807241,38.9688659,review_medium_local_anchor,manual_review_ready,local_anchor_only,same_street_same_civic_number_anchor,medium,4253.1,,,,,,,,,,,,not_reviewed
9,3524776,VIA ANTONIO DE MEDICI,15,B,same_street_outlier,suspect_coordinate_present_in_original_anncsu_raw,16.3051329,38.956494,local_anncsu_anchor,16.3070765,38.9720792,review_medium_local_anchor,manual_review_ready,local_anchor_only,same_street_same_civic_number_anchor,medium,1741.1,,,,,,,,,,,,not_reviewed
10,3528302,CONTRADA BUCOLIA DI SOTTO,56,,same_street_outlier,suspect_coordinate_present_in_original_anncsu_raw,16.3198425,38.9806635,local_anncsu_anchor,16.2899066,38.988473,review_medium_local_anchor,manual_review_ready,local_anchor_only,same_street_same_civic_number_anchor,medium,2729.3,,,,,,,,,,,,not_reviewed
11,3562717,VIA STATTI VIGNOLA,31,A,same_street_outlier,suspect_coordinate_present_in_original_anncsu_raw,16.3227753,38.979608,local_anncsu_anchor,16.3228291,38.9731513,review_medium_local_anchor,manual_review_ready,local_anchor_only,same_street_same_civic_number_anchor,medium,718.0,,,,,,,,,,,,not_reviewed
12,3537393,VIA TIMAVO,13,A,same_street_outlier,suspect_coordinate_present_in_original_anncsu_raw,16.3181308,38.9739601,local_anncsu_anchor,16.3209243,38.9677332,review_medium_local_anchor,manual_review_ready,local_anchor_only,same_street_same_civic_number_anchor,medium,733.3,,,,,,,,,,,,not_reviewed
13,3524034,VIA DELLE ROSE,29,,same_street_outlier,suspect_coordinate_present_in_original_anncsu_raw,16.2840951,38.957373,local_anncsu_anchor,16.2824492,38.9681481,review_medium_local_anchor,manual_review_ready,local_anchor_only,same_street_same_civic_number_anchor,medium,1206.6,,,,,,,,,,,,not_reviewed
14,3565191,VIA GIOVANNI VENTITREESIMO,22,A,same_street_outlier,suspect_coordinate_present_in_original_anncsu_raw,16.2833685,38.9650263,local_anncsu_anchor,16.2512812,38.9209753,review_medium_local_anchor,manual_review_ready,local_anchor_only,same_street_same_civic_number_anchor,medium,5629.7,,,,,,,,,,,,not_reviewed
15,3530601,CONTRADA CROZZANO SUPERIORE,95,,same_street_outlier,suspect_coordinate_present_in_original_anncsu_raw,16.2477534,39.011431,local_anncsu_anchor,16.2827353,38.9894781,review_medium_local_anchor,manual_review_ready,local_anchor_only,same_street_same_civic_number_anchor,medium,3885.5,,,,,,,,,,,,not_reviewed
16,3527420,VIA BENEVENTO,1,,same_street_outlier,suspect_coordinate_present_in_original_anncsu_raw,16.323683,38.9797647,local_anncsu_anchor,16.3194304,38.9608928,review_medium_local_anchor,manual_review_ready,local_anchor_only,same_street_same_civic_number_anchor,medium,2130.4,,,,,,,,,,,,not_reviewed
17,3527426,VIA BENEVENTO,1,C,same_street_outlier,suspect_coordinate_present_in_original_anncsu_raw,16.2864423,38.959954,local_anncsu_anchor,16.3194304,38.9608928,review_medium_local_anchor,manual_review_ready,local_anchor_only,same_street_same_civic_number_anchor,medium,2854.2,,,,,,,,,,,,not_reviewed
18,3513809,VIA FRANCESCO COSTABILE,12,,same_street_outlier,suspect_coordinate_present_in_original_anncsu_raw,16.2870397,38.9655834,local_anncsu_anchor,16.2797234,38.9651556,review_medium_local_anchor,manual_review_ready,local_anchor_only,same_street_same_civic_number_anchor,medium,634.3,,,,,,,,,,,,not_reviewed
19,3523735,CONTRADA CROZZANO INFERIORE,63,A,same_street_outlier,suspect_coordinate_present_in_original_anncsu_raw,16.3245016,38.9828973,local_anncsu_anchor,16.2827535,38.9877062,review_medium_local_anchor,manual_review_ready,local_anchor_only,same_street_same_civic_number_anchor,medium,3647.8,,,,,,,,,,,,not_reviewed
20,3523736,CONTRADA CROZZANO INFERIORE,16,A,same_street_outlier,suspect_coordinate_present_in_original_anncsu_raw,16.3312092,38.9711303,local_anncsu_anchor,16.2828539,38.9877038,review_medium_local_anchor,manual_review_ready,local_anchor_only,same_street_same_civic_number_anchor,medium,4568.1,,,,,,,,,,,,not_reviewed
