access_id,odonimo_raw,localita,civico,esponente,coord_x,coord_y,section_number,assignment_method,coordinate_quality_flag,coordinate_suspect_reason,same_street_neighbour_count,distance_to_same_street_cluster_m,distance_to_nearest_same_street_m,nearest_validated_street_context,nearest_validated_street_context_count,distance_to_nearest_different_street_m,census_cell_id,suggested_action,notes
3514824,CONTRADA AGLI,,18,,"16,3030348","38,9905196",30,normalized_street_exact,outside_boundary,outside municipal boundary candidate by 146.0 m; 3559.2 m from same-street cluster centroid; nearest same-street civic is 808.2 m away; progressive civic-number neighbour is 4032.2 m away,0,3559.2,808.2,,0,,,review_coordinate_before_geometry,Coordinate suspect is a geometry-quality signal only; do not modify ANNCSU raw.
3526015,CONTRADA ANNUNZIATA,,105,,"16,3030348","38,9905196",24,normalized_street_exact,outside_boundary,outside municipal boundary candidate by 146.0 m; progressive civic-number neighbour is 877.0 m away,0,1636.7,419.4,,0,,,review_coordinate_before_geometry,Coordinate suspect is a geometry-quality signal only; do not modify ANNCSU raw.
3530569,CONTRADA CARIA,,399,,"16,2694107","39,0114007",46,normalized_street_exact,outside_boundary,outside municipal boundary candidate by 34.0 m,12,2.3,1.4,,0,,,review_coordinate_before_geometry,Coordinate suspect is a geometry-quality signal only; do not modify ANNCSU raw.
3530575,CONTRADA CARIA,,454,,"16,2694688","39,0114865",46,normalized_street_exact,outside_boundary,outside municipal boundary candidate by 38.8 m,12,8.7,1.8,,0,,,review_coordinate_before_geometry,Coordinate suspect is a geometry-quality signal only; do not modify ANNCSU raw.
3530570,CONTRADA CARIA,,458,,"16,2693914","39,011439",46,normalized_street_exact,outside_boundary,outside municipal boundary candidate by 32.2 m,12,4.6,1.6,,0,,,review_coordinate_before_geometry,Coordinate suspect is a geometry-quality signal only; do not modify ANNCSU raw.
3530576,CONTRADA CARIA,,459,,"16,2693627","39,0113623",46,normalized_street_exact,outside_boundary,outside municipal boundary candidate by 29.9 m,12,8.2,2.4,,0,,,review_coordinate_before_geometry,Coordinate suspect is a geometry-quality signal only; do not modify ANNCSU raw.
3530579,CONTRADA CARIA,,461,,"16,2694732","39,0113295",46,normalized_street_exact,outside_boundary,outside municipal boundary candidate by 39.5 m,12,9.9,4.8,,0,,,review_coordinate_before_geometry,Coordinate suspect is a geometry-quality signal only; do not modify ANNCSU raw.
3530577,CONTRADA CARIA,,469,,"16,269475","39,0114526",46,normalized_street_exact,outside_boundary,outside municipal boundary candidate by 39.4 m,12,5.7,3.8,,0,,,review_coordinate_before_geometry,Coordinate suspect is a geometry-quality signal only; do not modify ANNCSU raw.
3530578,CONTRADA CARIA,,473,,"16,2693473","39,0114624",46,normalized_street_exact,outside_boundary,outside municipal boundary candidate by 28.4 m,12,9.2,4.6,,0,,,review_coordinate_before_geometry,Coordinate suspect is a geometry-quality signal only; do not modify ANNCSU raw.
3530580,CONTRADA CARIA,,484,,"16,2695014","39,011292",46,normalized_street_exact,outside_boundary,outside municipal boundary candidate by 42.0 m,12,14.7,4.8,,0,,,review_coordinate_before_geometry,Coordinate suspect is a geometry-quality signal only; do not modify ANNCSU raw.
3530571,CONTRADA CARIA,,498,,"16,2693906","39,0113626",46,normalized_street_exact,outside_boundary,outside municipal boundary candidate by 32.3 m,12,6.7,2.4,,0,,,review_coordinate_before_geometry,Coordinate suspect is a geometry-quality signal only; do not modify ANNCSU raw.
3530581,CONTRADA CARIA,,501,,"16,269448","39,0114854",46,normalized_street_exact,outside_boundary,outside municipal boundary candidate by 37.0 m,12,8.1,1.8,,0,,,review_coordinate_before_geometry,Coordinate suspect is a geometry-quality signal only; do not modify ANNCSU raw.
3530572,CONTRADA CARIA,,512,,"16,2695206","39,0114536",46,normalized_street_exact,outside_boundary,outside municipal boundary candidate by 43.4 m,12,8.9,4.0,,0,,,review_coordinate_before_geometry,Coordinate suspect is a geometry-quality signal only; do not modify ANNCSU raw.
3530573,CONTRADA CARIA,,518,,"16,2694199","39,0114106",46,normalized_street_exact,outside_boundary,outside municipal boundary candidate by 34.7 m,12,1.1,1.4,,0,,,review_coordinate_before_geometry,Coordinate suspect is a geometry-quality signal only; do not modify ANNCSU raw.
3530574,CONTRADA CARIA,,93,,"16,2694076","39,0114326",46,normalized_street_exact,outside_boundary,outside municipal boundary candidate by 33.6 m,12,3.0,1.6,,0,,,review_coordinate_before_geometry,Coordinate suspect is a geometry-quality signal only; do not modify ANNCSU raw.
3527350,CONTRADA ACQUADAUZANO,,72,,"16,270801","38,9968413",46,normalized_street_exact,same_street_outlier,nearest same-street civic is 538.5 m away; progressive civic-number neighbour is 541.7 m away,0,390.7,538.5,,0,,0791600000174,exclude_from_future_geometry_until_reviewed,Coordinate suspect is a geometry-quality signal only; do not modify ANNCSU raw.
3514822,CONTRADA AGLI,,60,,"16,3063895","38,9837248",30,normalized_street_exact,same_street_outlier,3030.7 m from same-street cluster centroid; nearest same-street civic is 808.2 m away; rare census-cell placement for same-street civics; progressive civic-number neighbour is 3492.7 m away,0,3030.7,808.2,CONTRADA ANNUNZIATA,1,0.0,0791600000342,exclude_from_future_geometry_until_reviewed,Coordinate suspect is a geometry-quality signal only; do not modify ANNCSU raw.
3525993,CONTRADA ANNUNZIATA,,23,,"16,2728997","38,9692101",24,normalized_street_exact,same_street_outlier,nearest same-street civic is 2407.0 m away; progressive civic-number neighbour is 3322.9 m away,0,2260.8,2407.0,CONTRADA ANZARO,1,0.0,0791600000344,exclude_from_future_geometry_until_reviewed,Coordinate suspect is a geometry-quality signal only; do not modify ANNCSU raw.
3526021,CONTRADA ANNUNZIATA,,77,,"16,2531719","38,9245916",24,normalized_street_exact,same_street_outlier,6911.6 m from same-street cluster centroid; nearest same-street civic is 624.1 m away; progressive civic-number neighbour is 624.1 m away,0,6911.6,624.1,CONTRADA BOSCO AMATELLO,1,0.0,0791600000386,exclude_from_future_geometry_until_reviewed,Coordinate suspect is a geometry-quality signal only; do not modify ANNCSU raw.
3526022,CONTRADA ANNUNZIATA,,79,,"16,3165232","38,9680609",24,normalized_street_exact,same_street_outlier,nearest same-street civic is 1400.9 m away; progressive civic-number neighbour is 2131.0 m away,0,1911.0,1400.9,VIA DEI SANNITI,7,0.0,0791600000025,exclude_from_future_geometry_until_reviewed,Coordinate suspect is a geometry-quality signal only; do not modify ANNCSU raw.
3593842,CONTRADA BENEFICIO,,8,,"16,2895937","38,988538",20,normalized_street_exact,same_street_outlier,2576.3 m from same-street cluster centroid; nearest same-street civic is 2763.5 m away; rare census-cell placement for same-street civics; point is near validated ANNCSU civics labelled CONTRADA BUCOLIA DI SOTTO (22 of nearby context within 120 m); progressive civic-number neighbour is 2763.5 m away,0,2576.3,2763.5,CONTRADA BUCOLIA DI SOTTO,22,0.0,0791600000170,exclude_from_future_geometry_until_reviewed,Coordinate suspect is a geometry-quality signal only; do not modify ANNCSU raw.
3528302,CONTRADA BUCOLIA DI SOTTO,,56,,"16,3198425","38,9806635",,,same_street_outlier,3104.8 m from same-street cluster centroid; nearest same-street civic is 2588.2 m away; progressive civic-number neighbour is 2676.2 m away,0,3104.8,2588.2,VIA CAPITOLO,1,0.0,0791600000342,exclude_from_future_geometry_until_reviewed,Coordinate suspect is a geometry-quality signal only; do not modify ANNCSU raw.
3579202,CONTRADA CANTARELLE,,130,,"16,25283","39,007795",48,normalized_street_exact,same_street_outlier,progressive civic-number neighbour is 4391.2 m away,0,1476.2,337.6,CONTRADA BUCOLIA DI SOTTO,2,0.0,0791600000337,exclude_from_future_geometry_until_reviewed,Coordinate suspect is a geometry-quality signal only; do not modify ANNCSU raw.
3579209,CONTRADA CANTARELLE,,83,,"16,2592875","38,9719052",48,normalized_street_exact,same_street_outlier,progressive civic-number neighbour is 3543.3 m away,0,2560.9,412.8,CONTRADA CARONTE,1,0.0,0791600000161,exclude_from_future_geometry_until_reviewed,Coordinate suspect is a geometry-quality signal only; do not modify ANNCSU raw.
3532859,CONTRADA CARONTE,,35,,"16,2591321","38,9760236",50,normalized_street_exact,same_street_outlier,progressive civic-number neighbour is 857.5 m away,0,809.7,457.3,CONTRADA CANTARELLE,1,0.0,0791600000344,exclude_from_future_geometry_until_reviewed,Coordinate suspect is a geometry-quality signal only; do not modify ANNCSU raw.
3517116,CONTRADA CARRA' VOLPE,,68,1,"16,3277774","38,9478703",62,normalized_street_exact,same_street_outlier,nearest same-street civic is 3292.7 m away; progressive civic-number neighbour is 3633.6 m away,0,3469.2,3292.7,,0,,0791600000134,exclude_from_future_geometry_until_reviewed,Coordinate suspect is a geometry-quality signal only; do not modify ANNCSU raw.
3517115,CONTRADA CARRA' VOLPE,,70,,"16,2915104","38,9390382",62,normalized_street_exact,same_street_outlier,nearest same-street civic is 3292.7 m away; progressive civic-number neighbour is 6755.3 m away,0,2262.3,3292.7,,0,,0791600000113,exclude_from_future_geometry_until_reviewed,Coordinate suspect is a geometry-quality signal only; do not modify ANNCSU raw.
3515055,CONTRADA CARRA' VOLPE,,81,B,"16,2500567","38,8753757",62,normalized_street_exact,same_street_outlier,nearest same-street civic is 7927.5 m away; progressive civic-number neighbour is 7927.5 m away,0,9966.1,7927.5,,0,,0791600000076,exclude_from_future_geometry_until_reviewed,Coordinate suspect is a geometry-quality signal only; do not modify ANNCSU raw.
3520173,CONTRADA CASTURI,,3,,"16,2493873","38,8752814",24,normalized_street_exact,same_street_outlier,12160.7 m from same-street cluster centroid; nearest same-street civic is 11911.8 m away; progressive civic-number neighbour is 12647.3 m away,0,12160.7,11911.8,CONTRADA FICARELLA,2,0.0,0791600000076,exclude_from_future_geometry_until_reviewed,Coordinate suspect is a geometry-quality signal only; do not modify ANNCSU raw.
3523736,CONTRADA CROZZANO INFERIORE,,16,A,"16,3312092","38,9711303",66,spatially_resolved_candidate,same_street_outlier,4264.0 m from same-street cluster centroid; nearest same-street civic is 1429.5 m away; rare census-cell placement for same-street civics; point is near validated ANNCSU civics labelled CONTRADA GACCIA (22 of nearby context within 120 m); progressive civic-number neighbour is 4568.2 m away,0,4264.0,1429.5,CONTRADA GACCIA,22,0.0,0791600000346,exclude_from_future_geometry_until_reviewed,Coordinate suspect is a geometry-quality signal only; do not modify ANNCSU raw.
3523735,CONTRADA CROZZANO INFERIORE,,63,A,"16,3245016","38,9828973",,,same_street_outlier,3326.2 m from same-street cluster centroid; nearest same-street civic is 1429.5 m away; rare census-cell placement for same-street civics; progressive civic-number neighbour is 3655.5 m away,0,3326.2,1429.5,VIA SILA,24,0.0,0791600000001,exclude_from_future_geometry_until_reviewed,Coordinate suspect is a geometry-quality signal only; do not modify ANNCSU raw.
3530600,CONTRADA CROZZANO SUPERIORE,,9,,"16,245585","39,0134166",,,same_street_outlier,progressive civic-number neighbour is 4121.1 m away,0,5737.4,289.5,CONTRADA GUERRIERI SERRA,1,0.0,0791600000337,exclude_from_future_geometry_until_reviewed,Coordinate suspect is a geometry-quality signal only; do not modify ANNCSU raw.
3530601,CONTRADA CROZZANO SUPERIORE,,95,,"16,2477534","39,011431",,,same_street_outlier,progressive civic-number neighbour is 3830.2 m away,0,5450.9,289.5,CONTRADA MITOIO,1,0.0,0791600000207,exclude_from_future_geometry_until_reviewed,Coordinate suspect is a geometry-quality signal only; do not modify ANNCSU raw.
3523690,CONTRADA FICARELLA,SAN PIETRO LAMETINO,16,,"16,2748847","38,9846816",,,same_street_outlier,nearest same-street civic is 2596.4 m away; point is near validated ANNCSU civics labelled CONTRADA MATACCA (8 of nearby context within 120 m); progressive civic-number neighbour is 12320.9 m away,0,8663.2,2596.4,CONTRADA MATACCA,8,0.0,0791600000163,exclude_from_future_geometry_until_reviewed,Coordinate suspect is a geometry-quality signal only; do not modify ANNCSU raw.
3523695,CONTRADA FICARELLA,SAN PIETRO LAMETINO,36,,"16,2541053","39,0015425",48,spatially_resolved_candidate,same_street_outlier,nearest same-street civic is 2596.4 m away; point is near validated ANNCSU civics labelled CONTRADA MIGLIERINA (7 of nearby context within 120 m); progressive civic-number neighbour is 13967.0 m away,0,10225.8,2596.4,CONTRADA MIGLIERINA,7,0.0,0791600000194,exclude_from_future_geometry_until_reviewed,Coordinate suspect is a geometry-quality signal only; do not modify ANNCSU raw.
3519818,CONTRADA GABELLA,,131,,"16,2863236","38,982073",,,same_street_outlier,point is near validated ANNCSU civics labelled CONTRADA MURETTO (5 of nearby context within 120 m); progressive civic-number neighbour is 1014.5 m away,0,1598.7,378.5,CONTRADA MURETTO,5,71.4,0791600000339,exclude_from_future_geometry_until_reviewed,Coordinate suspect is a geometry-quality signal only; do not modify ANNCSU raw.
3519781,CONTRADA GABELLA,,290,,"16,2961929","38,982958",,,same_street_outlier,progressive civic-number neighbour is 1928.8 m away,0,1069.3,259.1,CONTRADA PIANO LUPPINO,3,0.0,0791600000373,exclude_from_future_geometry_until_reviewed,Coordinate suspect is a geometry-quality signal only; do not modify ANNCSU raw.
3519783,CONTRADA GABELLA,,301,,"16,2932086","38,9828011",,,same_street_outlier,progressive civic-number neighbour is 1663.8 m away,0,1198.7,259.1,CONTRADA PIANO LUPPINO,1,0.0,0791600000373,exclude_from_future_geometry_until_reviewed,Coordinate suspect is a geometry-quality signal only; do not modify ANNCSU raw.
3519786,CONTRADA GABELLA,,303,,"16,2949727","38,9851065",,,same_street_outlier,progressive civic-number neighbour is 1838.2 m away,0,1329.6,260.8,CONTRADA PIANO LUPPINO,3,0.0,0791600000373,exclude_from_future_geometry_until_reviewed,Coordinate suspect is a geometry-quality signal only; do not modify ANNCSU raw.
3519808,CONTRADA GABELLA,,45,,"16,2455054","38,9976349",,,same_street_outlier,nearest same-street civic is 2961.5 m away; progressive civic-number neighbour is 3012.6 m away,0,5527.6,2961.5,CONTRADA MITOIO,1,0.0,0791600000338,exclude_from_future_geometry_until_reviewed,Coordinate suspect is a geometry-quality signal only; do not modify ANNCSU raw.
3528227,CONTRADA GACCIA,,9,,"16,306086","38,9725144",66,normalized_street_exact,same_street_outlier,2173.5 m from same-street cluster centroid; nearest same-street civic is 2160.4 m away; rare census-cell placement for same-street civics; progressive civic-number neighbour is 2204.6 m away,0,2173.5,2160.4,VIA TOSCANA,39,0.0,0791600000036,exclude_from_future_geometry_until_reviewed,Coordinate suspect is a geometry-quality signal only; do not modify ANNCSU raw.
3539275,CONTRADA GUERRIERI SERRA,,131,A,"16,2477534","39,011431",24,normalized_street_exact,same_street_outlier,progressive civic-number neighbour is 5825.5 m away,0,5764.3,289.5,CONTRADA MITOIO,1,0.0,0791600000207,exclude_from_future_geometry_until_reviewed,Coordinate suspect is a geometry-quality signal only; do not modify ANNCSU raw.
3539286,CONTRADA GUERRIERI SERRA,,87,,"16,245585","39,0134166",24,normalized_street_exact,same_street_outlier,progressive civic-number neighbour is 6100.7 m away,0,6037.6,289.5,CONTRADA CROZZANO SUPERIORE,1,0.0,0791600000337,exclude_from_future_geometry_until_reviewed,Coordinate suspect is a geometry-quality signal only; do not modify ANNCSU raw.
3539264,CONTRADA MIGLIERINA,,102,,"16,2508899","39,0181192",48,normalized_street_exact,same_street_outlier,1690.6 m from same-street cluster centroid; nearest same-street civic is 1822.5 m away; rare census-cell placement for same-street civics; progressive civic-number neighbour is 1907.1 m away,0,1690.6,1822.5,,0,,0791600000210,exclude_from_future_geometry_until_reviewed,Coordinate suspect is a geometry-quality signal only; do not modify ANNCSU raw.
3512549,CONTRADA MISA',,11,,"16,240946","39,0171837",66,normalized_street_exact,same_street_outlier,9503.1 m from same-street cluster centroid; nearest same-street civic is 10027.7 m away; rare census-cell placement for same-street civics; progressive civic-number neighbour is 11558.1 m away,0,9503.1,10027.7,,0,,0791600000337,exclude_from_future_geometry_until_reviewed,Coordinate suspect is a geometry-quality signal only; do not modify ANNCSU raw.
3512554,CONTRADA MISA',,25,,"16,3525418","38,9600919",66,normalized_street_exact,same_street_outlier,2197.9 m from same-street cluster centroid; nearest same-street civic is 1742.2 m away; rare census-cell placement for same-street civics; progressive civic-number neighbour is 1743.8 m away,0,2197.9,1742.2,,0,,0791600000346,exclude_from_future_geometry_until_reviewed,Coordinate suspect is a geometry-quality signal only; do not modify ANNCSU raw.
3539351,CONTRADA MURETTO,,95,,"16,3162964","38,9839482",44,normalized_street_exact,same_street_outlier,4574.9 m from same-street cluster centroid; nearest same-street civic is 2503.6 m away; progressive civic-number neighbour is 2503.6 m away,0,4574.9,2503.6,,0,,0791600000342,exclude_from_future_geometry_until_reviewed,Coordinate suspect is a geometry-quality signal only; do not modify ANNCSU raw.
3539361,CONTRADA PAPAZZO,,145,,"16,2951503","38,9208785",70,normalized_street_exact,same_street_outlier,6754.8 m from same-street cluster centroid; nearest same-street civic is 7438.5 m away; rare census-cell placement for same-street civics; progressive civic-number neighbour is 7606.5 m away,0,6754.8,7438.5,,0,,0791600000355,exclude_from_future_geometry_until_reviewed,Coordinate suspect is a geometry-quality signal only; do not modify ANNCSU raw.
