access_id,odonimo_raw,civico,esponente,coord_x,coord_y,nearest_candidate_section,distance_to_candidate_boundary_m,problem_type,suggested_review_action,notes
35069592,VICO FRATELLI BANDIERA,86,,16.2792494,38.9695234,34,8.162,street_not_in_electoral_rules,inspect_in_qgis_near_candidate_boundary,remaining review point within 100m of V2 candidate boundary
3511335,VIALE DEI GIARDINI,73,,16.3148698,38.973141,4,5.42,street_not_in_electoral_rules,inspect_in_qgis_near_candidate_boundary,remaining review point within 100m of V2 candidate boundary
3511336,VIALE DEI GIARDINI,75,,16.3148015,38.973098,4,1.967,street_not_in_electoral_rules,inspect_in_qgis_near_candidate_boundary,remaining review point within 100m of V2 candidate boundary
3511337,VIALE DEI GIARDINI,81,,16.314932,38.9731784,4,11.992,street_not_in_electoral_rules,inspect_in_qgis_near_candidate_boundary,remaining review point within 100m of V2 candidate boundary
3511338,VIALE DEI GIARDINI,89,,16.3147594,38.97311,74,3.127,street_not_in_electoral_rules,inspect_in_qgis_near_candidate_boundary,remaining review point within 100m of V2 candidate boundary
3511339,VIALE DEI GIARDINI,91,,16.3148351,38.9731566,4,4.967,street_not_in_electoral_rules,inspect_in_qgis_near_candidate_boundary,remaining review point within 100m of V2 candidate boundary
3511340,VIALE DEI GIARDINI,93,,16.3147719,38.9732197,4,7.198,street_not_in_electoral_rules,inspect_in_qgis_near_candidate_boundary,remaining review point within 100m of V2 candidate boundary
3511341,VIALE DEI GIARDINI,95,,16.314754,38.9731886,4,3.515,street_not_in_electoral_rules,inspect_in_qgis_near_candidate_boundary,remaining review point within 100m of V2 candidate boundary
3511342,VIALE DEI GIARDINI,97,,16.3147996,38.9732636,4,11.546,street_not_in_electoral_rules,inspect_in_qgis_near_candidate_boundary,remaining review point within 100m of V2 candidate boundary
3511343,VIA NICCOLO' TOMMASEO,12,,16.323708,38.978353,28,6.551,street_not_in_electoral_rules,inspect_in_qgis_near_candidate_boundary,remaining review point within 100m of V2 candidate boundary
3511344,VIA NICCOLO' TOMMASEO,13,,16.3232664,38.9782773,59,18.743,street_not_in_electoral_rules,inspect_in_qgis_near_candidate_boundary,remaining review point within 100m of V2 candidate boundary
3511345,VIA NICCOLO' TOMMASEO,18,,16.3238215,38.9784734,28,15.902,street_not_in_electoral_rules,inspect_in_qgis_near_candidate_boundary,remaining review point within 100m of V2 candidate boundary
3511346,VIA NICCOLO' TOMMASEO,25,,16.323531,38.9784239,28,1.361,street_not_in_electoral_rules,inspect_in_qgis_near_candidate_boundary,remaining review point within 100m of V2 candidate boundary
3511347,VIA NICCOLO' TOMMASEO,45,,16.32359,38.978494,28,8.542,street_not_in_electoral_rules,inspect_in_qgis_near_candidate_boundary,remaining review point within 100m of V2 candidate boundary
3511348,VIA NICCOLO' TOMMASEO,9,,16.3227711,38.9780471,22,3.779,street_not_in_electoral_rules,inspect_in_qgis_near_candidate_boundary,remaining review point within 100m of V2 candidate boundary
3511349,VIA NICCOLO' TOMMASEO,41,,16.3241606,38.978839,32,13.491,street_not_in_electoral_rules,inspect_in_qgis_near_candidate_boundary,remaining review point within 100m of V2 candidate boundary
3511350,VIA NICCOLO' TOMMASEO,36,,16.3240599,38.978681,28,14.859,street_not_in_electoral_rules,inspect_in_qgis_near_candidate_boundary,remaining review point within 100m of V2 candidate boundary
3511351,VIA NICCOLO' TOMMASEO,10,,16.3237018,38.9783489,28,5.876,street_not_in_electoral_rules,inspect_in_qgis_near_candidate_boundary,remaining review point within 100m of V2 candidate boundary
3511352,VIA NICCOLO' TOMMASEO,11,,16.3232298,38.9783564,28,25.781,street_not_in_electoral_rules,inspect_in_qgis_near_candidate_boundary,remaining review point within 100m of V2 candidate boundary
3511354,VIA NICCOLO' TOMMASEO,14,,16.3233997,38.9782329,59,13.012,street_not_in_electoral_rules,inspect_in_qgis_near_candidate_boundary,remaining review point within 100m of V2 candidate boundary
3511356,VIA NICCOLO' TOMMASEO,15,,16.323363,38.978306,28,16.593,street_not_in_electoral_rules,inspect_in_qgis_near_candidate_boundary,remaining review point within 100m of V2 candidate boundary
3511362,VIA NICCOLO' TOMMASEO,21,,16.323494,38.9783649,28,3.635,street_not_in_electoral_rules,inspect_in_qgis_near_candidate_boundary,remaining review point within 100m of V2 candidate boundary
3511369,VIA NICCOLO' TOMMASEO,47,,16.3238762,38.97852,28,15.589,street_not_in_electoral_rules,inspect_in_qgis_near_candidate_boundary,remaining review point within 100m of V2 candidate boundary
3511370,VIA NICCOLO' TOMMASEO,6,,16.3227883,38.9780512,76,5.231,street_not_in_electoral_rules,inspect_in_qgis_near_candidate_boundary,remaining review point within 100m of V2 candidate boundary
3511371,VIA NICCOLO' TOMMASEO,8,,16.323683,38.978353,28,5.361,street_not_in_electoral_rules,inspect_in_qgis_near_candidate_boundary,remaining review point within 100m of V2 candidate boundary
3511372,VIA FERRUCCIO,102,,16.3201154,38.9746306,6,8.898,street_not_in_electoral_rules,inspect_in_qgis_near_candidate_boundary,remaining review point within 100m of V2 candidate boundary
3511373,VIA FERRUCCIO,106,,16.3201503,38.9745325,6,6.181,street_not_in_electoral_rules,inspect_in_qgis_near_candidate_boundary,remaining review point within 100m of V2 candidate boundary
3511374,VIA FERRUCCIO,18,,16.3150781,38.976278,6,19.275,street_not_in_electoral_rules,inspect_in_qgis_near_candidate_boundary,remaining review point within 100m of V2 candidate boundary
3511375,VIA FERRUCCIO,2,,16.2825302,38.9685315,65,6.728,street_not_in_electoral_rules,inspect_in_qgis_near_candidate_boundary,remaining review point within 100m of V2 candidate boundary
3511376,VIA FERRUCCIO,20,,16.3062284,38.9684678,19,44.581,street_not_in_electoral_rules,inspect_in_qgis_near_candidate_boundary,remaining review point within 100m of V2 candidate boundary
3511380,VIA FERRUCCIO,6,,16.3156226,38.9761535,36,3.701,street_not_in_electoral_rules,inspect_in_qgis_near_candidate_boundary,remaining review point within 100m of V2 candidate boundary
3511381,VIA FERRUCCIO,75,,16.2812011,38.9648469,36,10.273,street_not_in_electoral_rules,inspect_in_qgis_near_candidate_boundary,remaining review point within 100m of V2 candidate boundary
3511382,VIA FERRUCCIO,78,,16.2812513,38.9643833,50,4.84,street_not_in_electoral_rules,inspect_in_qgis_near_candidate_boundary,remaining review point within 100m of V2 candidate boundary
3511383,VIA FERRUCCIO,96,,16.3202214,38.9745933,6,0.469,street_not_in_electoral_rules,inspect_in_qgis_near_candidate_boundary,remaining review point within 100m of V2 candidate boundary
3511384,VIA FERRUCCIO,98,,16.3201016,38.9746605,6,9.902,street_not_in_electoral_rules,inspect_in_qgis_near_candidate_boundary,remaining review point within 100m of V2 candidate boundary
3511385,VIA FERRUCCIO,1,,16.2823383,38.9685093,35,0.967,street_not_in_electoral_rules,inspect_in_qgis_near_candidate_boundary,remaining review point within 100m of V2 candidate boundary
3511386,VIA FERRUCCIO,100,,16.320212,38.974607,6,1.613,street_not_in_electoral_rules,inspect_in_qgis_near_candidate_boundary,remaining review point within 100m of V2 candidate boundary
3511387,VIA FERRUCCIO,110,,16.3200111,38.9745647,6,2.715,street_not_in_electoral_rules,inspect_in_qgis_near_candidate_boundary,remaining review point within 100m of V2 candidate boundary
3511388,VIA FERRUCCIO,118,,16.3200361,38.9744578,6,2.788,street_not_in_electoral_rules,inspect_in_qgis_near_candidate_boundary,remaining review point within 100m of V2 candidate boundary
3511389,VIA FERRUCCIO,124,,16.320023,38.9744,6,2.571,street_not_in_electoral_rules,inspect_in_qgis_near_candidate_boundary,remaining review point within 100m of V2 candidate boundary
3511393,VIA FERRUCCIO,3,,16.2823914,38.9687342,35,2.727,street_not_in_electoral_rules,inspect_in_qgis_near_candidate_boundary,remaining review point within 100m of V2 candidate boundary
3511395,VIA FERRUCCIO,35,,16.3062939,38.9684449,20,43.709,street_not_in_electoral_rules,inspect_in_qgis_near_candidate_boundary,remaining review point within 100m of V2 candidate boundary
3511398,VIA FERRUCCIO,45,,16.282276,38.9692492,69,5.766,street_not_in_electoral_rules,inspect_in_qgis_near_candidate_boundary,remaining review point within 100m of V2 candidate boundary
3511399,VIA FERRUCCIO,49,,16.2822032,38.9693621,39,13.944,street_not_in_electoral_rules,inspect_in_qgis_near_candidate_boundary,remaining review point within 100m of V2 candidate boundary
3511400,VIA FERRUCCIO,5,,16.2824049,38.9687166,35,0.484,street_not_in_electoral_rules,inspect_in_qgis_near_candidate_boundary,remaining review point within 100m of V2 candidate boundary
3511402,VIA FERRUCCIO,8,,16.3155926,38.9761676,36,1.5,street_not_in_electoral_rules,inspect_in_qgis_near_candidate_boundary,remaining review point within 100m of V2 candidate boundary
3511403,VIA FERRUCCIO,85,,16.3203572,38.9748211,6,7.227,street_not_in_electoral_rules,inspect_in_qgis_near_candidate_boundary,remaining review point within 100m of V2 candidate boundary
3511404,VIA FERRUCCIO,86,,16.320268,38.974793,6,12.985,street_not_in_electoral_rules,inspect_in_qgis_near_candidate_boundary,remaining review point within 100m of V2 candidate boundary
3511405,VIA FERRUCCIO,88,,16.3204187,38.9748082,6,3.439,street_not_in_electoral_rules,inspect_in_qgis_near_candidate_boundary,remaining review point within 100m of V2 candidate boundary
3511406,VIA FERRUCCIO,89,,16.3202841,38.974632,6,0.03,street_not_in_electoral_rules,inspect_in_qgis_near_candidate_boundary,remaining review point within 100m of V2 candidate boundary
3511407,VIA FERRUCCIO,9,,16.3154044,38.9761966,36,13.728,street_not_in_electoral_rules,inspect_in_qgis_near_candidate_boundary,remaining review point within 100m of V2 candidate boundary
3511408,VIA FERRUCCIO,92,,16.3202023,38.9747159,6,10.235,street_not_in_electoral_rules,inspect_in_qgis_near_candidate_boundary,remaining review point within 100m of V2 candidate boundary
3511409,VIA FERRUCCIO,94,,16.3202628,38.9746432,22,1.315,street_not_in_electoral_rules,inspect_in_qgis_near_candidate_boundary,remaining review point within 100m of V2 candidate boundary
3511410,VIA FERRUCCIO,104,A,16.3202066,38.9745554,6,2.793,street_not_in_electoral_rules,inspect_in_qgis_near_candidate_boundary,remaining review point within 100m of V2 candidate boundary
3511411,VIA FERRUCCIO,104,,16.3201012,38.9746159,6,6.94,street_not_in_electoral_rules,inspect_in_qgis_near_candidate_boundary,remaining review point within 100m of V2 candidate boundary
3511414,VIA FERRUCCIO,108,,16.3200754,38.974589,6,3.37,street_not_in_electoral_rules,inspect_in_qgis_near_candidate_boundary,remaining review point within 100m of V2 candidate boundary
3511415,VIA FERRUCCIO,114,,16.3200625,38.9745755,6,1.582,street_not_in_electoral_rules,inspect_in_qgis_near_candidate_boundary,remaining review point within 100m of V2 candidate boundary
3511418,VIA FERRUCCIO,116,,16.3200677,38.9745239,6,0.603,street_not_in_electoral_rules,inspect_in_qgis_near_candidate_boundary,remaining review point within 100m of V2 candidate boundary
3511427,VIA FERRUCCIO,25,,16.2823932,38.9688095,40,10.475,street_not_in_electoral_rules,inspect_in_qgis_near_candidate_boundary,remaining review point within 100m of V2 candidate boundary
3511430,VIA FERRUCCIO,37,,16.3063493,38.9684985,19,36.117,street_not_in_electoral_rules,inspect_in_qgis_near_candidate_boundary,remaining review point within 100m of V2 candidate boundary
3511438,VIA FERRUCCIO,4,,16.2824522,38.9684673,35,11.663,street_not_in_electoral_rules,inspect_in_qgis_near_candidate_boundary,remaining review point within 100m of V2 candidate boundary
3511440,VIA FERRUCCIO,43,,16.2823848,38.9692487,40,8.53,street_not_in_electoral_rules,inspect_in_qgis_near_candidate_boundary,remaining review point within 100m of V2 candidate boundary
3511445,VIA FERRUCCIO,47,,16.2822592,38.969252,40,5.779,street_not_in_electoral_rules,inspect_in_qgis_near_candidate_boundary,remaining review point within 100m of V2 candidate boundary
3511465,VIA FERRUCCIO,70,,16.2814314,38.9641934,50,2.031,street_not_in_electoral_rules,inspect_in_qgis_near_candidate_boundary,remaining review point within 100m of V2 candidate boundary
3511469,VIA SENATORE ARTURO PERUGINI,1,A,16.3040914,38.959301,18,17.13,street_not_in_electoral_rules,inspect_in_qgis_near_candidate_boundary,remaining review point within 100m of V2 candidate boundary
3511470,VIA SENATORE ARTURO PERUGINI,1,C,16.3040976,38.9592842,18,17.338,street_not_in_electoral_rules,inspect_in_qgis_near_candidate_boundary,remaining review point within 100m of V2 candidate boundary
3511471,VIA SENATORE ARTURO PERUGINI,1,,16.3041604,38.9594108,18,6.985,street_not_in_electoral_rules,inspect_in_qgis_near_candidate_boundary,remaining review point within 100m of V2 candidate boundary
3511553,VIA CAVALLERIZZA,10,,16.2915879,38.9381367,57,11.83,street_not_in_electoral_rules,inspect_in_qgis_near_candidate_boundary,remaining review point within 100m of V2 candidate boundary
3511554,VIA CAVALLERIZZA,13,,16.2901136,38.9379953,57,15.929,street_not_in_electoral_rules,inspect_in_qgis_near_candidate_boundary,remaining review point within 100m of V2 candidate boundary
3511555,VIA CAVALLERIZZA,2,,16.2912329,38.9393408,57,50.73,street_not_in_electoral_rules,inspect_in_qgis_near_candidate_boundary,remaining review point within 100m of V2 candidate boundary
3511556,VIA CAVALLERIZZA,6,,16.2918311,38.9388498,57,22.168,street_not_in_electoral_rules,inspect_in_qgis_near_candidate_boundary,remaining review point within 100m of V2 candidate boundary
3511557,VIA CAVALLERIZZA,2,B,16.2922122,38.9390734,57,16.079,street_not_in_electoral_rules,inspect_in_qgis_near_candidate_boundary,remaining review point within 100m of V2 candidate boundary
3511558,VIA CAVALLERIZZA,1,,16.2894647,38.9353764,36,30.829,street_not_in_electoral_rules,inspect_in_qgis_near_candidate_boundary,remaining review point within 100m of V2 candidate boundary
3511560,VIA CAVALLERIZZA,11,,16.2913628,38.9379735,57,8.206,street_not_in_electoral_rules,inspect_in_qgis_near_candidate_boundary,remaining review point within 100m of V2 candidate boundary
3511561,VIA CAVALLERIZZA,3,,16.3169699,38.9709219,13,0.239,street_not_in_electoral_rules,inspect_in_qgis_near_candidate_boundary,remaining review point within 100m of V2 candidate boundary
3511562,VIA CAVALLERIZZA,4,,16.3166923,38.9706538,13,6.056,street_not_in_electoral_rules,inspect_in_qgis_near_candidate_boundary,remaining review point within 100m of V2 candidate boundary
3511563,VIA CAVALLERIZZA,5,,16.3169909,38.9707553,13,8.631,street_not_in_electoral_rules,inspect_in_qgis_near_candidate_boundary,remaining review point within 100m of V2 candidate boundary
3511564,VIA CAVALLERIZZA,7,,16.2919006,38.9386957,57,12.534,street_not_in_electoral_rules,inspect_in_qgis_near_candidate_boundary,remaining review point within 100m of V2 candidate boundary
3511565,VIA CAVALLERIZZA,8,,16.2916933,38.9387338,57,30.993,street_not_in_electoral_rules,inspect_in_qgis_near_candidate_boundary,remaining review point within 100m of V2 candidate boundary
3511566,VIA CAVALLERIZZA,9,,16.291597,38.9381562,62,14.065,street_not_in_electoral_rules,inspect_in_qgis_near_candidate_boundary,remaining review point within 100m of V2 candidate boundary
3511568,VIA CAVOUR,13,,16.3143511,38.9578915,73,30.322,street_not_in_electoral_rules,inspect_in_qgis_near_candidate_boundary,remaining review point within 100m of V2 candidate boundary
3511569,VIA CAVOUR,15,,16.280271,38.9690659,69,0.686,street_not_in_electoral_rules,inspect_in_qgis_near_candidate_boundary,remaining review point within 100m of V2 candidate boundary
3511570,VIA CAVOUR,17,,16.3148191,38.9572575,39,11.448,street_not_in_electoral_rules,inspect_in_qgis_near_candidate_boundary,remaining review point within 100m of V2 candidate boundary
3511571,VIA CAVOUR,23,,16.3143689,38.9563312,72,32.762,street_not_in_electoral_rules,inspect_in_qgis_near_candidate_boundary,remaining review point within 100m of V2 candidate boundary
3511572,VIA CAVOUR,25,,16.3150221,38.9559695,72,96.951,street_not_in_electoral_rules,inspect_in_qgis_near_candidate_boundary,remaining review point within 100m of V2 candidate boundary
3511573,VIA CAVOUR,3,,16.2883314,38.9370753,22,31.865,street_not_in_electoral_rules,inspect_in_qgis_near_candidate_boundary,remaining review point within 100m of V2 candidate boundary
3511574,VIA CAVOUR,4,,16.2898283,38.9363645,62,0.87,street_not_in_electoral_rules,inspect_in_qgis_near_candidate_boundary,remaining review point within 100m of V2 candidate boundary
3511577,VIA CAVOUR,5,,16.3140455,38.9579432,73,3.687,street_not_in_electoral_rules,inspect_in_qgis_near_candidate_boundary,remaining review point within 100m of V2 candidate boundary
3511579,VIA CAVOUR,51,,16.3149873,38.95324,73,48.095,street_not_in_electoral_rules,inspect_in_qgis_near_candidate_boundary,remaining review point within 100m of V2 candidate boundary
3511581,VIA CAVOUR,57,,16.3155766,38.9530038,73,2.802,street_not_in_electoral_rules,inspect_in_qgis_near_candidate_boundary,remaining review point within 100m of V2 candidate boundary
3511582,VIA CAVOUR,58,,16.3152235,38.9528829,73,27.887,street_not_in_electoral_rules,inspect_in_qgis_near_candidate_boundary,remaining review point within 100m of V2 candidate boundary
3511583,VIA CAVOUR,6,,16.314117,38.9577223,73,10.609,street_not_in_electoral_rules,inspect_in_qgis_near_candidate_boundary,remaining review point within 100m of V2 candidate boundary
3511584,VIA CAVOUR,7,,16.3143399,38.9581988,39,23.232,street_not_in_electoral_rules,inspect_in_qgis_near_candidate_boundary,remaining review point within 100m of V2 candidate boundary
3511585,VIA CAVOUR,8,,16.3149257,38.9581983,73,13.046,street_not_in_electoral_rules,inspect_in_qgis_near_candidate_boundary,remaining review point within 100m of V2 candidate boundary
3511586,VIA CAVOUR,9,,16.2803685,38.9690527,34,6.454,street_not_in_electoral_rules,inspect_in_qgis_near_candidate_boundary,remaining review point within 100m of V2 candidate boundary
