layer,access_id,source_odonimo,source_civico,source_esponente,source_lon,source_lat,geojson_odonimo,geojson_civico,geojson_esponente,geojson_lon,geojson_lat,label_shown_by_workbench,status
review_points.geojson,35069592,VICO FRATELLI BANDIERA,86,,"16,2792494","38,9695234",VICO FRATELLI BANDIERA,86,,16.2792494,38.9695234,ANNCSU: VICO FRATELLI BANDIERA 86,ok
review_points.geojson,3511335,VIALE DEI GIARDINI,73,,"16,3148698","38,973141",VIALE DEI GIARDINI,73,,16.3148698,38.9731410,ANNCSU: VIALE DEI GIARDINI 73,ok
review_points.geojson,3511336,VIALE DEI GIARDINI,75,,"16,3148015","38,973098",VIALE DEI GIARDINI,75,,16.3148015,38.9730980,ANNCSU: VIALE DEI GIARDINI 75,ok
review_points.geojson,3511337,VIALE DEI GIARDINI,81,,"16,314932","38,9731784",VIALE DEI GIARDINI,81,,16.3149320,38.9731784,ANNCSU: VIALE DEI GIARDINI 81,ok
review_points.geojson,3511338,VIALE DEI GIARDINI,89,,"16,3147594","38,97311",VIALE DEI GIARDINI,89,,16.3147594,38.9731100,ANNCSU: VIALE DEI GIARDINI 89,ok
review_points.geojson,3511339,VIALE DEI GIARDINI,91,,"16,3148351","38,9731566",VIALE DEI GIARDINI,91,,16.3148351,38.9731566,ANNCSU: VIALE DEI GIARDINI 91,ok
review_points.geojson,3511340,VIALE DEI GIARDINI,93,,"16,3147719","38,9732197",VIALE DEI GIARDINI,93,,16.3147719,38.9732197,ANNCSU: VIALE DEI GIARDINI 93,ok
review_points.geojson,3511341,VIALE DEI GIARDINI,95,,"16,314754","38,9731886",VIALE DEI GIARDINI,95,,16.3147540,38.9731886,ANNCSU: VIALE DEI GIARDINI 95,ok
review_points.geojson,3511342,VIALE DEI GIARDINI,97,,"16,3147996","38,9732636",VIALE DEI GIARDINI,97,,16.3147996,38.9732636,ANNCSU: VIALE DEI GIARDINI 97,ok
review_points.geojson,3511343,VIA NICCOLO' TOMMASEO,12,,"16,323708","38,978353",VIA NICCOLO' TOMMASEO,12,,16.3237080,38.9783530,ANNCSU: VIA NICCOLO' TOMMASEO 12,ok
review_points.geojson,3511344,VIA NICCOLO' TOMMASEO,13,,"16,3232664","38,9782773",VIA NICCOLO' TOMMASEO,13,,16.3232664,38.9782773,ANNCSU: VIA NICCOLO' TOMMASEO 13,ok
review_points.geojson,3511345,VIA NICCOLO' TOMMASEO,18,,"16,3238215","38,9784734",VIA NICCOLO' TOMMASEO,18,,16.3238215,38.9784734,ANNCSU: VIA NICCOLO' TOMMASEO 18,ok
review_points.geojson,3511346,VIA NICCOLO' TOMMASEO,25,,"16,323531","38,9784239",VIA NICCOLO' TOMMASEO,25,,16.3235310,38.9784239,ANNCSU: VIA NICCOLO' TOMMASEO 25,ok
review_points.geojson,3511347,VIA NICCOLO' TOMMASEO,45,,"16,32359","38,978494",VIA NICCOLO' TOMMASEO,45,,16.3235900,38.9784940,ANNCSU: VIA NICCOLO' TOMMASEO 45,ok
review_points.geojson,3511348,VIA NICCOLO' TOMMASEO,9,,"16,3227711","38,9780471",VIA NICCOLO' TOMMASEO,9,,16.3227711,38.9780471,ANNCSU: VIA NICCOLO' TOMMASEO 9,ok
