event_id,edition_year,event_title,video_id,date,location,speakers,moderator,main_topics,territorial_relevance,civic_relevance_score,analysis_status,notes
trame15_20260616_famiglie-che-accolgono,2026,Famiglie che accolgono,,2026-06-16,Piazzetta San Domenico,"Famiglie che accolgono; con Antonella Agnoli , i testimoni di Luna Rossa (SAI Minori Comunità Progetto Sud) e Maria Chiara Caruso (giornalista); Un saluto video del Cardinale Matteo Maria Zuppi;",,Famiglie che accolgono,Lamezia,5,not_started,Programma ufficiale martedi-16-giugno-2026; orario 19:00; fonte https://www.tramefestival.it/marted%C3%AC-16-giugno-2026
trame15_20260616_fate-i-tuoni,2026,Fate i tuoni,,2026-06-16,Piazzetta San Domenico,Fate i tuoni; uno spettacolo di Michele D’Ignazio; con Antonia Fama e Marco Zordan; regia di Marco Zordan; a cura di Compagnia Walden;,,Fate i tuoni,Lamezia,4,not_started,Programma ufficiale martedi-16-giugno-2026; orario 19:30; fonte https://www.tramefestival.it/marted%C3%AC-16-giugno-2026
trame15_20260616_inaugurazione-festival,2026,Inaugurazione Festival,,2026-06-16,Palazzo Nicotera,Inaugurazione Festival; Saluti istituzionali; Parteciperà il presidente della Regione Calabria Roberto Occhiuto ; ;;,,Inaugurazione Festival,Lamezia,5,not_started,Programma ufficiale martedi-16-giugno-2026; orario 17:00; fonte https://www.tramefestival.it/marted%C3%AC-16-giugno-2026
trame15_20260616_inaugurazione-mostre-trame-15,2026,Inaugurazione mostre Trame.15,,2026-06-16,Complesso San Domenico,"Inaugurazione mostre Trame.15; a seguire; Trame per il Patrimonio - Vedere la Democrazia; con Simona Bruni (Museo Archeologico Lametino), Stefania Mancuso (Università IULM), Massimo Sirelli (artista), Andrea Perrotta (innovacultura group e-bag srl), Francesco Cefalà (Fondazione Trame ETS), Fabrizio Sudano (Direzione Regionale Musei Nazionali Calabria) e Cristina Porcelli (Museo Archeologico Lametino);",,Inaugurazione mostre Trame.15,Lamezia,5,not_started,Programma ufficiale martedi-16-giugno-2026; orario 17:30; fonte https://www.tramefestival.it/marted%C3%AC-16-giugno-2026
trame15_20260616_la-linguistica-per-tutti,2026,La linguistica per tutti,,2026-06-16,Chiostro San Domenico,La linguistica per tutti; con il prof. Michele Cortelazzo (Accademia della Crusca); Lectio sul linguaggio delle mafie;,,La linguistica per tutti,Italia,4,not_started,Programma ufficiale martedi-16-giugno-2026; orario 18:30; fonte https://www.tramefestival.it/marted%C3%AC-16-giugno-2026
trame15_20260616_le-mafie-che-opprimono,2026,Le mafie che opprimono,,2026-06-16,Piazzetta San Domenico,"Le mafie che opprimono; con Bianca Turati (vincitrice Premio Morrione 2025), Francesco Cavalli (Premio Morrione) e Tommaso Panza (giornalista, già vincitore del Premio Morrione);",,Le mafie che opprimono,Italia,3,not_started,Programma ufficiale martedi-16-giugno-2026; orario 22:30; fonte https://www.tramefestival.it/marted%C3%AC-16-giugno-2026
trame15_20260616_leoni-di-sicilia,2026,Leoni di Sicilia,,2026-06-16,Piazzetta San Domenico,Leoni di Sicilia; con Stefania Auci e Gaetano Savatteri (giornalista);,,Leoni di Sicilia,Mezzogiorno,4,not_started,Programma ufficiale martedi-16-giugno-2026; orario 21:30; fonte https://www.tramefestival.it/marted%C3%AC-16-giugno-2026
trame15_20260616_oltre-la-narrazione-cronache-visive-di-un-mondo-in-movimento,2026,Oltre la narrazione: cronache visive di un mondo in movimento,,2026-06-16,Piazzetta San Domenico,Oltre la narrazione: cronache visive di un mondo in movimento; Giornata Mondiale del Rifugiato 2026; con Francesco Malavolta (giornalista e foto reporter) ;,,Oltre la narrazione: cronache visive di un mondo in movimento,Lamezia,5,not_started,Programma ufficiale martedi-16-giugno-2026; orario 20:30; fonte https://www.tramefestival.it/marted%C3%AC-16-giugno-2026
trame15_20260617_abitiamo-il-lametino,2026,Abitiamo il lametino,,2026-06-17,Piazzetta San Domenico,"Abitiamo il lametino; con Marina Galati (Comunità Progetto Sud), Nuccio Iovene (Fondazione Trame), Giuseppina Imbrogno (Università della Calabria), Damiano Berlingieri (Mediatore culturale Intrecci Abitiamo il Lametino ATS), Maria Consuelo Hafiz (Università Magna Graecia di Catanzaro) e Nello Trocchia (Domani); Incontro pubblico sull'abitare diffuso e l'inclusione sociale: nuove prospettive per i cittadini lametini di origine rom residente a Scordovillo.; Proiezione del primo video-racconto realizzato dal regista Mario Vitale .;;",,Abitiamo il lametino,Lamezia,5,not_started,Programma ufficiale mercoledi-17-giugno-2026; orario 20:00; fonte https://www.tramefestival.it/mercoled%C3%AC-17-giugno-2026
trame15_20260617_biblioteche-transmediali,2026,Biblioteche Transmediali,,2026-06-17,La Casa del Tempo - Trame in Città,Biblioteche Transmediali; con Ettore Perri;;,,Biblioteche Transmediali,general,3,not_started,Programma ufficiale mercoledi-17-giugno-2026; orario 15:00; fonte https://www.tramefestival.it/mercoled%C3%AC-17-giugno-2026
trame15_20260617_cera-lamore-a-sarajevo,2026,C’era l’amore a Sarajevo,,2026-06-17,Piazzetta San Domenico,C’era l’amore a Sarajevo; con Gigi Riva e Giuseppe Smorto (Repubblica);,,C’era l’amore a Sarajevo,transnational,3,not_started,Programma ufficiale mercoledi-17-giugno-2026; orario 19:00; fonte https://www.tramefestival.it/mercoled%C3%AC-17-giugno-2026
