person_id,name,role_raw,affiliation_raw,speaker_type,events_count,verification_status,notes
person_alessandra-coppola,Alessandra Coppola,,,unknown,1,official_program_raw,Eventi: TRAME XL
person_alessandro-gaudio,Alessandro Gaudio,Università della Calabria,Università della Calabria,accademico,1,official_program_raw,Eventi: Quando il potere diventò regime
person_alessia-arcolaci,Alessia Arcolaci,42 Parallelo,42 Parallelo,unknown,2,official_program_raw,Eventi: Ragazzi d’altri tempi | Mafie e dominio patriarcale
person_alice-valeria-oliveri,Alice Valeria Oliveri,,,unknown,1,official_program_raw,Eventi: Il futuro che ci avevano promesso
person_anastasi,Anastasi,,,unknown,1,official_program_raw,Eventi: I segreti della ‘ndrangheta
person_andrea-carni,Andrea Carnì,,,unknown,1,official_program_raw,Eventi: La ndrangheta nel cuore del Nord
person_andrea-giambartolomei,Andrea Giambartolomei,Lavialibera,Lavialibera,attivista,1,official_program_raw,Eventi: Le mafie non giocano
person_andrea-perrotta,Andrea Perrotta,innovacultura group e-bag srl,innovacultura group e-bag srl,unknown,1,official_program_raw,Eventi: Inaugurazione mostre Trame.15
person_angela-iantosca,Angela Iantosca,,,unknown,1,official_program_raw,Eventi: Madri costituenti e donne afghane
person_anna-sergi,Anna Sergi,Università di Bologna,Università di Bologna,accademico,2,official_program_raw,"Eventi: Il lato oscuro della Germania | Verso un manifesto con San Luca. Dentro il territorio, oltre gli stereotipi"
person_anna-spena,Anna Spena,Vita,Vita,unknown,1,official_program_raw,Eventi: Madri costituenti e donne afghane
person_annamaria-frustaci,Annamaria Frustaci,,,unknown,1,official_program_raw,Eventi: Firenze 1993
person_antonella-agnoli,Antonella Agnoli,,,unknown,1,official_program_raw,Eventi: Famiglie che accolgono
person_antonella-inverno,Antonella Inverno,,,unknown,1,official_program_raw,"Eventi: Disagio, carcere e dissenso"
person_antonio,Antonio,,,unknown,1,official_program_raw,Eventi: I segreti della ‘ndrangheta
person_antonio-dorrico,Antonio D’Orrico,giornalista e saggista,giornalista e saggista,giornalista,2,official_program_raw,Eventi: I romanzi criminali italiani | Storie Luoghi Anthropologie
person_antonio-ricchio,Antonio Ricchio,Gazzetta del sud,Gazzetta del sud,unknown,1,official_program_raw,Eventi: La nuova Tangentopoli
person_arcangelo-badolati,Arcangelo Badolati,Gazzetta del Sud,Gazzetta del Sud,unknown,2,official_program_raw,Eventi: L’infiltrato | Giustizia negata
person_assunta-sautto,Assunta Sautto,,,unknown,1,official_program_raw,Eventi: Sogni e resistenza nelle periferie di Napoli
person_attilio-bolzoni,Attilio Bolzoni,Domani,Domani,unknown,2,official_program_raw,"Eventi: Lo sciacallo | I misteri delle stragi. Mafie senza confini, beni senza padroni"
person_bianca-turati,Bianca Turati,vincitrice Premio Morrione 2025,vincitrice Premio Morrione 2025,unknown,1,official_program_raw,Eventi: Le mafie che opprimono
person_cardinale-matteo-maria-zuppi,Cardinale Matteo Maria Zuppi,,,unknown,1,official_program_raw,Eventi: Famiglie che accolgono
person_carmen-bagala,Carmen Bagalà,Caritas Locri,Caritas Locri,unknown,1,official_program_raw,"Eventi: Verso un manifesto con San Luca. Dentro il territorio, oltre gli stereotipi"
person_caterina-caparello,Caterina Caparello,giornalista,giornalista,giornalista,1,official_program_raw,Eventi: Firenze 1993
person_cco-crisi-come-opportunita,CCO Crisi Come Opportunità,,,unknown,1,official_program_raw,Eventi: Se dicessimo la verità
person_celeste-costantino,Celeste Costantino,,,unknown,1,official_program_raw,Eventi: Mafie e dominio patriarcale
person_celeste-logiacco,Celeste Logiacco,Cgil,Cgil,unknown,1,official_program_raw,Eventi: Turismo e Capitale
person_claudio-cordova,Claudio Cordova,,,unknown,1,official_program_raw,Eventi: I padroni della 'ndrangheta
person_claudio-fava,Claudio Fava,,,unknown,1,official_program_raw,"Eventi: Argentina, un romanzo criminale e politico"
person_color-fest,Color Fest,,,unknown,1,official_program_raw,Eventi: Rap e resistenza
person_cristina-porcelli,Cristina Porcelli,Museo Archeologico Lametino,Museo Archeologico Lametino,unknown,1,official_program_raw,Eventi: Inaugurazione mostre Trame.15
person_damiano-berlingieri,Damiano Berlingieri,Mediatore culturale Intrecci Abitiamo il Lametino ATS,Mediatore culturale Intrecci Abitiamo il Lametino ATS,unknown,1,official_program_raw,Eventi: Abitiamo il lametino
person_daniele-aristarco,Daniele Aristarco ,,,unknown,1,official_program_raw,Eventi: La ragazza che si ribellò alla mafia
person_daniele-gualtieri,Daniele Gualtieri,CISL Magna Graecia,CISL Magna Graecia,unknown,1,official_program_raw,Eventi: Etica aziendale: presidio di legalità e territorio libero dalle mafie
person_danilo-chirico,Danilo Chirico,,,unknown,1,official_program_raw,Eventi: La ‘Ndrangheta non è per sempre
person_deborah-cartisano,Deborah Cartisano,,,unknown,1,official_program_raw,Eventi: Se dicessimo la verità
person_dialogo-intorno-al-carcere,Dialogo intorno al carcere ,,,unknown,1,official_program_raw,Eventi: TRAME XL
person_diego-bianchi,Diego Bianchi,Propaganda Live,Propaganda Live,unknown,1,official_program_raw,Eventi: Propaganda Lamezia ATTO III
person_direzione-regionale-musei-nazionali-calabria-museo-archeologico-lametino,Direzione Regionale Musei Nazionali Calabria - Museo Archeologico Lametino,,,unknown,1,official_program_raw,Eventi: Inaugurazione mostre Trame.15
person_domenico-lico,Domenico Lico,Kalabria Eco ETS,Kalabria Eco ETS,unknown,1,official_program_raw,Eventi: Turismo e Capitale
person_doris-lo-moro,Doris Lo Moro,,,unknown,1,official_program_raw,Eventi: Giustizia negata
person_elisa-chiriano,Elisa Chiriano,radio Ciak,radio Ciak,unknown,1,official_program_raw,Eventi: La ragazza che si ribellò alla mafia
person_emanuela-marmo,Emanuela Marmo,MicroMega,MicroMega,unknown,1,official_program_raw,Eventi: TRAME XL
person_enrica-riera,Enrica Riera,Domani,Domani,unknown,1,official_program_raw,"Eventi: Neofascismo, attentato alla democrazia"
person_enzo-ciconte,Enzo Ciconte,,,unknown,1,official_program_raw,Eventi: Le mafie della tensione
person_ettore-perri,Ettore Perri,,,unknown,1,official_program_raw,Eventi: Biblioteche Transmediali
person_ezio-gavazzeni,Ezio Gavazzeni,,,unknown,1,official_program_raw,Eventi: I cecchini del weekend
person_fabrizio-sudano,Fabrizio Sudano,Direzione Regionale Musei Nazionali Calabria,Direzione Regionale Musei Nazionali Calabria,unknown,1,official_program_raw,Eventi: Inaugurazione mostre Trame.15
person_filippo-veltri,Filippo Veltri,giornalista,giornalista,giornalista,1,official_program_raw,Eventi: Chi ha ucciso Giovanni Losardo? A 100 anni dalla sua nascita
person_fondazione-finanza-etica,Fondazione Finanza Etica,,,unknown,1,official_program_raw,Eventi: Disarmare il presente
person_fondazione-treccani-cultura,Fondazione Treccani Cultura,,,unknown,1,official_program_raw,Eventi: La linguistica per tutti
person_francesca-nava,Francesca Nava,PresaDiretta,PresaDiretta,unknown,1,official_program_raw,"Eventi: Argentina, un romanzo criminale e politico"
person_francesco-cavalli,Francesco Cavalli,Premio Morrione,Premio Morrione,unknown,1,official_program_raw,Eventi: Le mafie che opprimono
person_francesco-cefala,Francesco Cefalà,Fondazione Trame ETS,Fondazione Trame ETS,unknown,1,official_program_raw,Eventi: Inaugurazione mostre Trame.15
person_francesco-donnici,Francesco Donnici,giornalista e ricercatore,giornalista e ricercatore,giornalista,1,official_program_raw,"Eventi: Verso un manifesto con San Luca. Dentro il territorio, oltre gli stereotipi"
person_francesco-malavolta,Francesco Malavolta,giornalista e foto reporter,giornalista e foto reporter,giornalista,1,official_program_raw,Eventi: Oltre la narrazione: cronache visive di un mondo in movimento
person_francesco-palaia,Francesco Palaia,,,unknown,1,official_program_raw,Eventi: Sindacato eversione neofascista relazioni criminali e terrore globale
person_franco-capalbo,Franco Capalbo,,,unknown,1,official_program_raw,Eventi: Turismo e Capitale
person_franco-la-torre,Franco La Torre,attivista antimafia e project manager europeo,attivista antimafia e project manager europeo,unknown,1,official_program_raw,"Eventi: I misteri delle stragi. Mafie senza confini, beni senza padroni"
person_franco-stefanoni,Franco Stefanoni,,,unknown,1,official_program_raw,Eventi: Mafia a Milano
person_gaetano-savatteri,Gaetano Savatteri,giornalista,giornalista,giornalista,2,official_program_raw,Eventi: Leoni di Sicilia | I romanzi criminali italiani
