council_candidate_id,election_id,list_id,candidate_name,normalised_candidate_name,source_doc_id,notes
comunali_lamezia_2025_list_partito_democratico_candidate_arichetta_valentina,comunali_lamezia_2025,comunali_lamezia_2025_list_partito_democratico,ARICHETTA VALENTINA,ARICHETTA VALENTINA,maggioli_2025_preferences_section_l01_xml,maggioli_list_number=1; maggioli_council_candidate_number=1
comunali_lamezia_2025_list_partito_democratico_candidate_carito_francesco,comunali_lamezia_2025,comunali_lamezia_2025_list_partito_democratico,CARITO FRANCESCO,CARITO FRANCESCO,maggioli_2025_preferences_section_l01_xml,maggioli_list_number=1; maggioli_council_candidate_number=2
comunali_lamezia_2025_list_partito_democratico_candidate_chirico_deborah,comunali_lamezia_2025,comunali_lamezia_2025_list_partito_democratico,CHIRICO DEBORAH,CHIRICO DEBORAH,maggioli_2025_preferences_section_l01_xml,maggioli_list_number=1; maggioli_council_candidate_number=3
comunali_lamezia_2025_list_partito_democratico_candidate_corrado_luana,comunali_lamezia_2025,comunali_lamezia_2025_list_partito_democratico,CORRADO LUANA,CORRADO LUANA,maggioli_2025_preferences_section_l01_xml,maggioli_list_number=1; maggioli_council_candidate_number=4
comunali_lamezia_2025_list_partito_democratico_candidate_davoli_giovanni,comunali_lamezia_2025,comunali_lamezia_2025_list_partito_democratico,DAVOLI GIOVANNI,DAVOLI GIOVANNI,maggioli_2025_preferences_section_l01_xml,maggioli_list_number=1; maggioli_council_candidate_number=5
comunali_lamezia_2025_list_partito_democratico_candidate_feroleto_mariafrancesca,comunali_lamezia_2025,comunali_lamezia_2025_list_partito_democratico,FEROLETO MARIAFRANCESCA,FEROLETO MARIAFRANCESCA,maggioli_2025_preferences_section_l01_xml,maggioli_list_number=1; maggioli_council_candidate_number=6
comunali_lamezia_2025_list_partito_democratico_candidate_ferrari_saverio,comunali_lamezia_2025,comunali_lamezia_2025_list_partito_democratico,FERRARI SAVERIO,FERRARI SAVERIO,maggioli_2025_preferences_section_l01_xml,maggioli_list_number=1; maggioli_council_candidate_number=7
comunali_lamezia_2025_list_partito_democratico_candidate_gallo_giovanni,comunali_lamezia_2025,comunali_lamezia_2025_list_partito_democratico,GALLO GIOVANNI,GALLO GIOVANNI,maggioli_2025_preferences_section_l01_xml,maggioli_list_number=1; maggioli_council_candidate_number=8
comunali_lamezia_2025_list_partito_democratico_candidate_gigliotti_giuseppe_detto_giosy,comunali_lamezia_2025,comunali_lamezia_2025_list_partito_democratico,GIGLIOTTI GIUSEPPE detto GIOSY,GIGLIOTTI GIUSEPPE DETTO GIOSY,maggioli_2025_preferences_section_l01_xml,maggioli_list_number=1; maggioli_council_candidate_number=9
comunali_lamezia_2025_list_partito_democratico_candidate_gigliotti_laura,comunali_lamezia_2025,comunali_lamezia_2025_list_partito_democratico,GIGLIOTTI LAURA,GIGLIOTTI LAURA,maggioli_2025_preferences_section_l01_xml,maggioli_list_number=1; maggioli_council_candidate_number=10
comunali_lamezia_2025_list_partito_democratico_candidate_grandinetti_daniela_immacolata,comunali_lamezia_2025,comunali_lamezia_2025_list_partito_democratico,GRANDINETTI DANIELA IMMACOLATA,GRANDINETTI DANIELA IMMACOLATA,maggioli_2025_preferences_section_l01_xml,maggioli_list_number=1; maggioli_council_candidate_number=11
comunali_lamezia_2025_list_partito_democratico_candidate_limardi_rosamaria,comunali_lamezia_2025,comunali_lamezia_2025_list_partito_democratico,LIMARDI ROSAMARIA,LIMARDI ROSAMARIA,maggioli_2025_preferences_section_l01_xml,maggioli_list_number=1; maggioli_council_candidate_number=12
comunali_lamezia_2025_list_partito_democratico_candidate_liotta_carmela_milena,comunali_lamezia_2025,comunali_lamezia_2025_list_partito_democratico,LIOTTA CARMELA MILENA,LIOTTA CARMELA MILENA,maggioli_2025_preferences_section_l01_xml,maggioli_list_number=1; maggioli_council_candidate_number=13
