list_id,election_id,list_name,normalised_list_name,mayor_candidate_id,coalition_label,source_doc_id,notes
comunali_lamezia_2025_list_partito_democratico,comunali_lamezia_2025,PARTITO DEMOCRATICO,PARTITO DEMOCRATICO,comunali_lamezia_2025_mayor_lo_moro_doris,,maggioli_2025_totals_mayor_xml,maggioli_list_number=1; mayor_candidate_number=1
comunali_lamezia_2025_list_movimento_5_stelle,comunali_lamezia_2025,MOVIMENTO 5 STELLE,MOVIMENTO 5 STELLE,comunali_lamezia_2025_mayor_lo_moro_doris,,maggioli_2025_totals_mayor_xml,maggioli_list_number=2; mayor_candidate_number=1
comunali_lamezia_2025_list_azione,comunali_lamezia_2025,AZIONE,AZIONE,comunali_lamezia_2025_mayor_lo_moro_doris,,maggioli_2025_totals_mayor_xml,maggioli_list_number=3; mayor_candidate_number=1
comunali_lamezia_2025_list_per_vivere_bene,comunali_lamezia_2025,PER VIVERE BENE,PER VIVERE BENE,comunali_lamezia_2025_mayor_lo_moro_doris,,maggioli_2025_totals_mayor_xml,maggioli_list_number=4; mayor_candidate_number=1
comunali_lamezia_2025_list_era_ora,comunali_lamezia_2025,ERA ORA,ERA ORA,comunali_lamezia_2025_mayor_lo_moro_doris,,maggioli_2025_totals_mayor_xml,maggioli_list_number=5; mayor_candidate_number=1
comunali_lamezia_2025_list_gianpaolo_bevilacqua_sindaco_del_popolo,comunali_lamezia_2025,GIANPAOLO BEVILACQUA SINDACO DEL POPOLO,GIANPAOLO BEVILACQUA SINDACO DEL POPOLO,comunali_lamezia_2025_mayor_bevilacqua_gianpaolo,,maggioli_2025_totals_mayor_xml,maggioli_list_number=6; mayor_candidate_number=2
comunali_lamezia_2025_list_l_italia_del_meridione_lamezia_nel_cuore,comunali_lamezia_2025,L'ITALIA DEL MERIDIONE - LAMEZIA NEL CUORE,L'ITALIA DEL MERIDIONE - LAMEZIA NEL CUORE,comunali_lamezia_2025_mayor_bevilacqua_gianpaolo,,maggioli_2025_totals_mayor_xml,maggioli_list_number=7; mayor_candidate_number=2
comunali_lamezia_2025_list_movimento_indipendenza,comunali_lamezia_2025,MOVIMENTO INDIPENDENZA,MOVIMENTO INDIPENDENZA,comunali_lamezia_2025_mayor_bevilacqua_gianpaolo,,maggioli_2025_totals_mayor_xml,maggioli_list_number=8; mayor_candidate_number=2
comunali_lamezia_2025_list_lamezia_domani,comunali_lamezia_2025,LAMEZIA DOMANI,LAMEZIA DOMANI,comunali_lamezia_2025_mayor_murone_mario,,maggioli_2025_totals_mayor_xml,maggioli_list_number=9; mayor_candidate_number=3
comunali_lamezia_2025_list_noi_moderati,comunali_lamezia_2025,NOI MODERATI,NOI MODERATI,comunali_lamezia_2025_mayor_murone_mario,,maggioli_2025_totals_mayor_xml,maggioli_list_number=10; mayor_candidate_number=3
comunali_lamezia_2025_list_calabria_azzurra,comunali_lamezia_2025,CALABRIA AZZURRA,CALABRIA AZZURRA,comunali_lamezia_2025_mayor_murone_mario,,maggioli_2025_totals_mayor_xml,maggioli_list_number=11; mayor_candidate_number=3
comunali_lamezia_2025_list_forza_italia,comunali_lamezia_2025,FORZA ITALIA,FORZA ITALIA,comunali_lamezia_2025_mayor_murone_mario,,maggioli_2025_totals_mayor_xml,maggioli_list_number=12; mayor_candidate_number=3
comunali_lamezia_2025_list_lega_salvini_calabria,comunali_lamezia_2025,LEGA SALVINI CALABRIA,LEGA SALVINI CALABRIA,comunali_lamezia_2025_mayor_murone_mario,,maggioli_2025_totals_mayor_xml,maggioli_list_number=13; mayor_candidate_number=3
comunali_lamezia_2025_list_fratelli_d_italia,comunali_lamezia_2025,FRATELLI D'ITALIA,FRATELLI D'ITALIA,comunali_lamezia_2025_mayor_murone_mario,,maggioli_2025_totals_mayor_xml,maggioli_list_number=14; mayor_candidate_number=3
