election_id,round,section_number,list_id,votes,source_doc_id,validation_status,notes
comunali_lamezia_2025,1,1,comunali_lamezia_2025_list_partito_democratico,65,maggioli_2025_sections_lists_xml,extracted_pending_totals_validation,maggioli_list_number=1
comunali_lamezia_2025,1,1,comunali_lamezia_2025_list_movimento_5_stelle,25,maggioli_2025_sections_lists_xml,extracted_pending_totals_validation,maggioli_list_number=2
comunali_lamezia_2025,1,1,comunali_lamezia_2025_list_azione,24,maggioli_2025_sections_lists_xml,extracted_pending_totals_validation,maggioli_list_number=3
comunali_lamezia_2025,1,1,comunali_lamezia_2025_list_per_vivere_bene,70,maggioli_2025_sections_lists_xml,extracted_pending_totals_validation,maggioli_list_number=4
comunali_lamezia_2025,1,1,comunali_lamezia_2025_list_era_ora,15,maggioli_2025_sections_lists_xml,extracted_pending_totals_validation,maggioli_list_number=5
comunali_lamezia_2025,1,1,comunali_lamezia_2025_list_gianpaolo_bevilacqua_sindaco_del_popolo,59,maggioli_2025_sections_lists_xml,extracted_pending_totals_validation,maggioli_list_number=6
comunali_lamezia_2025,1,1,comunali_lamezia_2025_list_l_italia_del_meridione_lamezia_nel_cuore,6,maggioli_2025_sections_lists_xml,extracted_pending_totals_validation,maggioli_list_number=7
comunali_lamezia_2025,1,1,comunali_lamezia_2025_list_movimento_indipendenza,2,maggioli_2025_sections_lists_xml,extracted_pending_totals_validation,maggioli_list_number=8
comunali_lamezia_2025,1,1,comunali_lamezia_2025_list_lamezia_domani,19,maggioli_2025_sections_lists_xml,extracted_pending_totals_validation,maggioli_list_number=9
comunali_lamezia_2025,1,1,comunali_lamezia_2025_list_noi_moderati,38,maggioli_2025_sections_lists_xml,extracted_pending_totals_validation,maggioli_list_number=10
comunali_lamezia_2025,1,1,comunali_lamezia_2025_list_calabria_azzurra,16,maggioli_2025_sections_lists_xml,extracted_pending_totals_validation,maggioli_list_number=11
comunali_lamezia_2025,1,1,comunali_lamezia_2025_list_forza_italia,32,maggioli_2025_sections_lists_xml,extracted_pending_totals_validation,maggioli_list_number=12
comunali_lamezia_2025,1,1,comunali_lamezia_2025_list_lega_salvini_calabria,17,maggioli_2025_sections_lists_xml,extracted_pending_totals_validation,maggioli_list_number=13
comunali_lamezia_2025,1,1,comunali_lamezia_2025_list_fratelli_d_italia,35,maggioli_2025_sections_lists_xml,extracted_pending_totals_validation,maggioli_list_number=14
comunali_lamezia_2025,1,2,comunali_lamezia_2025_list_partito_democratico,77,maggioli_2025_sections_lists_xml,extracted_pending_totals_validation,maggioli_list_number=1
comunali_lamezia_2025,1,2,comunali_lamezia_2025_list_movimento_5_stelle,12,maggioli_2025_sections_lists_xml,extracted_pending_totals_validation,maggioli_list_number=2
comunali_lamezia_2025,1,2,comunali_lamezia_2025_list_azione,19,maggioli_2025_sections_lists_xml,extracted_pending_totals_validation,maggioli_list_number=3
comunali_lamezia_2025,1,2,comunali_lamezia_2025_list_per_vivere_bene,25,maggioli_2025_sections_lists_xml,extracted_pending_totals_validation,maggioli_list_number=4
comunali_lamezia_2025,1,2,comunali_lamezia_2025_list_era_ora,20,maggioli_2025_sections_lists_xml,extracted_pending_totals_validation,maggioli_list_number=5
comunali_lamezia_2025,1,2,comunali_lamezia_2025_list_gianpaolo_bevilacqua_sindaco_del_popolo,24,maggioli_2025_sections_lists_xml,extracted_pending_totals_validation,maggioli_list_number=6
comunali_lamezia_2025,1,2,comunali_lamezia_2025_list_l_italia_del_meridione_lamezia_nel_cuore,2,maggioli_2025_sections_lists_xml,extracted_pending_totals_validation,maggioli_list_number=7
comunali_lamezia_2025,1,2,comunali_lamezia_2025_list_movimento_indipendenza,1,maggioli_2025_sections_lists_xml,extracted_pending_totals_validation,maggioli_list_number=8
comunali_lamezia_2025,1,2,comunali_lamezia_2025_list_lamezia_domani,6,maggioli_2025_sections_lists_xml,extracted_pending_totals_validation,maggioli_list_number=9
comunali_lamezia_2025,1,2,comunali_lamezia_2025_list_noi_moderati,35,maggioli_2025_sections_lists_xml,extracted_pending_totals_validation,maggioli_list_number=10
comunali_lamezia_2025,1,2,comunali_lamezia_2025_list_calabria_azzurra,21,maggioli_2025_sections_lists_xml,extracted_pending_totals_validation,maggioli_list_number=11
comunali_lamezia_2025,1,2,comunali_lamezia_2025_list_forza_italia,21,maggioli_2025_sections_lists_xml,extracted_pending_totals_validation,maggioli_list_number=12
comunali_lamezia_2025,1,2,comunali_lamezia_2025_list_lega_salvini_calabria,13,maggioli_2025_sections_lists_xml,extracted_pending_totals_validation,maggioli_list_number=13
comunali_lamezia_2025,1,2,comunali_lamezia_2025_list_fratelli_d_italia,28,maggioli_2025_sections_lists_xml,extracted_pending_totals_validation,maggioli_list_number=14
comunali_lamezia_2025,1,3,comunali_lamezia_2025_list_partito_democratico,57,maggioli_2025_sections_lists_xml,extracted_pending_totals_validation,maggioli_list_number=1
comunali_lamezia_2025,1,3,comunali_lamezia_2025_list_movimento_5_stelle,9,maggioli_2025_sections_lists_xml,extracted_pending_totals_validation,maggioli_list_number=2
comunali_lamezia_2025,1,3,comunali_lamezia_2025_list_azione,19,maggioli_2025_sections_lists_xml,extracted_pending_totals_validation,maggioli_list_number=3
comunali_lamezia_2025,1,3,comunali_lamezia_2025_list_per_vivere_bene,36,maggioli_2025_sections_lists_xml,extracted_pending_totals_validation,maggioli_list_number=4
comunali_lamezia_2025,1,3,comunali_lamezia_2025_list_era_ora,12,maggioli_2025_sections_lists_xml,extracted_pending_totals_validation,maggioli_list_number=5
comunali_lamezia_2025,1,3,comunali_lamezia_2025_list_gianpaolo_bevilacqua_sindaco_del_popolo,34,maggioli_2025_sections_lists_xml,extracted_pending_totals_validation,maggioli_list_number=6
comunali_lamezia_2025,1,3,comunali_lamezia_2025_list_l_italia_del_meridione_lamezia_nel_cuore,1,maggioli_2025_sections_lists_xml,extracted_pending_totals_validation,maggioli_list_number=7
comunali_lamezia_2025,1,3,comunali_lamezia_2025_list_movimento_indipendenza,5,maggioli_2025_sections_lists_xml,extracted_pending_totals_validation,maggioli_list_number=8
comunali_lamezia_2025,1,3,comunali_lamezia_2025_list_lamezia_domani,26,maggioli_2025_sections_lists_xml,extracted_pending_totals_validation,maggioli_list_number=9
comunali_lamezia_2025,1,3,comunali_lamezia_2025_list_noi_moderati,45,maggioli_2025_sections_lists_xml,extracted_pending_totals_validation,maggioli_list_number=10
comunali_lamezia_2025,1,3,comunali_lamezia_2025_list_calabria_azzurra,23,maggioli_2025_sections_lists_xml,extracted_pending_totals_validation,maggioli_list_number=11
comunali_lamezia_2025,1,3,comunali_lamezia_2025_list_forza_italia,39,maggioli_2025_sections_lists_xml,extracted_pending_totals_validation,maggioli_list_number=12
comunali_lamezia_2025,1,3,comunali_lamezia_2025_list_lega_salvini_calabria,14,maggioli_2025_sections_lists_xml,extracted_pending_totals_validation,maggioli_list_number=13
comunali_lamezia_2025,1,3,comunali_lamezia_2025_list_fratelli_d_italia,27,maggioli_2025_sections_lists_xml,extracted_pending_totals_validation,maggioli_list_number=14
comunali_lamezia_2025,1,4,comunali_lamezia_2025_list_partito_democratico,57,maggioli_2025_sections_lists_xml,extracted_pending_totals_validation,maggioli_list_number=1
comunali_lamezia_2025,1,4,comunali_lamezia_2025_list_movimento_5_stelle,13,maggioli_2025_sections_lists_xml,extracted_pending_totals_validation,maggioli_list_number=2
comunali_lamezia_2025,1,4,comunali_lamezia_2025_list_azione,13,maggioli_2025_sections_lists_xml,extracted_pending_totals_validation,maggioli_list_number=3
comunali_lamezia_2025,1,4,comunali_lamezia_2025_list_per_vivere_bene,30,maggioli_2025_sections_lists_xml,extracted_pending_totals_validation,maggioli_list_number=4
comunali_lamezia_2025,1,4,comunali_lamezia_2025_list_era_ora,8,maggioli_2025_sections_lists_xml,extracted_pending_totals_validation,maggioli_list_number=5
comunali_lamezia_2025,1,4,comunali_lamezia_2025_list_gianpaolo_bevilacqua_sindaco_del_popolo,45,maggioli_2025_sections_lists_xml,extracted_pending_totals_validation,maggioli_list_number=6
comunali_lamezia_2025,1,4,comunali_lamezia_2025_list_l_italia_del_meridione_lamezia_nel_cuore,0,maggioli_2025_sections_lists_xml,extracted_pending_totals_validation,maggioli_list_number=7
comunali_lamezia_2025,1,4,comunali_lamezia_2025_list_movimento_indipendenza,1,maggioli_2025_sections_lists_xml,extracted_pending_totals_validation,maggioli_list_number=8
comunali_lamezia_2025,1,4,comunali_lamezia_2025_list_lamezia_domani,23,maggioli_2025_sections_lists_xml,extracted_pending_totals_validation,maggioli_list_number=9
comunali_lamezia_2025,1,4,comunali_lamezia_2025_list_noi_moderati,24,maggioli_2025_sections_lists_xml,extracted_pending_totals_validation,maggioli_list_number=10
comunali_lamezia_2025,1,4,comunali_lamezia_2025_list_calabria_azzurra,16,maggioli_2025_sections_lists_xml,extracted_pending_totals_validation,maggioli_list_number=11
comunali_lamezia_2025,1,4,comunali_lamezia_2025_list_forza_italia,32,maggioli_2025_sections_lists_xml,extracted_pending_totals_validation,maggioli_list_number=12
comunali_lamezia_2025,1,4,comunali_lamezia_2025_list_lega_salvini_calabria,6,maggioli_2025_sections_lists_xml,extracted_pending_totals_validation,maggioli_list_number=13
comunali_lamezia_2025,1,4,comunali_lamezia_2025_list_fratelli_d_italia,37,maggioli_2025_sections_lists_xml,extracted_pending_totals_validation,maggioli_list_number=14
comunali_lamezia_2025,1,5,comunali_lamezia_2025_list_partito_democratico,37,maggioli_2025_sections_lists_xml,extracted_pending_totals_validation,maggioli_list_number=1
comunali_lamezia_2025,1,5,comunali_lamezia_2025_list_movimento_5_stelle,14,maggioli_2025_sections_lists_xml,extracted_pending_totals_validation,maggioli_list_number=2
comunali_lamezia_2025,1,5,comunali_lamezia_2025_list_azione,19,maggioli_2025_sections_lists_xml,extracted_pending_totals_validation,maggioli_list_number=3
comunali_lamezia_2025,1,5,comunali_lamezia_2025_list_per_vivere_bene,36,maggioli_2025_sections_lists_xml,extracted_pending_totals_validation,maggioli_list_number=4
comunali_lamezia_2025,1,5,comunali_lamezia_2025_list_era_ora,9,maggioli_2025_sections_lists_xml,extracted_pending_totals_validation,maggioli_list_number=5
comunali_lamezia_2025,1,5,comunali_lamezia_2025_list_gianpaolo_bevilacqua_sindaco_del_popolo,42,maggioli_2025_sections_lists_xml,extracted_pending_totals_validation,maggioli_list_number=6
comunali_lamezia_2025,1,5,comunali_lamezia_2025_list_l_italia_del_meridione_lamezia_nel_cuore,12,maggioli_2025_sections_lists_xml,extracted_pending_totals_validation,maggioli_list_number=7
comunali_lamezia_2025,1,5,comunali_lamezia_2025_list_movimento_indipendenza,5,maggioli_2025_sections_lists_xml,extracted_pending_totals_validation,maggioli_list_number=8
comunali_lamezia_2025,1,5,comunali_lamezia_2025_list_lamezia_domani,17,maggioli_2025_sections_lists_xml,extracted_pending_totals_validation,maggioli_list_number=9
comunali_lamezia_2025,1,5,comunali_lamezia_2025_list_noi_moderati,26,maggioli_2025_sections_lists_xml,extracted_pending_totals_validation,maggioli_list_number=10
comunali_lamezia_2025,1,5,comunali_lamezia_2025_list_calabria_azzurra,14,maggioli_2025_sections_lists_xml,extracted_pending_totals_validation,maggioli_list_number=11
comunali_lamezia_2025,1,5,comunali_lamezia_2025_list_forza_italia,35,maggioli_2025_sections_lists_xml,extracted_pending_totals_validation,maggioli_list_number=12
comunali_lamezia_2025,1,5,comunali_lamezia_2025_list_lega_salvini_calabria,18,maggioli_2025_sections_lists_xml,extracted_pending_totals_validation,maggioli_list_number=13
comunali_lamezia_2025,1,5,comunali_lamezia_2025_list_fratelli_d_italia,35,maggioli_2025_sections_lists_xml,extracted_pending_totals_validation,maggioli_list_number=14
comunali_lamezia_2025,1,6,comunali_lamezia_2025_list_partito_democratico,80,maggioli_2025_sections_lists_xml,extracted_pending_totals_validation,maggioli_list_number=1
comunali_lamezia_2025,1,6,comunali_lamezia_2025_list_movimento_5_stelle,24,maggioli_2025_sections_lists_xml,extracted_pending_totals_validation,maggioli_list_number=2
comunali_lamezia_2025,1,6,comunali_lamezia_2025_list_azione,16,maggioli_2025_sections_lists_xml,extracted_pending_totals_validation,maggioli_list_number=3
comunali_lamezia_2025,1,6,comunali_lamezia_2025_list_per_vivere_bene,30,maggioli_2025_sections_lists_xml,extracted_pending_totals_validation,maggioli_list_number=4
comunali_lamezia_2025,1,6,comunali_lamezia_2025_list_era_ora,12,maggioli_2025_sections_lists_xml,extracted_pending_totals_validation,maggioli_list_number=5
comunali_lamezia_2025,1,6,comunali_lamezia_2025_list_gianpaolo_bevilacqua_sindaco_del_popolo,55,maggioli_2025_sections_lists_xml,extracted_pending_totals_validation,maggioli_list_number=6
comunali_lamezia_2025,1,6,comunali_lamezia_2025_list_l_italia_del_meridione_lamezia_nel_cuore,2,maggioli_2025_sections_lists_xml,extracted_pending_totals_validation,maggioli_list_number=7
comunali_lamezia_2025,1,6,comunali_lamezia_2025_list_movimento_indipendenza,4,maggioli_2025_sections_lists_xml,extracted_pending_totals_validation,maggioli_list_number=8
comunali_lamezia_2025,1,6,comunali_lamezia_2025_list_lamezia_domani,19,maggioli_2025_sections_lists_xml,extracted_pending_totals_validation,maggioli_list_number=9
comunali_lamezia_2025,1,6,comunali_lamezia_2025_list_noi_moderati,34,maggioli_2025_sections_lists_xml,extracted_pending_totals_validation,maggioli_list_number=10
comunali_lamezia_2025,1,6,comunali_lamezia_2025_list_calabria_azzurra,26,maggioli_2025_sections_lists_xml,extracted_pending_totals_validation,maggioli_list_number=11
comunali_lamezia_2025,1,6,comunali_lamezia_2025_list_forza_italia,35,maggioli_2025_sections_lists_xml,extracted_pending_totals_validation,maggioli_list_number=12
comunali_lamezia_2025,1,6,comunali_lamezia_2025_list_lega_salvini_calabria,21,maggioli_2025_sections_lists_xml,extracted_pending_totals_validation,maggioli_list_number=13
comunali_lamezia_2025,1,6,comunali_lamezia_2025_list_fratelli_d_italia,17,maggioli_2025_sections_lists_xml,extracted_pending_totals_validation,maggioli_list_number=14
comunali_lamezia_2025,1,7,comunali_lamezia_2025_list_partito_democratico,30,maggioli_2025_sections_lists_xml,extracted_pending_totals_validation,maggioli_list_number=1
comunali_lamezia_2025,1,7,comunali_lamezia_2025_list_movimento_5_stelle,8,maggioli_2025_sections_lists_xml,extracted_pending_totals_validation,maggioli_list_number=2
comunali_lamezia_2025,1,7,comunali_lamezia_2025_list_azione,12,maggioli_2025_sections_lists_xml,extracted_pending_totals_validation,maggioli_list_number=3
comunali_lamezia_2025,1,7,comunali_lamezia_2025_list_per_vivere_bene,14,maggioli_2025_sections_lists_xml,extracted_pending_totals_validation,maggioli_list_number=4
comunali_lamezia_2025,1,7,comunali_lamezia_2025_list_era_ora,8,maggioli_2025_sections_lists_xml,extracted_pending_totals_validation,maggioli_list_number=5
comunali_lamezia_2025,1,7,comunali_lamezia_2025_list_gianpaolo_bevilacqua_sindaco_del_popolo,42,maggioli_2025_sections_lists_xml,extracted_pending_totals_validation,maggioli_list_number=6
comunali_lamezia_2025,1,7,comunali_lamezia_2025_list_l_italia_del_meridione_lamezia_nel_cuore,1,maggioli_2025_sections_lists_xml,extracted_pending_totals_validation,maggioli_list_number=7
comunali_lamezia_2025,1,7,comunali_lamezia_2025_list_movimento_indipendenza,3,maggioli_2025_sections_lists_xml,extracted_pending_totals_validation,maggioli_list_number=8
comunali_lamezia_2025,1,7,comunali_lamezia_2025_list_lamezia_domani,20,maggioli_2025_sections_lists_xml,extracted_pending_totals_validation,maggioli_list_number=9
comunali_lamezia_2025,1,7,comunali_lamezia_2025_list_noi_moderati,32,maggioli_2025_sections_lists_xml,extracted_pending_totals_validation,maggioli_list_number=10
comunali_lamezia_2025,1,7,comunali_lamezia_2025_list_calabria_azzurra,12,maggioli_2025_sections_lists_xml,extracted_pending_totals_validation,maggioli_list_number=11
comunali_lamezia_2025,1,7,comunali_lamezia_2025_list_forza_italia,23,maggioli_2025_sections_lists_xml,extracted_pending_totals_validation,maggioli_list_number=12
comunali_lamezia_2025,1,7,comunali_lamezia_2025_list_lega_salvini_calabria,13,maggioli_2025_sections_lists_xml,extracted_pending_totals_validation,maggioli_list_number=13
comunali_lamezia_2025,1,7,comunali_lamezia_2025_list_fratelli_d_italia,12,maggioli_2025_sections_lists_xml,extracted_pending_totals_validation,maggioli_list_number=14
comunali_lamezia_2025,1,8,comunali_lamezia_2025_list_partito_democratico,57,maggioli_2025_sections_lists_xml,extracted_pending_totals_validation,maggioli_list_number=1
comunali_lamezia_2025,1,8,comunali_lamezia_2025_list_movimento_5_stelle,14,maggioli_2025_sections_lists_xml,extracted_pending_totals_validation,maggioli_list_number=2
comunali_lamezia_2025,1,8,comunali_lamezia_2025_list_azione,41,maggioli_2025_sections_lists_xml,extracted_pending_totals_validation,maggioli_list_number=3
comunali_lamezia_2025,1,8,comunali_lamezia_2025_list_per_vivere_bene,42,maggioli_2025_sections_lists_xml,extracted_pending_totals_validation,maggioli_list_number=4
comunali_lamezia_2025,1,8,comunali_lamezia_2025_list_era_ora,15,maggioli_2025_sections_lists_xml,extracted_pending_totals_validation,maggioli_list_number=5
comunali_lamezia_2025,1,8,comunali_lamezia_2025_list_gianpaolo_bevilacqua_sindaco_del_popolo,41,maggioli_2025_sections_lists_xml,extracted_pending_totals_validation,maggioli_list_number=6
comunali_lamezia_2025,1,8,comunali_lamezia_2025_list_l_italia_del_meridione_lamezia_nel_cuore,12,maggioli_2025_sections_lists_xml,extracted_pending_totals_validation,maggioli_list_number=7
comunali_lamezia_2025,1,8,comunali_lamezia_2025_list_movimento_indipendenza,8,maggioli_2025_sections_lists_xml,extracted_pending_totals_validation,maggioli_list_number=8
comunali_lamezia_2025,1,8,comunali_lamezia_2025_list_lamezia_domani,21,maggioli_2025_sections_lists_xml,extracted_pending_totals_validation,maggioli_list_number=9
comunali_lamezia_2025,1,8,comunali_lamezia_2025_list_noi_moderati,40,maggioli_2025_sections_lists_xml,extracted_pending_totals_validation,maggioli_list_number=10
comunali_lamezia_2025,1,8,comunali_lamezia_2025_list_calabria_azzurra,32,maggioli_2025_sections_lists_xml,extracted_pending_totals_validation,maggioli_list_number=11
comunali_lamezia_2025,1,8,comunali_lamezia_2025_list_forza_italia,35,maggioli_2025_sections_lists_xml,extracted_pending_totals_validation,maggioli_list_number=12
