CODICE_COMUNE;CODICE_ISTAT;PROGRESSIVO_NAZIONALE;CODICE_COMUNALE;ODONIMO;LOCALITA';TOTALE_ACCESSI;DIZIONE_LINGUA1;DIZIONE_LINGUA2;unnamed_10
M208;079160;1245026;;ATRIO ADDOLORATA;;3;;;
M208;079160;1245027;;ATRIO DI VIA CITTADELLA;;4;;;
M208;079160;1245030;;ATRIO DI VIA GIACOMO LEOPARDI;;2;;;
M208;079160;1245437;;ATRIO GIUSEPPE VERDI;;4;;;
M208;079160;1245029;;ATRIO PRIMO DI CORSO DELLA REPUBBLICA;;1;;;
M208;079160;1245467;;ATRIO PRIMO DI VIA CAVOUR;;9;;;
M208;079160;1246270;;ATRIO PRIMO DI VIA FERRUCCIO;;4;;;
M208;079160;1245028;;ATRIO QUARTO DI VIA FERRUCCIO;;4;;;
M208;079160;1246232;;ATRIO SECONDO DI VIA CAVOUR;;3;;;
M208;079160;1246268;;ATRIO SECONDO DI VIA FERRUCCIO;;1;;;
M208;079160;1246274;;ATRIO TERZO DI VIA FERRUCCIO;;7;;;
M208;079160;1246243;;CONTRADA ACQUADAUNZANO;;1;;;
M208;079160;1244978;;CONTRADA ACQUADAUZANO;;77;;;
M208;079160;1244988;;CONTRADA AGLI;;16;;;
M208;079160;1245000;;CONTRADA ANDRICCIOLA;;0;;;
M208;079160;1245001;;CONTRADA ANGILLITO;;0;;;
M208;079160;1245003;;CONTRADA ANNUNZIATA;;41;;;
M208;079160;1245702;;CONTRADA ANNUNZIATA;;0;;;
M208;079160;1245014;;CONTRADA ANZARO;;5;;;
M208;079160;1245036;;CONTRADA BARBUTO;;4;;;
M208;079160;1245037;;CONTRADA BARISCO;;0;;;
M208;079160;1245042;;CONTRADA BASTIA;;0;;;
M208;079160;1245043;;CONTRADA BASTIONE DI MALTA;;3;;;
M208;079160;1245051;;CONTRADA BENEFICIO;;10;;;
M208;079160;1245061;;CONTRADA BOSCO AMATELLO;;3;;;
M208;079160;1245062;;CONTRADA BOSCO FRANCICA;;1;;;
M208;079160;1245067;;CONTRADA BRESCIA;;0;;;
M208;079160;1245071;;CONTRADA BUCOLIA;;0;;;
M208;079160;1245072;;CONTRADA BUCOLIA DI SOPRA;;39;;;
M208;079160;1245073;;CONTRADA BUCOLIA DI SOTTO;;42;;;
M208;079160;1245091;;CONTRADA CALIA;;0;;;
M208;079160;1246213;;CONTRADA CANNETO FRAGALE;;2;;;
M208;079160;1245100;;CONTRADA CANNITELLO;;5;;;
M208;079160;1245101;;CONTRADA CANTARELLE;;28;;;
M208;079160;1245102;;CONTRADA CAPANNONE VOTTA;SAN PIETRO LAMETINO;0;;;
M208;079160;1245104;;CONTRADA CAPITOLO;;9;;;
M208;079160;1245106;;CONTRADA CAPIZZAGLIE;;7;;;
M208;079160;1245114;;CONTRADA CARIA;;13;;;
M208;079160;1245122;;CONTRADA CARONTE;;70;;;
M208;079160;1245124;;CONTRADA CARRA';;1;;;
M208;079160;1246216;;CONTRADA CARRA' COLA;;1;;;
M208;079160;1245125;;CONTRADA CARRA' COSENTINO;;7;;;
M208;079160;1245126;;CONTRADA CARRA' CUTURELLA;;0;;;
M208;079160;1245127;;CONTRADA CARRA FORNACE COSENTINO;;0;;;
M208;079160;1245128;;CONTRADA CARRA' FORNACE MARCHESE;;0;;;
M208;079160;1245129;;CONTRADA CARRA' FORNACI;;4;;;
M208;079160;1245130;;CONTRADA CARRA' FOSSE NICOTERA;;0;;;
M208;079160;1245131;;CONTRADA CARRA' TEODOSIO;;0;;;
M208;079160;1245132;;CONTRADA CARRA' VISCARDI;;2;;;
M208;079160;1246179;;CONTRADA CARRA' VOLPE;;8;;;
M208;079160;1245134;;CONTRADA CARRICELLO;;0;;;
M208;079160;1245136;;CONTRADA CARUSO;;0;;;
M208;079160;1246262;;CONTRADA CASTAGNELLA;;0;;;
M208;079160;1245142;;CONTRADA CASTURI;;28;;;
M208;079160;1245150;;CONTRADA CENSI;;20;;;
M208;079160;1245158;;CONTRADA CHIANTA;;9;;;
M208;079160;1245159;;CONTRADA CHIUSA SAMBIASE;;17;;;
M208;079160;1246212;;CONTRADA COSCHINO;;0;;;
M208;079160;1245186;;CONTRADA COSENTINO;;0;;;
M208;079160;1245195;;CONTRADA CROZZANELLO;;0;;;
M208;079160;1245196;;CONTRADA CROZZANO;;0;;;
M208;079160;1245197;;CONTRADA CROZZANO INFERIORE;;24;;;
M208;079160;1245198;;CONTRADA CROZZANO SUPERIORE;;32;;;
M208;079160;1245202;;CONTRADA CUTURA;;1;;;
M208;079160;1245204;;CONTRADA CUTURELLA;;1;;;
M208;079160;1245207;;CONTRADA DANIELE;;0;;;
M208;079160;1245235;;CONTRADA DEI MEDICI;;0;;;
M208;079160;1245276;;CONTRADA DONNA MAZZA;;1;;;
M208;079160;1245277;;CONTRADA DONNA SANTA;;4;;;
M208;079160;1245312;;CONTRADA FELICETTA;;7;;;
M208;079160;1245313;;CONTRADA FERRANTAZZO;;2;;;
M208;079160;1246248;;CONTRADA FEUDO DE MEDICI;;0;;;
M208;079160;1245320;;CONTRADA FICARELLA;SAN PIETRO LAMETINO;7;;;
M208;079160;1245334;;CONTRADA FONTANELLA;;6;;;
M208;079160;1245336;;CONTRADA FORESTA;;1;;;
M208;079160;1245338;;CONTRADA FORNACE;;0;;;
M208;079160;1246244;;CONTRADA FRASSO BRAGO;;0;;;
M208;079160;1245364;;CONTRADA GABELLA;;89;;;
M208;079160;1245365;;CONTRADA GABELLA CARDOLO;;5;;;
M208;079160;1245368;;CONTRADA GACCIA;;25;;;
M208;079160;1245458;;CONTRADA GUERRIERI SERRA;;22;;;
M208;079160;1245493;;CONTRADA IALA';;0;;;
M208;079160;1245494;;CONTRADA IANIPARI;;0;;;
M208;079160;1245533;;CONTRADA INDIMI;;0;;;
M208;079160;1245564;;CONTRADA LAGANI;;11;;;
M208;079160;1245569;;CONTRADA LENTI STATTI;;0;;;
M208;079160;1245570;;CONTRADA LENZA;;0;;;
M208;079160;1245571;;CONTRADA LENZA GRANDE;;0;;;
M208;079160;1245592;;CONTRADA MADAMA;;0;;;
M208;079160;1246252;;CONTRADA MADDAMMA;;0;;;
M208;079160;1245598;;CONTRADA MAGOLA';;11;;;
M208;079160;1245599;;CONTRADA MAJORANA;SAN PIETRO LAMETINO;0;;;
M208;079160;1245600;;CONTRADA MALASPINA;;0;;;
M208;079160;1245609;;CONTRADA MARCHIONE;;0;;;
M208;079160;1245614;;CONTRADA MARRANO;;10;;;
M208;079160;1245617;;CONTRADA MARSOMIGLIO;;4;;;
M208;079160;1245625;;CONTRADA MATACCA;;8;;;
M208;079160;1245633;;CONTRADA MENDICINO RENDA;;0;;;
M208;079160;1245642;;CONTRADA MIGLIERINA;;9;;;
M208;079160;1246219;;CONTRADA MILETO;;1;;;
M208;079160;1245646;;CONTRADA MINA';;0;;;
M208;079160;1245648;;CONTRADA MISA';;16;;;
M208;079160;1245649;;CONTRADA MITOIO;;29;;;
M208;079160;1245659;;CONTRADA MONTAGNOLA;;2;;;
M208;079160;1245678;;CONTRADA MONTESANTI;;0;;;
M208;079160;1245682;;CONTRADA MURETTO;;14;;;
M208;079160;1245683;;CONTRADA MURO DI GRASSO;;0;;;
M208;079160;1245684;;CONTRADA MUZIO;;3;;;
M208;079160;1246253;;CONTRADA NARDELLI;;2;;;
M208;079160;1246250;;CONTRADA NDINI;;0;;;
M208;079160;1245699;;CONTRADA NOCE;;4;;;
M208;079160;1246211;;CONTRADA PALADINA;;1;;;
M208;079160;1245716;;CONTRADA PALAZZO;;4;;;
M208;079160;1245719;;CONTRADA PALMIERI;;2;;;
M208;079160;1245723;;CONTRADA PANE;;0;;;
M208;079160;1245728;;CONTRADA PAPAZZO;;14;;;
M208;079160;1246187;;CONTRADA PASTORIZIA;;0;;;
M208;079160;1245734;;CONTRADA PASTORIZZA;;0;;;
M208;079160;1245739;;CONTRADA PETRAPPA;;0;;;
M208;079160;1245741;;CONTRADA PIANO DEL DUCA;;0;;;
M208;079160;1245743;;CONTRADA PIANO LUPPINO;;33;;;
M208;079160;1245755;;CONTRADA PIGNA;;0;;;
M208;079160;1246215;;CONTRADA PIGNA MAZZEI;;6;;;
M208;079160;1246188;;CONTRADA PILLI CALIGIURI;;6;;;
M208;079160;1245756;;CONTRADA PILLI CAPIZZAGLIE;;5;;;
M208;079160;1246155;;CONTRADA PILLI FRANCICA;;0;;;
M208;079160;1245758;;CONTRADA PIOMBO ZAPPANOTTE;;43;;;
M208;079160;1245759;;CONTRADA PIRO';;10;;;
M208;079160;1245774;;CONTRADA PRATO;SAN PIETRO LAMETINO;3;;;
M208;079160;1245779;;CONTRADA PROCESSIONE STOCCO;;7;;;
M208;079160;1245780;;CONTRADA PRUNIA;;0;;;
M208;079160;1245788;;CONTRADA QUATTROCCHI;;27;;;
M208;079160;1245801;;CONTRADA RICHETTI;;2;;;
M208;079160;1245813;;CONTRADA ROMEO;;0;;;
M208;079160;1246162;;CONTRADA ROMEO SALADINI;;2;;;
M208;079160;1245815;;CONTRADA ROTOLI;;0;;;
M208;079160;1245819;;CONTRADA SACCO;;0;;;
M208;079160;1245825;;CONTRADA SAGRESTIA;;0;;;
M208;079160;1246110;;CONTRADA SALADINI ROMEO;;0;;;
M208;079160;1246259;;CONTRADA SAN IANNI;;0;;;
