local_term,local_kind,external_specification,external_term,mapping_relation,status,authority_or_basis,notes
lt-core:Entity,foundation,OntoPiA l0,https://w3id.org/italia/onto/l0/Entity,profile_uses,accepted,OntoPiA l0 0.8,Canonical application registry remains distinct from PROV Entity
lt-core:Agent,foundation,OntoPiA l0,https://w3id.org/italia/onto/l0/Agent,profile_uses,accepted,OntoPiA l0 0.8,Common parent for persons and organisations acting in context
lt-agents:Person,class,CPV-AP_IT,https://w3id.org/italia/onto/CPV/Person,profile_uses,accepted,CPV-AP_IT 0.8,Primary person model for Italian PA context
lt-agents:Person,class,SEMIC Core Person Vocabulary,Person,interoperability_mapping,to_validate,SEMIC CPV 2.1.2,EU projection; do not duplicate national profile semantics
lt-organisations:Organization,class,COV-AP_IT,https://w3id.org/italia/onto/COV/Organization,profile_uses,accepted,COV-AP_IT 0.12,Primary public/private organisation model
lt-organisations:Organization,class,W3C ORG,http://www.w3.org/ns/org#Organization,rdfs:subClassOf,inherited,COV-aligns-AP_IT,COV already declares this alignment
lt-organisations:PublicOrganization,class,COV-AP_IT,https://w3id.org/italia/onto/COV/PublicOrganization,profile_uses,accepted,COV-AP_IT 0.12,Primary public organisation class
lt-organisations:PublicOrganization,class,SEMIC CPOV,http://data.europa.eu/m8g/PublicOrganization,rdfs:subClassOf,inherited,COV-aligns-AP_IT,COV already declares this alignment
lt-organisations:PrivateOrganization,class,COV-AP_IT,https://w3id.org/italia/onto/COV/PrivateOrganization,profile_uses,accepted,COV-AP_IT 0.12,Primary private organisation class
lt-organisations:PrivateOrganization,class,eProcurement Ontology,http://data.europa.eu/a4g/ontology#Business,rdfs:subClassOf,inherited,COV-aligns-AP_IT,COV already aligns PrivateOrganization to ePO Business
lt-organisations:PrivateOrganization,class,W3C Registered Organization,http://www.w3.org/ns/regorg#RegisteredOrganization,rdfs:subClassOf,inherited,COV-aligns-AP_IT,COV already declares this alignment
lt-roles:Role,class,RO-AP_IT,https://w3id.org/italia/onto/RO/Role,profile_uses,accepted,RO-AP_IT 0.3,Role is not a person subtype
lt-roles:RoleAssignment,association,RO-AP_IT,https://w3id.org/italia/onto/RO/TimeIndexedRole,profile_uses,accepted,RO-AP_IT 0.3,Temporal and contextual role assignment
lt-geo:Place,class,CLV-AP_IT,https://w3id.org/italia/onto/CLV/,profile_uses,accepted,OntoPiA CLV,Use the most specific CLV class after domain mapping
lt-geo:Geometry,projection,OGC GeoSPARQL,http://www.opengis.net/ont/geosparql#Geometry,interoperability_mapping,accepted,GeoSPARQL 1.1,Stable geometry projection for mapped entities
lt-time:TemporalEntity,projection,OntoPiA TI,https://w3id.org/italia/onto/TI/,profile_uses,accepted,OntoPiA TI,Primary national temporal model
lt-time:TemporalEntity,projection,W3C OWL-Time,http://www.w3.org/2006/time#TemporalEntity,interoperability_mapping,to_validate,W3C OWL-Time,Use when cross-standard temporal topology is required
lt-transparency:TransparencyObligation,class,Transparency-AP_IT,https://w3id.org/italia/onto/Transparency/TransparencyObligation,profile_uses,accepted,Transparency-AP_IT 0.2,Normative transparency obligation
